,clf_1,clf_2,p_more,p_less,p_rope
0,EASE,MultiVAE,0.0587,0.9413,0.0
1,EASE,ItemKNN,0.0007,0.9993,0.0
2,EASE,SLIM,0.9871,0.0129,0.0
3,EASE,LightGCN,0.004,0.996,0.0
4,EASE,LightGCL,0.1178,0.8822,0.0
5,EASE,ALS,0.9993,0.0007,0.0
6,EASE,BPR,0.9764,0.0236,0.0
7,EASE,LightFM,0.9998,0.0002,0.0
8,EASE,MostPop,1.0,0.0,0.0
9,EASE,Random,0.0,1.0,0.0
10,MultiVAE,ItemKNN,0.0299,0.9701,0.0
11,MultiVAE,SLIM,0.9983,0.0017,0.0
12,MultiVAE,LightGCN,0.0967,0.9033,0.0
13,MultiVAE,LightGCL,0.2943,0.7057,0.0
14,MultiVAE,ALS,1.0,0.0,0.0
15,MultiVAE,BPR,0.9961,0.0039,0.0
16,MultiVAE,LightFM,1.0,0.0,0.0
17,MultiVAE,MostPop,1.0,0.0,0.0
18,MultiVAE,Random,0.0,1.0,0.0
19,ItemKNN,SLIM,1.0,0.0,0.0
20,ItemKNN,LightGCN,0.5968,0.4032,0.0
21,ItemKNN,LightGCL,0.9622,0.0378,0.0
22,ItemKNN,ALS,1.0,0.0,0.0
23,ItemKNN,BPR,1.0,0.0,0.0
24,ItemKNN,LightFM,1.0,0.0,0.0
25,ItemKNN,MostPop,1.0,0.0,0.0
26,ItemKNN,Random,0.0,1.0,0.0
27,SLIM,LightGCN,0.0,1.0,0.0
28,SLIM,LightGCL,0.0044,0.9956,0.0
29,SLIM,ALS,0.848,0.152,0.0
30,SLIM,BPR,0.18,0.82,0.0
31,SLIM,LightFM,0.9903,0.0097,0.0
32,SLIM,MostPop,1.0,0.0,0.0
33,SLIM,Random,0.0,1.0,0.0
34,LightGCN,LightGCL,0.8813,0.1187,0.0
35,LightGCN,ALS,1.0,0.0,0.0
36,LightGCN,BPR,0.9996,0.0004,0.0
37,LightGCN,LightFM,1.0,0.0,0.0
38,LightGCN,MostPop,1.0,0.0,0.0
39,LightGCN,Random,0.0,1.0,0.0
40,LightGCL,ALS,0.9999,0.0001,0.0
41,LightGCL,BPR,0.995,0.005,0.0
42,LightGCL,LightFM,1.0,0.0,0.0
43,LightGCL,MostPop,1.0,0.0,0.0
44,LightGCL,Random,0.0,1.0,0.0
45,ALS,BPR,0.0002,0.9998,0.0
46,ALS,LightFM,0.9975,0.0025,0.0
47,ALS,MostPop,1.0,0.0,0.0
48,ALS,Random,0.0,1.0,0.0
49,BPR,LightFM,1.0,0.0,0.0
50,BPR,MostPop,1.0,0.0,0.0
51,BPR,Random,0.0,1.0,0.0
52,LightFM,MostPop,0.9996,0.0004,0.0
53,LightFM,Random,0.0,1.0,0.0
54,MostPop,Random,0.0,1.0,0.0
