,clf_1,clf_2,p_more,p_less,p_rope
0,EASE,MultiVAE,0.2228,0.7772,0.0
1,EASE,ItemKNN,0.7911,0.2089,0.0
2,EASE,SLIM,0.6983,0.3017,0.0
3,EASE,LightGCN,0.4952,0.5048,0.0
4,EASE,LightGCL,0.4776,0.5224,0.0
5,EASE,ALS,0.651,0.349,0.0
6,EASE,BPR,0.8474,0.1526,0.0
7,EASE,LightFM,0.6682,0.3318,0.0
8,EASE,MostPop,0.9734,0.0266,0.0
9,EASE,Random,1.0,0.0,0.0
10,MultiVAE,ItemKNN,0.6268,0.3732,0.0
11,MultiVAE,SLIM,0.5431,0.4569,0.0
12,MultiVAE,LightGCN,0.466,0.534,0.0
13,MultiVAE,LightGCL,0.3703,0.6297,0.0
14,MultiVAE,ALS,0.6132,0.3868,0.0
15,MultiVAE,BPR,0.8158,0.1842,0.0
16,MultiVAE,LightFM,0.587,0.413,0.0
17,MultiVAE,MostPop,0.9425,0.0575,0.0
18,MultiVAE,Random,1.0,0.0,0.0
19,ItemKNN,SLIM,0.3482,0.6518,0.0
20,ItemKNN,LightGCN,0.2873,0.7127,0.0
21,ItemKNN,LightGCL,0.3504,0.6496,0.0
22,ItemKNN,ALS,0.1342,0.8658,0.0
23,ItemKNN,BPR,0.8311,0.1689,0.0
24,ItemKNN,LightFM,0.0729,0.9271,0.0
25,ItemKNN,MostPop,0.8694,0.1306,0.0
26,ItemKNN,Random,1.0,0.0,0.0
27,SLIM,LightGCN,0.172,0.828,0.0
28,SLIM,LightGCL,0.3103,0.6897,0.0
29,SLIM,ALS,0.6146,0.3854,0.0
30,SLIM,BPR,0.8655,0.1345,0.0
31,SLIM,LightFM,0.4426,0.5574,0.0
32,SLIM,MostPop,0.857,0.143,0.0
33,SLIM,Random,1.0,0.0,0.0
34,LightGCN,LightGCL,0.5898,0.4102,0.0
35,LightGCN,ALS,0.7361,0.2639,0.0
36,LightGCN,BPR,0.8773,0.1227,0.0
37,LightGCN,LightFM,0.6958,0.3042,0.0
38,LightGCN,MostPop,0.9774,0.0226,0.0
39,LightGCN,Random,1.0,0.0,0.0
40,LightGCL,ALS,0.5341,0.4659,0.0
41,LightGCL,BPR,0.7951,0.2049,0.0
42,LightGCL,LightFM,0.5517,0.4483,0.0
43,LightGCL,MostPop,0.9893,0.0107,0.0
44,LightGCL,Random,1.0,0.0,0.0
45,ALS,BPR,0.9977,0.0023,0.0
46,ALS,LightFM,0.7247,0.2753,0.0
47,ALS,MostPop,0.923,0.077,0.0
48,ALS,Random,1.0,0.0,0.0
49,BPR,LightFM,0.0006,0.9994,0.0
50,BPR,MostPop,0.8138,0.1862,0.0
51,BPR,Random,1.0,0.0,0.0
52,LightFM,MostPop,0.9163,0.0837,0.0
53,LightFM,Random,1.0,0.0,0.0
54,MostPop,Random,1.0,0.0,0.0
