,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.02688848920863309,0.026408872901678655,0.022301658673061553,0.02427075636571879,0.024730216711759567,0.03237410071942446,0
10,0.03781474820143885,0.037754796163069544,0.02378396687411975,0.028351653001686718,0.02662370167672634,0.048561151079136694,0
20,0.05722850291195614,0.05722850291195614,0.02648756543687232,0.034962230869611165,0.027916964143514633,0.0683453237410072,0
100,0.13567670494146553,0.13567670494146553,0.029386856008627067,0.05365845116613759,0.030049365013837814,0.1618705035971223,0
5,0.024250599520383692,0.023659643713600548,0.015197841726618705,0.01869122180541946,0.0186750590801239,0.0341726618705036,1
10,0.034735782802329564,0.03467583076396026,0.01648300407293213,0.022065796654573363,0.01991513930261135,0.045863309352517985,1
20,0.059369647139431304,0.059369647139431304,0.01951071663244804,0.030340550916200547,0.021817104890942574,0.07284172661870504,1
100,0.14142699387288196,0.14142699387288196,0.02244877391342502,0.0494129076495639,0.02411210723221302,0.1681654676258993,1
5,0.026543764988009592,0.02584682254196643,0.019431205035971226,0.022605365330298638,0.024445444345474243,0.03597122302158273,2
10,0.03519184652278177,0.035131894484412465,0.020680645959422938,0.025733489805324063,0.02579507976770401,0.047661870503597124,2
20,0.05815561836245289,0.05815561836245289,0.023342694045788714,0.03330951210807746,0.02747400291264057,0.07194244604316546,2
100,0.14175516729473567,0.14175516729473567,0.02679199383359611,0.053808640663455344,0.029957758262753487,0.17086330935251798,2
5,0.017865707434052757,0.01731115107913669,0.01434877098321343,0.016166703368558518,0.017041368409991264,0.022482014388489208,3
10,0.028821942446043164,0.02877697841726619,0.015677190390544708,0.019939742879293385,0.018985524773597717,0.03776978417266187,3
20,0.051554470709146975,0.051554470709146975,0.018108894439058085,0.027096874758161665,0.020713668316602707,0.06384892086330936,3
100,0.13170784800730845,0.13170784800730845,0.02135346872107642,0.046547450864111495,0.023166893050074577,0.1591726618705036,3
5,0.0193794964028777,0.01855515587529976,0.013624850119904077,0.016339286613356856,0.01866007223725319,0.02877697841726619,4
10,0.031504796163069546,0.03141486810551559,0.015137812369152298,0.020797663478893797,0.020451853051781654,0.044064748201438846,4
20,0.049700239808153475,0.049700239808153475,0.0171051504539248,0.026413996821516347,0.021707814186811447,0.06205035971223022,4
100,0.12954422176544478,0.12954422176544478,0.02044676358706705,0.04571259499622911,0.02398299053311348,0.1528776978417266,4
5,0.023201438848920865,0.022153348749571772,0.01632868705035971,0.01957668616142767,0.02150779403746128,0.03327338129496403,5
10,0.03989165810208976,0.03983170606372045,0.01808855296715009,0.025220637669486134,0.024095723405480385,0.05665467625899281,5
20,0.06907759506680371,0.06907759506680371,0.021393566505040408,0.03448160009696659,0.026091458275914192,0.08633093525179857,5
100,0.15939297822825485,0.15939297822825485,0.024722631226691417,0.05548087405499618,0.02852780371904373,0.18974820143884893,5
5,0.016741606714628297,0.015507237067488867,0.01258668065547562,0.015294457790682295,0.01875000074505806,0.02697841726618705,6
10,0.034189791024323395,0.03405489893799246,0.014495308515092686,0.02103793848330163,0.0214432030916214,0.048561151079136694,6
20,0.0543272524837273,0.0543272524837273,0.016668854885252077,0.027610926605134537,0.023094817996025085,0.07194244604316546,6
100,0.1524077166837958,0.1524077166837958,0.020025189197448817,0.050020308514596205,0.02571418695151806,0.18345323741007194,6
5,0.015737410071942445,0.01455442788626242,0.009030025979216627,0.011646472252391519,0.012125300243496895,0.023381294964028777,7
10,0.025892857142857145,0.025757965056526208,0.010069622873130069,0.015094889187475959,0.013832149095833302,0.0368705035971223,7
20,0.043957690990065086,0.043957690990065086,0.012229653532992385,0.021264141703894693,0.015548220835626125,0.06025179856115108,7
100,0.12378907219052343,0.12378907219052343,0.015051358289370051,0.040159548878834925,0.01792711578309536,0.15827338129496402,7
5,0.023036570743405278,0.022813891743747858,0.01633443245403677,0.018901158626872847,0.019364507868885994,0.02787769784172662,8
10,0.03502911956149366,0.03502911956149366,0.01786832438810856,0.02303131442851908,0.021423576399683952,0.044964028776978415,8
20,0.06265630352860568,0.06265630352860568,0.021002864851025295,0.03179087496793924,0.023334726691246033,0.07194244604316546,8
100,0.14784458147767499,0.14784458147767499,0.02427060399036371,0.052650517904199425,0.025843502953648567,0.17805755395683454,8
5,0.01705635491606715,0.01671163069544365,0.012509992006394882,0.01463241007044311,0.015767386183142662,0.022482014388489208,9
10,0.028597122302158273,0.028552158273381294,0.014569802491340262,0.019267022958576522,0.017759008333086967,0.039568345323741004,9
20,0.049417608770126756,0.049417608770126756,0.01702180108779445,0.025961588646470888,0.01929914392530918,0.06205035971223022,9
100,0.1305219002138191,0.1305219002138191,0.020062267255153386,0.04484048168226073,0.021688692271709442,0.16097122302158273,9
