,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0720566217503743,0.022749635979977867,0.043958078127126717,0.0708271304798298,0.12283245474100113,0.2143732135565537,0
10,0.07676084180779975,0.039342525207450275,0.03567674847565571,0.07101949891586479,0.13603365421295166,0.31318905675786035,0
20,0.08379701070824445,0.06015620382427608,0.02961566237308273,0.07108391974095965,0.14239123463630676,0.40465496120865657,0
100,0.188444052399155,0.18592495486351682,0.02801804253271278,0.1012680691906607,0.14798463881015778,0.634136382196815,0
5,0.07057982850142916,0.020140319702519616,0.042790935075541034,0.06960020058768819,0.12136926501989365,0.21396488362596977,1
10,0.0725769183404953,0.035267000222483115,0.033577798824413085,0.06810812926227101,0.13270577788352966,0.29848917925683954,1
20,0.08145916483128739,0.05756602752928474,0.027438748526607,0.06892928256246568,0.13994883000850677,0.40302164148632097,1
100,0.17938304295830484,0.17665219459231238,0.025480675898180902,0.09770392666978411,0.14529605209827423,0.6271947733768886,1
5,0.06844970736354974,0.019403984545186898,0.042127966063245766,0.06969018814923422,0.12835851311683655,0.21927317272356064,2
10,0.06913139149766344,0.03303178568488524,0.03247644991332891,0.06727742236367651,0.1394498497247696,0.30298080849326253,2
20,0.07704820952854838,0.05433035123657677,0.02650756556988685,0.0672959579287071,0.14598651230335236,0.398121682319314,2
100,0.17903315617813834,0.17633875673794136,0.02518291379678502,0.09749103539562196,0.15169401466846466,0.6329113924050633,2
5,0.06985844562406424,0.020706726835614992,0.042961299396579104,0.06975778546926999,0.12533687055110931,0.21518987341772153,3
10,0.07292270249599772,0.036270350892565834,0.03310235396958112,0.06849199134104368,0.13780243694782257,0.30706410779910165,3
20,0.08265485129753039,0.059271380963866804,0.026999021454282235,0.06902098702387822,0.1445179134607315,0.40669661086157616,3
100,0.1815744342414517,0.17901916104092397,0.026050895074870725,0.09894198145471228,0.15005210041999817,0.6337280522662311,3
5,0.07132843337416633,0.019151390569618117,0.04258064516129032,0.07004597904706832,0.12241732329130173,0.21723152307064109,4
10,0.07143521489172776,0.033331135164133704,0.03244365344023368,0.0676129046488214,0.1337985396385193,0.300939158840343,4
20,0.07978337723899508,0.056380342466965466,0.02570930352281584,0.06736774223023712,0.1404876559972763,0.398121682319314,4
100,0.18523064050058322,0.1829260497573046,0.02446678451119632,0.09832546708829827,0.14623679220676422,0.634136382196815,4
5,0.06769429699196951,0.018843843810617378,0.041794723469897016,0.0687124520008646,0.12490133196115494,0.21355655369538587,5
10,0.06950682818383921,0.03152097018271482,0.03301371909863714,0.06758298835493282,0.1370638906955719,0.3037974683544304,5
20,0.0790064923994771,0.0535745737804965,0.02733558546406897,0.06852616059661824,0.14405672252178192,0.40587995100040836,5
100,0.17574725068458188,0.17260784131962847,0.025795699955819488,0.09773054577761774,0.14948928356170654,0.6308697427521437,5
5,0.0705934394991153,0.01969782428894879,0.04257304568758223,0.07049099425385341,0.12572477757930756,0.22090649244589627,6
10,0.07518860953936495,0.036234683434210206,0.03410958792421585,0.07043382787416655,0.13721635937690735,0.3058391180073499,6
20,0.08381799065143314,0.05946767459168863,0.027877375692997367,0.07068470308587758,0.14425064623355865,0.40628828093099223,6
100,0.18500796479823342,0.18224274485727013,0.026485097200743577,0.10122918631477063,0.14980126917362213,0.6402613311555737,6
5,0.07122635089152035,0.019704504869721896,0.043454357787759176,0.07075299004032319,0.12346535921096802,0.21518987341772153,7
10,0.07366968701186749,0.035651933681905716,0.033517325305725335,0.06912058890687414,0.13532394170761108,0.30624744793793385,7
20,0.0804862323481947,0.05678331810128205,0.026756489976714908,0.06858768871973718,0.14277935028076172,0.4152715394038383,7
100,0.18592570148239643,0.18361564510324524,0.02525830018003434,0.09930274562732351,0.1481812447309494,0.6345447121273989,7
5,0.0710017694296992,0.021105155752559144,0.04315831858808584,0.0705289287158465,0.124724380671978,0.22090649244589627,8
10,0.07311908974832616,0.03707422880849725,0.03363047527587476,0.06886718732205618,0.13687917590141296,0.3115557370355247,8
20,0.08383287240966879,0.061256546208456136,0.028054475546898897,0.07008535313353483,0.144194096326828,0.4189465087790935,8
100,0.18941832514939266,0.1866911163701284,0.02718574864734914,0.10173268901038064,0.14963199198246002,0.6443446304614128,8
5,0.06734721655097319,0.01657092856018479,0.04157309105757452,0.0680895821630764,0.12150537967681885,0.20988158432013065,9
10,0.06931659828760688,0.03180241824429755,0.032369325548830305,0.06649325503175975,0.13192978501319885,0.2878726010616578,9
20,0.07871607240089605,0.05486283264256018,0.026134846743997815,0.0669519877351877,0.1391889601945877,0.3924050632911392,9
100,0.17236784263247387,0.16951803546910404,0.024382799670476733,0.09507506908711913,0.14475305378437042,0.6173948550428746,9
