Run_id,k,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@k,Diversity@k,Novelty@k
0,5,0.019083891935811496,0.006364925936825706,0.009888279504367256,0.018910700754266183,0.03745683655142784,0.07495429616087751,0.2627784123358081,0.7074562124893085,74.55032891352319
0,10,0.022047628720389227,0.012172569921107552,0.007980245362866296,0.020656964817754645,0.04595992714166641,0.14076782449725778,0.3713592233009709,0.7143916153363936,107.01367873526655
0,20,0.026596270097976563,0.020532815588962562,0.006883835368255176,0.02247521794352211,0.050831388682127,0.21267519804996954,0.44653055396916047,,157.32840509401308
0,100,0.10410005990356686,0.10329796844040937,0.008519928797300798,0.048015056579458176,0.05842328444123268,0.5173674588665448,0.5197030268418047,,372.945542809064
1,5,0.022476132439569366,0.0063003585970824744,0.011415803371927687,0.021866740339239122,0.041905343532562256,0.08653260207190737,0.26906053683609366,0.703170579410832,74.08120349606533
1,10,0.023305572482903377,0.011679447163361743,0.008561450360494932,0.022085994002424926,0.0489979013800621,0.1425959780621572,0.38106796116504854,0.7136422362221013,106.47556092701213
1,20,0.02760494567076769,0.01983247013256389,0.007268010616569017,0.023801748480093806,0.0537300743162632,0.21511273613650214,0.4605939463163906,,155.08177313335352
1,100,0.09251559251554467,0.0918420000920874,0.008209460516277705,0.04570097699525107,0.06055358052253723,0.5009140767824497,0.5211307824100514,,364.2749185347306
2,5,0.02031281738777168,0.006258702378771697,0.010556571196424945,0.020471187156839654,0.0421287827193737,0.08348567946374162,0.25985151342090235,0.7026839047508383,74.0711683698096
2,10,0.024373688130543705,0.012805785517138355,0.008453912666246899,0.02269824182536823,0.05151402950286865,0.15600243753808654,0.374571673329526,0.7115344764008362,108.09178482057926
2,20,0.02854996279204315,0.021027894829948386,0.00730795220082504,0.024431739055882355,0.05630328506231308,0.2254722730042657,0.45424043403769276,,157.92928985268694
2,100,0.09431906820041168,0.09332987189884429,0.008477094566755798,0.046999049191774986,0.06316164135932922,0.5045703839122486,0.5356938892061679,,375.0708313874839
3,5,0.02046516351817997,0.007937542173630538,0.010312817387771683,0.019858177559918744,0.038970138877630234,0.07982937233394272,0.26106510565391206,0.7094138677679309,75.54975289540785
3,10,0.023472427768588648,0.01448391621457956,0.008097983607418185,0.020965156292804016,0.046711500734090805,0.14076782449725778,0.3642918332381496,0.7182566425431263,109.80878928131979
3,20,0.029180078826687685,0.023338421682427817,0.007366992246803744,0.0232662859989894,0.051025327295064926,0.2041438147471054,0.4390348372358652,,159.3650581479454
3,100,0.09896974187169712,0.09841190525718203,0.00910830677149387,0.04710518696421396,0.05791401490569115,0.4844606946983547,0.4986436322101656,,375.34329632901273
4,5,0.019845622587852937,0.005933169098180486,0.00962015031484867,0.019127335957395786,0.03746699541807175,0.08043875685557587,0.27063106796116504,0.7016152421627522,73.37814737067843
4,10,0.023297108808991808,0.01286194071567926,0.007606523396818948,0.020989549239348582,0.04640753194689751,0.14747105423522242,0.3786407766990291,0.7131586789863034,107.90449122080268
4,20,0.029333198502280073,0.023208110924345264,0.006634625267698799,0.023335391721585046,0.05138435214757919,0.21998781230956735,0.45731010850942316,,155.96405658701718
4,100,0.10926157799934404,0.10863262651152758,0.008641121502982548,0.050236210440013876,0.05884615331888199,0.5277269957343084,0.5253426613363792,,367.5169473408629
5,5,0.018555758683729436,0.005346419638897905,0.010111720495632744,0.019317330550612553,0.040910013020038605,0.07678244972577697,0.2661336379211879,0.7021809803368382,72.87565169688406
5,10,0.025352088834721374,0.013991038700892086,0.008558820576100981,0.022500861926118228,0.04957633465528488,0.14564290067032298,0.37685608223872075,0.7136851425195848,107.19543712204059
