,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.01870810481413772,0.006870981274794921,0.009674994921795655,0.018838272167663875,0.039274830371141434,0.07678244972577697,0
10,0.022699815250089468,0.013532263977935341,0.008107984656836983,0.020507579661230672,0.045748330652713776,0.125533211456429,0
20,0.028178107697835342,0.021901238858748083,0.007439132308807877,0.02274275823527241,0.04981816187500954,0.18647166361974407,0
100,0.09744822908029742,0.09647848367713127,0.00892544478699012,0.045705253717617196,0.056906022131443024,0.4844606946983547,0
5,0.021287832622384727,0.007141217415538179,0.01102579727808247,0.021873254549493328,0.04710542410612106,0.09262644728823888,1
10,0.022714082586111836,0.012931129650849311,0.00831692388174716,0.022175836285400822,0.054877497255802155,0.15417428397318708,1
20,0.02916514643666969,0.022587362499722728,0.007517670257509065,0.0248687117543107,0.060057979077100754,0.2303473491773309,1
100,0.10073588870404618,0.09953131401347601,0.009069889450097594,0.049585158639576105,0.06768885254859924,0.5417428397318708,1
5,0.02111517367458867,0.005969517864526209,0.011700182815356492,0.022323757159416664,0.04783668369054794,0.08653260207190737,2
10,0.021827815017942988,0.011189132990111364,0.008276078594482006,0.02190546993760485,0.05520056560635567,0.1450335161486898,2
20,0.026317372903168774,0.019762586293338522,0.007037676609185894,0.0235112028582869,0.05965226888656616,0.21145642900670322,2
100,0.10010909147301159,0.09929765930603814,0.008564042440976416,0.04849769742222669,0.06648251414299011,0.5015234613040829,2
5,0.019683120048750766,0.007246014540412805,0.011072516758074346,0.02067983297212401,0.04369286820292473,0.07861060329067641,3
10,0.024080361374694097,0.013742938819959477,0.009049459560834739,0.02257983719042148,0.05133000388741493,0.13772090188909203,3
20,0.027953433032572837,0.022010752015927646,0.007789667754252191,0.024203094191950412,0.05676621198654175,0.21755027422303475,3
100,0.09732881433956504,0.09662876950235011,0.009374196815054501,0.04843859224764165,0.06411159783601761,0.5191956124314442,3
5,0.018017469022953484,0.007076226121905749,0.009668901076579322,0.01863085939324422,0.039874061942100525,0.07495429616087751,4
10,0.021438002379501466,0.012322231195135543,0.00790852340326746,0.020472826632378663,0.04778542369604111,0.13345521023765997,4
20,0.027538690710593745,0.022030655394388046,0.007112973078690395,0.02279747221232461,0.052062027156353,0.19865935405240706,4
100,0.0862646986713866,0.08563234319325028,0.00829842352345755,0.04343398304184527,0.05897150933742523,0.48628884826325414,4
5,0.01854560227503555,0.005419748310888057,0.009280926264472881,0.01825768851126889,0.03691854327917099,0.07617306520414381,5
10,0.020058181712660692,0.010118505495268607,0.007157731713896654,0.01903019335572892,0.043578244745731354,0.12614259597806216,5
20,0.02685900915259194,0.020266395427390484,0.00649371729849831,0.022013079839076563,0.0491521917283535,0.20780012187690433,5
100,0.09662087813919107,0.09592512088525235,0.008211456000197298,0.04630961208365551,0.056240614503622055,0.49664838513101767,5
5,0.01875888685760715,0.006393375028856293,0.009211862685354458,0.01819920880621875,0.035984158515930176,0.07556368068251067,6
10,0.02285675594633547,0.013158784921474502,0.007766855991951026,0.020169812561028712,0.04285569116473198,0.1291895185862279,6
20,0.02798770580344434,0.022040104389622433,0.0068613738738919445,0.02235722699494459,0.047754641622304916,0.20048750761730652,6
100,0.10437617598989117,0.103647709637651,0.00846514897495537,0.04739109088662593,0.055145811289548874,0.505789152955515,6
5,0.022181596587446683,0.007234569530950528,0.01141377209018891,0.022192350149093522,0.04534836858510971,0.09018890920170627,7
10,0.025383525337821497,0.01331109293878031,0.009167515433058365,0.024022993093156638,0.054205235093832016,0.1590493601462523,7
20,0.029876301797589315,0.022803161975159015,0.007912469454273947,0.02569439118591697,0.05936744809150696,0.2352224253503961,7
100,0.09992943346294551,0.099095958012092,0.009274950144985295,0.04963071714480203,0.06622602045536041,0.5234613040828763,7
5,0.022628478569977656,0.006766290699978882,0.01196424944139752,0.022765285436869634,0.04574446380138397,0.08957952468007313,8
10,0.02529719586392347,0.014125952653662403,0.009335734598531674,0.023624755825100464,0.0538809597492218,0.15234613040828762,8
20,0.03169665151761416,0.024583361171120966,0.008252658305525058,0.025968455610075426,0.05924517288804054,0.2303473491773309,8
100,0.10156254640619002,0.1002852793352001,0.009591488459161066,0.04967833618399744,0.06610705703496933,0.5216331505179769,8
5,0.019825309770465163,0.007572210086117518,0.00975624619134674,0.019165787633963795,0.03862481936812401,0.07982937233394272,9
10,0.024029095692715437,0.0146210035578322,0.008082770297502168,0.021137134091763533,0.0463935062289238,0.1425959780621572,9
20,0.03024320852872027,0.024427933956736106,0.0074797149310431715,0.02374638640469157,0.05088390037417412,0.2096282754418038,9
100,0.09874597952732585,0.0979287257580021,0.009111851776379049,0.0473714582025153,0.058294665068387985,0.5149299207800122,9
