,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.009903381642512078,0.007910628019323672,0.007729468599033816,0.011528317777250772,0.021739130839705467,0.028985507246376812,0
10,0.010265700483091786,0.009903381642512078,0.006682769726247988,0.01120961286670135,0.02334943786263466,0.03985507246376811,0
20,0.0272285484242006,0.026741179345625952,0.007884162590654884,0.016576017105376224,0.026154203340411186,0.07608695652173914,0
100,0.06975528565801743,0.06968596008458366,0.009125674517045719,0.028487505614499184,0.028876204043626785,0.1956521739130435,0
5,0.013888888888888888,0.010230927489812634,0.009661835748792272,0.014319691598286558,0.024758456274867058,0.043478260869565216,1
10,0.01847826086956522,0.015587803909922017,0.009414538762364848,0.016233855607847392,0.02784103900194168,0.06884057971014493,1
20,0.02461983970136144,0.023448329204559883,0.009521729814382204,0.018147019727248373,0.029410120099782944,0.09420289855072464,1
100,0.07038164865238898,0.07038164865238898,0.010499740021150112,0.029184355977325136,0.03192334994673729,0.19927536231884058,1
5,0.01594202898550725,0.00875522157377369,0.008816425120772946,0.016150262442118243,0.03079710155725479,0.057971014492753624,2
10,0.02010869565217391,0.01587341152330348,0.007430411778237864,0.01747998025510192,0.03456982225179672,0.08695652173913043,2
20,0.030961726478030825,0.029495160299401645,0.0075570882680258186,0.020562178255516376,0.03679227456450462,0.11956521739130435,2
100,0.07597079593876233,0.07590147036532857,0.008456865415204889,0.03259341371918698,0.039932239800691605,0.2536231884057971,2
5,0.01714975845410628,0.011594560329284511,0.012729468599033815,0.01792367765392416,0.028381645679473877,0.043478260869565216,3
10,0.026992753623188405,0.02487903384733805,0.013015873015873017,0.022171814873569968,0.034006211906671524,0.07971014492753623,3
20,0.04878593125875735,0.04814175224892596,0.014119100517643628,0.028591363156331782,0.03785539045929909,0.13405797101449277,3
100,0.10412083712037139,0.10405151154693763,0.015756649992252455,0.04225229483960776,0.040400292724370956,0.2391304347826087,3
5,0.008816425120772946,0.005102523786314183,0.006159420289855072,0.010213827517514245,0.021739130839705467,0.03260869565217391,4
10,0.01672705314009662,0.014656393328321948,0.006173798021624108,0.013131638138986127,0.02578214928507805,0.06159420289855073,4
20,0.044722065374239284,0.043544439965028506,0.007682302909837859,0.02089406236332792,0.029173236340284348,0.10869565217391304,4
100,0.09868686488833424,0.09868686488833424,0.00927677906221055,0.034397798459996236,0.03229362517595291,0.23550724637681159,4
5,0.01823671497584541,0.011802150303294467,0.013574879227053138,0.01971043760773151,0.033212557435035706,0.04710144927536232,5
10,0.01823671497584541,0.01592111673044504,0.01097135955831608,0.01862452384791297,0.03642167150974274,0.07246376811594203,5
20,0.0336783988957902,0.03236142841352648,0.012028903774714512,0.024199170861813054,0.038959383964538574,0.10869565217391304,5
100,0.08380388726265357,0.08380388726265357,0.013469618221748334,0.03819444606521936,0.04229703173041344,0.23550724637681159,5
5,0.0036231884057971015,0.0008251695156544939,0.0012560386473429953,0.002933063362534688,0.004830917809158564,0.014492753623188406,6
10,0.013285024154589374,0.010726685054081178,0.002755923625488843,0.007401227695969477,0.008028525859117508,0.03985507246376811,6
20,0.0191094432942259,0.017356243026154225,0.002827380099694918,0.009796400907163721,0.010453591123223305,0.07246376811594203,6
100,0.07142453093439645,0.07135520536096268,0.0040372100133023656,0.023771116270842375,0.013857566751539707,0.21739130434782608,6
5,0.012560386473429951,0.007782420700174336,0.007415458937198068,0.012140254594808598,0.019927537068724632,0.03985507246376811,7
10,0.020471014492753625,0.01695282222196794,0.008302852541982975,0.016494307011285108,0.024505408480763435,0.07608695652173914,7
20,0.03878693769998117,0.037885629190383546,0.009030050877917027,0.021393765749729197,0.026838060468435287,0.11231884057971014,7
100,0.07979443550464878,0.07979443550464878,0.010260065459818725,0.03224058155763669,0.029358023777604103,0.213768115942029,7
5,0.016545893719806762,0.010690148700409274,0.012729468599033816,0.01829636860289297,0.032608695328235626,0.043478260869565216,8
10,0.02361111111111111,0.020324402121272712,0.011291982976765586,0.019946758724223548,0.03753163293004036,0.07971014492753623,8
20,0.04185213940648723,0.03987860251996765,0.012341699139783504,0.02576615199430975,0.03992375731468201,0.11594202898550725,8
100,0.09722851397758232,0.09715918840414857,0.013377082953409189,0.03952359560783192,0.04341759905219078,0.2753623188405797,8
5,0.012801932367149759,0.010503350475299985,0.010869565217391304,0.013395394544050903,0.019323671236634254,0.025362318840579712,9
10,0.023852657004830913,0.021938377969233508,0.01131383712905452,0.017977933735561478,0.02574189193546772,0.07246376811594203,9
20,0.043877373632808414,0.0435935293798197,0.012562459809390476,0.02367667253010129,0.02845912240445614,0.11231884057971014,9
100,0.11308303120627805,0.11308303120627805,0.014429519680187703,0.041107368516073266,0.03211686760187149,0.26811594202898553,9
