,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0008307372793354102,8.605384776208017e-05,0.0001973001038421599,0.0005912877747045287,0.0009865005267784,0.004153686396677051,0
10,0.0008307372793354102,0.00028156201942236266,0.0001654057261533897,0.0006788980776086052,0.0014232968678697944,0.007268951194184839,0
20,0.004330877383836885,0.004015676835990552,0.0003496217341543962,0.0017724459531879436,0.0023198092821985483,0.020768431983385256,0
100,0.016323206546943272,0.016281830753150574,0.0006048644376945989,0.005149695985872984,0.0036502983421087265,0.08099688473520249,0
5,0.0008307372793354102,0.00027698943212546074,0.0003530633437175493,0.000791798528007654,0.0017653168179094791,0.004153686396677051,1
10,0.0016095534787123572,0.0008526094888927942,0.0004320163510194663,0.0013520381974559176,0.0028779113199561834,0.012461059190031152,1
20,0.0038107790444239045,0.0033162178264773004,0.0005330697928079939,0.0021871417803267217,0.003951127175241709,0.029075804776739357,1
100,0.019163823387442977,0.019108540456350714,0.0008246120183260973,0.006043663352855508,0.00527505949139595,0.09449636552440291,1
5,0.0012461059190031155,0.00017882080822573195,0.0003115264797507789,0.0009034388912733504,0.0015576323494315147,0.006230529595015576,2
10,0.0017653167185877469,0.0006867486791854825,0.00034115446109215576,0.0013882677103166546,0.002653332194313407,0.014537902388369679,2
20,0.005434342973283783,0.004893991157379268,0.0004787168722352568,0.0025346573491646096,0.003904609940946102,0.033229491173416406,2
100,0.018103929748810907,0.01801074331253018,0.0007357388401682836,0.005952657701863954,0.005119843874126673,0.09345794392523364,2
5,0.0006230529595015578,6.365569144927129e-05,0.0002492211838006231,0.0005806621048612636,0.0012461059959605336,0.003115264797507788,3
10,0.0017133956386292833,0.0008535106087575958,0.00033637442515947193,0.0012956111487218284,0.0024324613623321056,0.012461059190031152,3
20,0.004262410025649901,0.003886324455223361,0.00040087910381658313,0.0020797786724449006,0.0032560050021857023,0.02596053997923157,3
100,0.017358150439801396,0.017311208025081293,0.0006718576596104708,0.005479310965715065,0.004430051892995834,0.07995846313603323,3
5,0.0006230529595015578,6.930511229160818e-05,0.00014537902388369678,0.0004396072452728501,0.0007268951158039272,0.003115264797507788,4
10,0.0009865005192107998,0.00043162943529914097,0.00016581779821655214,0.0007224925579368853,0.0014851076994091272,0.008307372793354102,4
20,0.0047098568905422486,0.0043597714126408175,0.00035609616730152525,0.0019462542740108161,0.0025891743134707212,0.024922118380062305,4
100,0.013818126523168744,0.013775248419895086,0.0005817477278046101,0.004896075930146003,0.003996701445430517,0.08826583592938733,4
5,0.0010384215991692627,0.00029434919092893847,0.00037383177570093456,0.000897176028372776,0.0018691589357331395,0.005192107995846314,5
10,0.0018172377985462098,0.0008652333488357846,0.00047882773739471563,0.0014785237948079016,0.0027526412159204483,0.012461059190031152,5
20,0.006518092499400912,0.0060762366694397845,0.0006958536142195556,0.0029517590791116794,0.004064872860908508,0.033229491173416406,5
100,0.026234766586017325,0.02617471540544556,0.0011433727802443619,0.0077904939003621875,0.005608788225799799,0.1059190031152648,5
5,0.0008307372793354102,9.17211400754676e-05,0.00035306334371754935,0.0008028700640871489,0.0017653168179094791,0.004153686396677051,6
10,0.0009865005192107998,0.000385823323653474,0.0002696599581334784,0.0008820425899017889,0.002226837445050478,0.007268951194184839,6
20,0.005041289620728873,0.004701855410046041,0.00043879970808686223,0.002098664031326943,0.0032980688847601414,0.02284527518172378,6
100,0.01709213819894396,0.017058430680757432,0.000625970215492276,0.004954581758693043,0.004300548695027828,0.07476635514018691,6
5,0.0008307372793354102,0.00011642946679799673,0.00023883696780893044,0.0006463808614765499,0.0011941847624257207,0.004153686396677051,7
10,0.0012980269989615785,0.0006100597362724313,0.00022651601312037448,0.0009742655378146785,0.0020920902024954557,0.01142263759086189,7
20,0.002548126847192268,0.002207975263104675,0.00024230503731260107,0.001364176412172112,0.0026714755222201347,0.020768431983385256,7
100,0.01316810731735271,0.013117038443655936,0.00045286247056505665,0.004373541463867977,0.00392221799120307,0.08203530633437175,7
5,0.0016614745586708203,0.00013669367897891263,0.00042575285565939777,0.001222234293158893,0.0021287642884999514,0.008307372793354102,8
10,0.002336448598130841,0.0007726595690778609,0.00046275692693138173,0.0017995969462990605,0.0033336628694087267,0.017653167185877467,8
20,0.005801847857922624,0.005154473041800425,0.0005333139339264271,0.002780067014719965,0.0043861521407961845,0.03426791277258567,8
100,0.018685286970043177,0.018588174166287635,0.0007736780859943571,0.006192937220487762,0.005567352753132582,0.08722741433021806,8
5,0.0016614745586708203,0.0005066371112169436,0.0007165109034267912,0.0015990313990374935,0.0035825546365231276,0.008307372793354102,9
10,0.001557632398753894,0.000597381516330644,0.0006427500041207206,0.0016382440229362615,0.004053965210914612,0.012461059190031152,9
20,0.006175185147147764,0.005647834697624947,0.0008575786401373862,0.0029489690241358904,0.0051498753018677235,0.029075804776739357,9
100,0.01823623883227704,0.01817333671516966,0.0010298389098857823,0.00592978948090664,0.00631686532869935,0.08515057113187954,9
