,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.023589883551673945,0.0022141841911435564,0.012715914604560893,0.024581715223080274,0.05283843353390694,0.10043668122270742,0
10,0.024542307825604768,0.00437187215319456,0.009014579145583512,0.024875033522689327,0.06293444335460663,0.17812954876273654,0
20,0.028846033490017464,0.011150023575849155,0.006651783141720653,0.027693277689551037,0.0744352862238884,0.34661572052401746,0
100,0.05745402958243238,0.05084790397201375,0.005594024105153307,0.04353433531751991,0.08489689975976944,0.7756550218340611,0
5,0.023635371179039306,0.0022471520195580267,0.012006307617661329,0.023945735422935405,0.05084000900387764,0.10207423580786026,1
10,0.024445917377140088,0.0043037869335461505,0.008648682928613788,0.024384079417688814,0.06082244962453842,0.17958515283842794,1
20,0.028409035290482422,0.010835614562206667,0.006578677473632419,0.027194357820480432,0.07168781757354736,0.3397016011644833,1
100,0.05861742823923115,0.051839225673384656,0.005775863454555292,0.044064467695644344,0.08241797983646393,0.7780203784570596,1
5,0.024296458030082485,0.002604591748465208,0.01276382823871907,0.024938645346406864,0.05313561111688614,0.1029839883551674,2
10,0.025392493241838218,0.004872533529414061,0.009053462643346196,0.025487731651518027,0.06434976309537888,0.18850072780203783,2
20,0.029336035508277014,0.011431476300170685,0.0067965764684928065,0.028136326363734667,0.07507896423339844,0.34788937409024745,2
100,0.05833594493041597,0.051860239350131274,0.005667874425026294,0.04406215646468748,0.08578186482191086,0.7836608442503639,2
5,0.023780931586608444,0.002106138438498068,0.012375060650169818,0.024340792831956518,0.051646653562784195,0.10116448326055313,3
10,0.024462162958342002,0.004201773769537675,0.008766276868987932,0.024605303273528275,0.06173565983772278,0.17903930131004367,3
20,0.028558784392826095,0.010629237149538177,0.00665044305564899,0.027358258615483418,0.07248520851135254,0.3373362445414847,3
100,0.05772439783333647,0.0507529606642083,0.0056050845625436885,0.043697124073953396,0.08351748436689377,0.7809315866084425,3
5,0.023183527413876758,0.0025268728974547744,0.012457544881125668,0.024449966841377326,0.05375424772500992,0.1009825327510917,4
10,0.024696460340565145,0.004681338607085054,0.008850123322011969,0.025055474760678237,0.0644875168800354,0.1841339155749636,4
20,0.028310807518490504,0.011367550659806817,0.00662250739886229,0.027409303917918244,0.07502952218055725,0.3397016011644833,4
100,0.058016391368485264,0.051626875685530454,0.005782809041361822,0.043874269069339326,0.08558914810419083,0.7716521106259098,4
5,0.02394468704512373,0.0023280013329831034,0.012578238719068413,0.024384231948792835,0.05084304139018059,0.10025473071324599,5
10,0.02580079884937964,0.0044754663935411,0.009266354366427147,0.02551189158705875,0.06170938163995743,0.18340611353711792,5
20,0.029599707079317923,0.011127043843957391,0.006972036781857581,0.028232808529176825,0.0723583847284317,0.3397016011644833,5
100,0.05762501956772763,0.05080826085992619,0.005674788958400261,0.04349630544910361,0.082860067486763,0.7738355167394468,5
5,0.02237384764677341,0.0022900021024212115,0.011415574963609898,0.022647453221490813,0.04793486371636391,0.09643377001455604,6
10,0.024021221783230517,0.004453985903239538,0.008166622382415688,0.023700317148239006,0.05957868695259094,0.18577147016011644,6
20,0.028254896309696086,0.011057621359779668,0.006208890598449181,0.02674921472599352,0.07026514410972595,0.34315866084425034,6
100,0.05734675038874787,0.05104204859178238,0.00546448777433034,0.04312115289019705,0.0809725821018219,0.777292576419214,6
5,0.023147137311984475,0.0024283778875656163,0.012466035904900533,0.02425876438167972,0.05258673056960106,0.09989082969432314,7
10,0.02442100748596382,0.004565972004482088,0.008864332790369907,0.024740925431998913,0.06328628957271576,0.18304221251819505,7
20,0.028314940075674595,0.011254307438676316,0.00666144761839269,0.027276351213487166,0.07397852092981339,0.34243085880640467,7
100,0.058366135536805225,0.05168595397336396,0.005776255441071121,0.04389714384808334,0.08463506400585175,0.7769286754002911,7
5,0.025794517224648227,0.002932003402608538,0.014126637554585153,0.027001410333706188,0.05799976363778114,0.10844250363901019,8
10,0.025972135579122476,0.005007611645860152,0.009834701812958728,0.026657622813618678,0.06873512268066406,0.1908660844250364,8
20,0.02970875389386347,0.01155511408561028,0.007365185715303647,0.028945648107833056,0.07930563390254974,0.34661572052401746,8
100,0.058970319978419124,0.052361572030182,0.006011202252339742,0.04468267487434498,0.08999336510896683,0.7787481804949054,8
5,0.024714944201843767,0.002587544921720672,0.01295426977195536,0.025334257489124927,0.05385735258460045,0.10589519650655022,9
10,0.02569336140569765,0.004987711642491362,0.009171010855417695,0.02572326940083912,0.06458795815706253,0.18904657933042213,9
20,0.02898265926523038,0.011303561022166857,0.006730301045965973,0.02790167969913514,0.07512956857681274,0.34406841339155747,9
100,0.05841131026866546,0.05176588486193859,0.005634348351957482,0.044101128511855325,0.08589863032102585,0.7776564774381368,9
