,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.016489361702127663,0.001364696658356715,0.007183806146572104,0.015913438963582726,0.034884754568338394,0.08067375886524823,0
10,0.015957446808510637,0.0026472802580178186,0.0046106326691433075,0.015667490724270695,0.0439322330057621,0.1524822695035461,0
20,0.014982269503546098,0.00489217029399955,0.002871613530203009,0.015083171291153911,0.05139521509408951,0.2632978723404255,0
100,0.026253210171238377,0.02588017508423693,0.001761523548683568,0.02201542494275797,0.061789371073246,0.7287234042553191,0
5,0.015602836879432626,0.0011784694889298785,0.008011229314420804,0.016534381266995964,0.03843085095286369,0.07535460992907801,1
10,0.01391843971631206,0.0022999854937083516,0.004827514634695486,0.014994986138435478,0.045746441930532455,0.13297872340425532,1
20,0.01422872340425532,0.0047902112685375975,0.0029876883756218948,0.014834700632610767,0.05374262109398842,0.25,1
100,0.025983800024451328,0.02561933223413021,0.0016893086875249472,0.021834105297321812,0.0647570937871933,0.7446808510638298,1
5,0.014361702127659574,0.0012496313184738876,0.0067494089834515365,0.014469193457683757,0.032860517501831055,0.0700354609929078,2
10,0.013829787234042552,0.002297351850090475,0.004284869976359338,0.014037774626679593,0.04074637219309807,0.13120567375886524,2
20,0.014435579196217492,0.00487513999444155,0.0027514981125271124,0.014359524474878742,0.0484125129878521,0.24556737588652483,2
100,0.02607680993108072,0.02566407654956352,0.0016935481148513708,0.021644285933910875,0.05909595265984535,0.7384751773049646,2
5,0.01702127659574468,0.0013968828620115454,0.008921394799054372,0.0184177025000953,0.04401595890522003,0.08421985815602837,3
10,0.017287234042553192,0.0029240272091209238,0.005769447258808961,0.018076887923216597,0.05336316302418709,0.15868794326241134,3
20,0.01632683215130024,0.005489423669292276,0.0035383653616868657,0.017116349826771,0.061141155660152435,0.2730496453900709,3
100,0.027169417286871285,0.026887118789858517,0.0019373854339605314,0.023252550308437907,0.07215284556150436,0.7562056737588653,3
5,0.01046099290780142,0.0008315654286490989,0.004872931442080378,0.010589859324329091,0.024364657700061798,0.05230496453900709,4
10,0.012145390070921986,0.0019811503485175747,0.0034525568501632335,0.011743229307777997,0.03240635246038437,0.11436170212765957,4
20,0.013253546099290782,0.0043283176579109696,0.002333232493167198,0.01269457600095448,0.04005895555019379,0.22606382978723405,4
100,0.025652266172954442,0.025393158406705495,0.0015049433205511764,0.02085248839108752,0.05166121944785118,0.7420212765957447,4
5,0.012588652482269504,0.0010210552684835172,0.006214539007092198,0.013140248923834169,0.030629435554146767,0.06205673758865248,5
10,0.014095744680851065,0.002298957054315111,0.004181406900821794,0.013925108620822543,0.039412010461091995,0.13297872340425532,5
20,0.014716312056737589,0.004867640770222508,0.002734297180968802,0.014393489721903149,0.046841710805892944,0.24468085106382978,5
100,0.02697663447093408,0.02662878878105514,0.0016836394013647314,0.022230804532024844,0.05873030796647072,0.7606382978723404,5
5,0.015425531914893618,0.0012517922455714124,0.007683215130023641,0.016094063860999583,0.03723404183983803,0.07535460992907801,6
10,0.015868794326241133,0.0026118574903782445,0.00489924575030958,0.015997404421781075,0.04616402089595795,0.149822695035461,6
20,0.01453900709219858,0.004827428124234674,0.0029890277335171446,0.015004503177598178,0.053028568625450134,0.25177304964539005,6
100,0.02772560261034476,0.027387397170826912,0.0018068607248702714,0.022959910549064905,0.06426900625228882,0.7624113475177305,6
5,0.015602836879432626,0.0012778458993953144,0.007225177304964539,0.015613308483800142,0.03509160876274109,0.07624113475177305,7
10,0.015159574468085107,0.0025633959193023573,0.004754833671057075,0.015387179306464084,0.043668732047080994,0.1400709219858156,7
20,0.015780141843971633,0.005348402306785025,0.003048755775679027,0.015740355259583037,0.052330512553453445,0.26684397163120566,7
100,0.02728488477440059,0.0268947961235053,0.0018024369822837718,0.022877659633933244,0.06387611478567123,0.7730496453900709,7
5,0.017021276595744685,0.0014409304031825297,0.00837174940898345,0.017755608500832208,0.04126773402094841,0.08421985815602837,8
10,0.014450354609929076,0.0025830231154752876,0.005041160081053698,0.015730152809655753,0.04850345849990845,0.13918439716312056,8
20,0.015322104018912527,0.005259655447691234,0.0031874642321500237,0.01588401930373591,0.05691800266504288,0.2632978723404255,8
100,0.026555324024043776,0.026133096888124686,0.001850242785591741,0.022476322014409675,0.06748353689908981,0.74822695035461,8
5,0.014361702127659578,0.00116865959343626,0.007408392434988179,0.015421121396797986,0.036598701030015945,0.07092198581560284,9
10,0.013829787234042554,0.002345080958341783,0.004697174378025442,0.014628928185352682,0.043716929852962494,0.1276595744680851,9
20,0.014731087470449173,0.005153596868477159,0.0030257292178392154,0.014983528082150182,0.05160525068640709,0.24468085106382978,9
100,0.026436687724189518,0.0260821058246879,0.0017636766948875345,0.022067975683133456,0.06278444826602936,0.7579787234042553,9
