,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.06263138138138138,0.01582894395514425,0.034648398398398395,0.05919083107031379,0.1011730507016182,0.20157657657657657,0
10,0.06760421135421135,0.029034984242287377,0.028643498409123405,0.06110501899939015,0.11442067474126816,0.30067567567567566,0
20,0.07741573289657654,0.04975646385456759,0.023958592812741805,0.06395520307007467,0.12258361279964447,0.4177927927927928,0
100,0.16907896454820368,0.1652900963262543,0.02262636976240025,0.09353661714124745,0.1294439435005188,0.6829954954954955,0
5,0.059496996996997,0.013407113164162187,0.03457175925925926,0.05795290713669811,0.09956832230091095,0.18468468468468469,1
10,0.06562097812097813,0.025525474860802075,0.02770847377990235,0.06047372108957792,0.11495871096849442,0.30067567567567566,1
20,0.07351195036469806,0.045242766439000374,0.022498920086609114,0.061748531578583704,0.1221635639667511,0.40878378378378377,1
100,0.15703476259688826,0.15230802637768132,0.020812894525216938,0.08895266030824724,0.12838444113731384,0.652027027027027,1
5,0.06701388888888889,0.014609466936117086,0.03860125750750751,0.06415208083597108,0.10800488293170929,0.20945945945945946,2
10,0.07026937651937652,0.027743558156849483,0.03131016326700851,0.06509630177963002,0.12152063846588135,0.3113738738738739,2
20,0.07794998212471123,0.04790954347521282,0.025381849760956324,0.06634474308893913,0.12943749129772186,0.42511261261261263,2
100,0.16538978052522949,0.16073814974558995,0.022919700755567502,0.09365729295367736,0.13575488328933716,0.6734234234234234,2
5,0.07106794294294294,0.0134330453864853,0.04113942067067067,0.06822752620867495,0.11401088535785675,0.21565315315315314,3
10,0.07239538645788646,0.024742611072541703,0.03270867274587512,0.06837835560702428,0.12901249527931213,0.32657657657657657,3
20,0.07785311377126393,0.04397282031399055,0.026076338827493013,0.06879775102915132,0.1376224011182785,0.44819819819819817,3
100,0.1609548875068781,0.15457039758401814,0.023412209941513513,0.09573469623805733,0.1435888111591339,0.678490990990991,3
5,0.06800863363363363,0.015352327649739903,0.03919309934934935,0.06455551783319793,0.10621245950460434,0.20382882882882883,4
10,0.06932222400972401,0.02522951194530824,0.03164822188259688,0.06522541300678708,0.11888629198074341,0.30011261261261263,4
20,0.0773954960608405,0.04484855558429157,0.025897474832826867,0.06693736684057319,0.12684854865074158,0.4161036036036036,4
100,0.15920720339520578,0.15444708146417388,0.022699699861477,0.0921880708094176,0.1330234557390213,0.6509009009009009,4
5,0.06828078078078079,0.01622405077231297,0.04023398398398398,0.06563619449928906,0.10914039611816406,0.20495495495495494,5
10,0.07043047511797511,0.028834178514394515,0.03153512515491683,0.06545700721104512,0.12296918034553528,0.31024774774774777,5
20,0.0791872261396255,0.0495618067361087,0.02576096012918137,0.06727602684846809,0.13156704604625702,0.4363738738738739,5
100,0.1728488573958326,0.16816859819678612,0.023793204832939625,0.09705479441610201,0.13792498409748077,0.6875,5
5,0.06140202702702703,0.013516434010138098,0.03409221721721722,0.058540047736776374,0.10046921670436859,0.19538288288288289,6
10,0.06095537501787501,0.024252324310561384,0.026376303493118966,0.05730228165727366,0.11184443533420563,0.28322072072072074,6
20,0.07300510925704423,0.04678033818522904,0.02132564589699848,0.06056704957672786,0.12052659690380096,0.4099099099099099,6
100,0.1601241055237837,0.1567946390467557,0.01975469502683275,0.08837071273198671,0.12709906697273254,0.6694819819819819,6
5,0.06545608108108109,0.012560692024240417,0.03817067067067067,0.06411227627904822,0.11156155914068222,0.20945945945945946,7
10,0.0628896753896754,0.02168901958731315,0.029200692507984176,0.061845881986356536,0.1242503672838211,0.30461711711711714,7
20,0.07374508448182984,0.04479582292607098,0.02327647736083904,0.06344582166056646,0.13143789768218994,0.4099099099099099,7
100,0.16854498709102195,0.1637472686377266,0.021370272968569654,0.0928172465414733,0.13810975849628448,0.6779279279279279,7
5,0.06128941441441441,0.011673311677503717,0.0365429491991992,0.06051636288966708,0.10537724941968918,0.19313063063063063,8
10,0.06253485628485629,0.02246406023914017,0.028855617947879848,0.06005013744742618,0.1168501079082489,0.27927927927927926,8
20,0.07279672313050796,0.04337860615750083,0.02347184119546425,0.0626892410533882,0.12535719573497772,0.4025900900900901,8
100,0.15961260466764626,0.15507930796253686,0.02111100862928765,0.09025008675681341,0.1320316046476364,0.6632882882882883,8
5,0.07315127627627628,0.018484756683473293,0.042475131381381384,0.06973941899783469,0.11556869000196457,0.21846846846846846,9
10,0.0750757453882454,0.030760920025866206,0.034518502877877874,0.07003863237262743,0.12830151617527008,0.3158783783783784,9
20,0.08120095779490129,0.0502864278993042,0.028414792182123463,0.07055705842382366,0.13593178987503052,0.43074324324324326,9
100,0.17132493885077094,0.1663499151835111,0.025683796001567692,0.09847795473416651,0.14205512404441833,0.6796171171171171,9
