,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.05519310428849902,0.052905637814409316,0.02972237451267056,0.04255279766297003,0.05615862458944321,0.10307017543859649,0
10,0.08832940278938085,0.0873437460268641,0.03394414917018627,0.05500248468330834,0.06377822160720825,0.16191520467836257,0
20,0.14155631194082222,0.14129672563329906,0.03789510732160379,0.07086314057372366,0.06951213628053665,0.2459795321637427,0
100,0.3472359361602741,0.3472359361602741,0.044219510900948784,0.11664479232545152,0.07578708976507187,0.5085891812865497,0
5,0.05462049220272904,0.051686169430864876,0.02760350674139051,0.040467995704540106,0.052387919276952744,0.10307017543859649,1
10,0.08758230936136638,0.0865117730366081,0.03146345224351112,0.05260820763161953,0.0603199228644371,0.1653874269005848,1
20,0.13920438455689968,0.13885013032292245,0.035258059504044204,0.06811470239732877,0.06600498408079147,0.24890350877192982,1
100,0.3371932211745539,0.3371856256884428,0.04127249766807925,0.11201864155078024,0.07206741720438004,0.5040204678362573,1
5,0.05850085282651072,0.056201749377410425,0.031394625162443145,0.044444319117813755,0.05730689689517021,0.10380116959064327,2
10,0.09121211593799312,0.09032720002379992,0.03547644665335811,0.05665549322628289,0.06500155478715897,0.16337719298245615,2
20,0.140394107369926,0.1400589838600081,0.039071969109620804,0.07129383256273343,0.07050850242376328,0.2447002923976608,2
100,0.33971066482183016,0.33971066482183016,0.0448762878208005,0.11535708362185777,0.07671337574720383,0.5056652046783626,2
5,0.05445297270955166,0.051554594756654616,0.02826292438271605,0.04103897664403936,0.05377071350812912,0.10105994152046784,3
10,0.09051897684024877,0.08940903974412877,0.03273229697783922,0.05433276760379212,0.061761900782585144,0.16337719298245615,3
20,0.1403711183370974,0.13996112411128936,0.03636877716135811,0.06924537165854068,0.06735166162252426,0.2450657894736842,3
100,0.3341884305156074,0.33417323954338524,0.04208859739729354,0.11271323285640968,0.07371348887681961,0.5102339181286549,3
5,0.05420626218323587,0.05212387928618112,0.02871837435022742,0.04122387791962181,0.05385599657893181,0.10014619883040936,4
10,0.08697583078065535,0.08599655784085448,0.03290074909173654,0.05374652742873849,0.061902374029159546,0.16301169590643275,4
20,0.13917020009210565,0.13887434737267942,0.03671947286210947,0.06942208905239541,0.06782329082489014,0.2501827485380117,4
100,0.33702258241679556,0.33701498693068443,0.042682027157954855,0.11340872101804715,0.07405606657266617,0.5105994152046783,4
5,0.06114766081871346,0.05814998831862387,0.030604237735542564,0.0447625067552672,0.056965768337249756,0.1120248538011696,5
10,0.0969339581592871,0.09579359646869111,0.03495742791309181,0.05779999444868834,0.06478994339704514,0.17306286549707603,5
20,0.1492135795497025,0.14881147894349753,0.03864231560166363,0.07342555446893538,0.0708322823047638,0.26224415204678364,5
100,0.33704502738288417,0.33704502738288417,0.044231314742851024,0.1152501432584697,0.0766342431306839,0.5102339181286549,5
5,0.05666727582846005,0.05382712906035212,0.028514457439896036,0.041736870845019106,0.05386513099074364,0.10361842105263158,6
10,0.09020960967232897,0.0892170909060431,0.032477672585711784,0.05393578232788144,0.06149386987090111,0.16209795321637427,6
20,0.14070976952733275,0.14034821049768112,0.03614581601472791,0.06909958214833262,0.06733974814414978,0.24798976608187134,6
100,0.3385398594371812,0.3385398594371812,0.04197185179661406,0.11287605267229962,0.07359542697668076,0.5078581871345029,6
5,0.05314327485380117,0.05098307033580154,0.027520153102664067,0.039771646854048166,0.0512152761220932,0.09941520467836257,7
10,0.08686523890745382,0.08597832150133337,0.03167541470542354,0.05229029568220628,0.05925041437149048,0.16191520467836257,7
20,0.13921681488328128,0.1389348777072595,0.03559084629837119,0.06804974357433667,0.06522088497877121,0.24835526315789475,7
100,0.33519993265532216,0.33519993265532216,0.04159805438711708,0.11197335847880327,0.07145839184522629,0.5069444444444444,7
5,0.05755056042884991,0.05502532025110022,0.0286194363222872,0.042355044138647754,0.055314935743808746,0.1069078947368421,8
10,0.09502235043627585,0.0940516200019268,0.03337002871256257,0.05617531219427037,0.06357176601886749,0.17068713450292397,8
20,0.14732628961416694,0.1469613565039343,0.0373297164964948,0.07185179998347803,0.06917258352041245,0.2531067251461988,8
100,0.3512177843444456,0.3512177843444456,0.043453743995394464,0.11683356572766247,0.0755007416009903,0.5155336257309941,8
5,0.061126340155945424,0.05856417400580373,0.03292793615984405,0.04676966178817568,0.06047149747610092,0.11330409356725146,9
10,0.09432029146941429,0.09337270616504328,0.037303748346791066,0.05928259325591319,0.06812068074941635,0.17196637426900585,9
20,0.14702136152890796,0.14668153943991236,0.04127017158919553,0.07513535983501873,0.07396233826875687,0.2573099415204678,9
100,0.348617235896816,0.3486020449245938,0.04741719534949337,0.11993725444153469,0.08026742935180664,0.5173611111111112,9
