,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.013369304556354916,0.013369304556354916,0.008526678657074339,0.010610587467656165,0.011855516582727432,0.02068345323741007,0
10,0.02175616649537513,0.021703708461801988,0.00999166738038141,0.013906338914026952,0.01337537169456482,0.03237410071942446,0
20,0.03907159986296677,0.039064105858170606,0.01136509154075403,0.018798651282032945,0.014871012419462204,0.05485611510791367,0
100,0.1366695928971109,0.1366695928971109,0.013865048273857258,0.04000395171354816,0.017532164230942726,0.18794964028776978,0
5,0.014913069544364508,0.014913069544364508,0.009577338129496403,0.01185854106570544,0.012874700129032135,0.02158273381294964,1
10,0.02674075025693731,0.026635834189791027,0.011954365079365079,0.016545367644275315,0.014660771936178207,0.03507194244604316,1
20,0.044214628297362106,0.044199640287769786,0.013450589277255731,0.021781614071702864,0.01641792058944702,0.06025179856115108,1
100,0.13009735069087586,0.13009735069087586,0.015710519100060223,0.04097064011856846,0.01887834630906582,0.18525179856115107,1
5,0.020848321342925663,0.020732699554642,0.013621103117505997,0.016353073003129746,0.01726618781685829,0.02787769784172662,2
10,0.03460089071599863,0.03457519698526893,0.015695015416238436,0.021278918882813462,0.01934952102601528,0.044964028776978415,2
20,0.05215613223706749,0.05215613223706749,0.017226578044215148,0.026642393632395508,0.020992062985897064,0.0683453237410072,2
100,0.15160082525112914,0.15160082525112914,0.020108318184607978,0.049778310631327836,0.023861868306994438,0.21402877697841727,2
5,0.009802158273381295,0.009686536485097636,0.004809652278177458,0.006599555947204549,0.006459832191467285,0.014388489208633094,3
10,0.021252997601918466,0.021227303871188763,0.006936736325225534,0.010862203073667257,0.008145983330905437,0.026079136690647483,3
20,0.03435680027406646,0.03435680027406646,0.007967676749144609,0.014635551254307327,0.009418264962732792,0.044064748201438846,3
100,0.13235483042137716,0.13235483042137716,0.01040596965960726,0.03601200582213169,0.012119785882532597,0.18615107913669066,3
5,0.01393884892086331,0.01393884892086331,0.006872002398081535,0.009093937133917224,0.008782974444329739,0.017985611510791366,4
10,0.02174760191846523,0.02174760191846523,0.007920449354801871,0.011859900489321397,0.01034029945731163,0.029676258992805755,4
20,0.033731586159643716,0.033731586159643716,0.008838183770389708,0.015459878258373156,0.011614358052611351,0.047661870503597124,4
100,0.1212315861596437,0.1212315861596437,0.01126813870932844,0.03527118158916856,0.014119716361165047,0.17266187050359713,4
5,0.013744004796163068,0.01362838300787941,0.008723021582733812,0.010477254874924504,0.010101919062435627,0.0170863309352518,5
10,0.026357485440219253,0.026331791709489547,0.010832459032773781,0.01521878072331293,0.012502141296863556,0.03507194244604316,5
20,0.03393499486125385,0.03393499486125385,0.011525335043591066,0.017698625850830808,0.013348075561225414,0.046762589928057555,5
100,0.14278612824026493,0.14278612824026493,0.014282103486342923,0.041498584756049575,0.016027022153139114,0.19244604316546762,5
5,0.022556954436450838,0.022556954436450838,0.016734112709832136,0.019310038319669237,0.02048860862851143,0.02877697841726619,6
10,0.03624314833847208,0.03624314833847208,0.01908130638346466,0.024245674285024763,0.022247202694416046,0.04316546762589928,6
20,0.04943687906817403,0.04943687906817403,0.020160192550989473,0.028054782562901164,0.02340303733944893,0.06025179856115108,6
100,0.15590400832043724,0.15590400832043724,0.022803260386234463,0.05121205592255971,0.026240086182951927,0.20953237410071943,6
5,0.015812350119904076,0.015812350119904076,0.006804556354916067,0.009751877776504443,0.008812950924038887,0.02158273381294964,7
10,0.028747002398081537,0.02869454436450839,0.009096205178714172,0.014510139086197013,0.010748901404440403,0.03597122302158273,7
20,0.0419214628297362,0.04191396882494005,0.0102974625059898,0.018480750378472483,0.011814869940280914,0.051258992805755396,7
100,0.14263446385748543,0.14263446385748543,0.013040390651878273,0.041199717971468305,0.01462035533040762,0.19244604316546762,7
5,0.020638489208633093,0.020522867420349433,0.014463429256594726,0.017028412597627943,0.01883992925286293,0.02787769784172662,8
10,0.030173004453579993,0.030147310722850294,0.015910664325682312,0.020554374702475682,0.020663468167185783,0.04136690647482014,8
20,0.03950411099691675,0.03950411099691675,0.016813998740773498,0.023496755826769678,0.0215972401201725,0.0539568345323741,8
100,0.14855540444491697,0.14855540444491697,0.019788885651510917,0.04782127566803545,0.02460133656859398,0.2077338129496403,8
5,0.01991906474820144,0.01980344295991778,0.012431055155875299,0.015081410184279848,0.015062949620187283,0.026079136690647483,9
10,0.026199040767386092,0.026120889003083247,0.013784436736325225,0.017724150986498568,0.016120675951242447,0.0341726618705036,9
20,0.04152535114765331,0.04151785714285714,0.015045596708848152,0.022210067858731163,0.017488572746515274,0.0539568345323741,9
100,0.14203296230011067,0.14203296230011067,0.017465075622472997,0.04384674473114141,0.020250149071216583,0.20053956834532374,9
