,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
0,6.514842510763653e-05,4.8059247492334794e-05,1.0667548800621539e-05,3.9913472456645294e-05,6.0140904679428786e-05,0.0003823929299796057,0
1,9.13494221617947e-05,7.453723614984175e-05,1.595327117930789e-05,5.4715189110226875e-05,7.961461960803717e-05,0.0004673691366417403,1
2,4.177996827554951e-05,2.7530556750232382e-05,5.786475025088213e-06,2.4229498633383666e-05,3.4597458579810336e-05,0.0002549286199864038,2
3,3.399048266485384e-05,2.5043252439581466e-05,7.00042083454728e-06,2.4336441276467856e-05,5.17950247740373e-05,0.0002124405166553365,3
4,3.186607749830047e-05,1.5177534115088743e-05,8.214366644006345e-06,2.7824701076018087e-05,7.30390747776255e-05,0.0002549286199864038,4
5,4.8861318830727395e-05,3.854759669560097e-05,1.1578008157715841e-05,3.591446819664403e-05,6.418739212676883e-05,0.00029741672331747113,5
6,3.399048266485384e-05,2.433672313248889e-05,6.115252015150044e-06,2.2610801354124946e-05,4.2943334847223014e-05,0.0002124405166553365,6
7,5.8067074552458646e-05,3.5480617203449095e-05,1.1097487941471626e-05,4.026401463114684e-05,8.2649479736574e-05,0.0003823929299796057,7
8,1.4870836165873554e-05,1.1489129982380444e-05,2.0485335534621734e-06,8.478836899535938e-06,1.1380741852917708e-05,8.49762066621346e-05,8
9,4.3904373442102876e-05,1.989843448520733e-05,9.934123207406688e-06,3.5176307248503e-05,8.517852984368801e-05,0.0003399048266485384,9
