,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.05362733088335375,0.01590838414845041,0.03161528515040153,0.05367259613635976,0.10058527439832687,0.17844017966516945,0
10,0.058201598320013995,0.026814756364182964,0.02529737149309764,0.05489383546381791,0.1130937859416008,0.27194773376888526,0
20,0.06846560327876389,0.04775317360650339,0.02110034340049736,0.056838684759822865,0.1193869486451149,0.3630053082890976,0
100,0.16112246309702768,0.15873239990023685,0.020123641031629395,0.08367021830904592,0.12507367134094238,0.6010616578195181,0
5,0.06069143868245542,0.01762293604034339,0.03815162651422349,0.062075789841276506,0.11414182186126709,0.19232339730502246,1
10,0.060075054930097814,0.027699420910873816,0.028871535895637082,0.059521932176015056,0.12507827579975128,0.27398938342180484,1
20,0.06786368226124707,0.04595608330771935,0.02353655592481639,0.060224192202523674,0.13159671425819397,0.365863617803185,1
100,0.15279252652837072,0.15041353839646499,0.021366040096656394,0.08431570845284699,0.13706891238689423,0.5949367088607594,1
5,0.060303525248400706,0.018727993571981003,0.037056962025316456,0.061063682065738374,0.1136518195271492,0.189873417721519,2
10,0.06130231322146389,0.029522004216184228,0.028369964008015985,0.05937996076100578,0.12505395710468292,0.2760310330747244,2
20,0.07123320092570827,0.05050541530156813,0.023450768280683675,0.06057178855295901,0.1319545954465866,0.3740302164148632,2
100,0.1579251305229335,0.15553348603620656,0.02191010100257589,0.08502486868869284,0.13714519143104553,0.5908534095549204,2
5,0.05566898053627331,0.01641218183108338,0.033146182115149046,0.05614192687383067,0.10485231876373291,0.1870151082074316,3
10,0.05875576036866359,0.028463145914306646,0.026277007298087334,0.05608481591015726,0.11592891812324524,0.27113107390771746,3
20,0.06715358392987603,0.047297467711594904,0.022013466388202833,0.0572811284963034,0.12168426066637039,0.3548387096774194,3
100,0.1543247516640556,0.1519399216335529,0.021060433615987514,0.08288478265851787,0.12726588547229767,0.5867701102490812,3
5,0.057404382741254936,0.018412806589035585,0.035005784674016605,0.0581050770969663,0.1080441027879715,0.18538178848509596,4
10,0.05790912390544894,0.029390227089800137,0.02697003688806708,0.05647199325155792,0.11857009679079056,0.26500612494895875,4
20,0.06959901578111513,0.05135001300238826,0.02269315384383502,0.05844400310444286,0.1247069239616394,0.3532053899550837,4
100,0.16261549767356256,0.16079413381644755,0.022250689049289334,0.0856194809468654,0.1305893063545227,0.58350347080441,4
5,0.05081665986116782,0.016951148459365354,0.030260650605689398,0.05035185751466233,0.09135701507329941,0.16496529195590037,5
10,0.0537555011115648,0.02764908386476654,0.024082517419350722,0.0505671523237088,0.10252047330141068,0.2490812576561862,5
20,0.06189930879121325,0.043997746717770736,0.0208290832616235,0.05313935046558262,0.10930431634187698,0.3434054716210698,5
100,0.1535315143574857,0.15170277700437282,0.020592834533281573,0.08033770450289111,0.1150704100728035,0.5830951408738261,5
5,0.05829590308969648,0.017340215706553905,0.03526235198040017,0.057995975409206785,0.10498843342065811,0.18538178848509596,6
10,0.061987724176372605,0.031346996850065846,0.027662591044765983,0.0575281361342759,0.11650188267230988,0.27194773376888526,6
20,0.07475646508473455,0.053216776213799326,0.02335900730375519,0.06105675856682392,0.12434608489274979,0.38587178440179665,6
100,0.1546135907713226,0.15134110330000072,0.021633288926047035,0.08541563024191957,0.12974128127098083,0.6006533278889342,6
5,0.054872737171634677,0.0154789747888582,0.03232952225398122,0.05549142102255932,0.10474342852830887,0.18824009799918334,7
10,0.055751456700823786,0.026159637599141902,0.024892248776013287,0.05434008968680106,0.11586815118789673,0.27072274397713353,7
20,0.06481009206571989,0.04498320259062938,0.020684041586977796,0.05634972897995603,0.12307795137166977,0.3736218864842793,7
100,0.15184679701645717,0.14964083551494334,0.02004138517407135,0.08307239177132794,0.1287568360567093,0.6059616169865251,7
5,0.058683816523751195,0.01683174727837903,0.03353341499931945,0.057384347639033696,0.10536272823810577,0.189873417721519,8
10,0.06154974171511534,0.028789917757964925,0.02580615750527182,0.05675637141700328,0.116653211414814,0.2772560228664761,8
20,0.07002008399203122,0.048381836217922865,0.02114747584147795,0.05829411030456771,0.12326806038618088,0.3715802368313597,8
100,0.15713087447446708,0.15509495182252325,0.01962928487633392,0.08346431768671803,0.12866918742656708,0.5892200898325848,8
5,0.06114740710494079,0.01697877472461193,0.03537906628555873,0.06018378051884645,0.10934394598007202,0.20293997550020418,9
10,0.06293530887242607,0.02858813950803116,0.027965537079886475,0.06009469570357889,0.1215839609503746,0.29603919967333603,9
20,0.0706096716833708,0.04858626444815226,0.02278857783219759,0.06073297654258393,0.1276727318763733,0.3870967741935484,9
100,0.15374588941155468,0.151414935351415,0.021268525663782255,0.08609895866215642,0.13327783346176147,0.620253164556962,9
