,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.044326469326469324,0.03333144479015871,0.03239668239668239,0.04699095847921778,0.0860038548707962,0.11454311454311454,0
10,0.05208805744520031,0.048617098192166176,0.028753857720694453,0.04739645311579906,0.09060437977313995,0.15057915057915058,0
20,0.06819359972279035,0.06728082186057142,0.028615251606689308,0.051485118390174375,0.09324333071708679,0.18983268983268983,0
100,0.15829376374229825,0.15829376374229825,0.03132651101482991,0.07423620046444185,0.09685111045837402,0.3474903474903475,0
5,0.052799227799227806,0.04115545077101152,0.03635939510939511,0.05331514423411342,0.09494852274656296,0.12998712998713,1
10,0.06600018385732671,0.06208310713528142,0.03308278253147868,0.0557109343570172,0.10208167135715485,0.18404118404118405,1
20,0.08105801309582822,0.07976889281512278,0.03310133370537786,0.060079140356997816,0.10470371693372726,0.22072072072072071,1
100,0.16783673895056975,0.1675212085836255,0.03582721354576911,0.08241509274659334,0.1081756129860878,0.3655083655083655,1
5,0.05447232947232947,0.04112997942817575,0.03817817817817818,0.05618443806085898,0.10108323395252228,0.14092664092664092,2
10,0.06305718984290413,0.0586492362269954,0.03349096200995294,0.055805629478392155,0.10622050613164902,0.18082368082368083,2
20,0.07801083335139063,0.07671054170568138,0.03309128885330967,0.05982508874417999,0.10904498398303986,0.22007722007722008,2
100,0.17165018847673189,0.17149242329325975,0.03573013202557047,0.08309161225451407,0.11252547055482864,0.37001287001287003,2
5,0.0470935220935221,0.03478887123917218,0.03259688259688259,0.04945950380990633,0.09313599765300751,0.13063063063063063,3
10,0.05631269024126167,0.05255096220260401,0.028750576175462797,0.050302679899974646,0.09919434040784836,0.1743886743886744,3
20,0.06998479050115494,0.0692426798603216,0.0283544263684717,0.05398107402421111,0.10177087783813477,0.21235521235521235,3
100,0.16012479389065457,0.16012479389065457,0.03140485489635846,0.0778439547355855,0.10534736514091492,0.3642213642213642,3
5,0.04993564993564993,0.03761779284875867,0.03530441155441155,0.05197041104851162,0.0940154492855072,0.12805662805662807,4
10,0.060936702008130575,0.05724611779891443,0.031202812790114373,0.053194879915897386,0.1005178689956665,0.17631917631917632,4
20,0.07732438523570766,0.07648279886389706,0.030963961620923765,0.057721260928236075,0.10336505621671677,0.2187902187902188,4
100,0.16002664096927943,0.1597111106023352,0.03387865203903331,0.07943475567341887,0.10646659880876541,0.3474903474903475,4
5,0.05508365508365508,0.04370867633994321,0.03742760617760618,0.056456673863850795,0.10522307455539703,0.148005148005148,5
10,0.06526143490429205,0.06230396674790283,0.0340644250097198,0.05768527831383499,0.11093951016664505,0.19047619047619047,5
20,0.08481720627065607,0.08399703388076826,0.03470846197189685,0.06372483787589117,0.114104725420475,0.23809523809523808,5
100,0.16676509886380336,0.16676509886380336,0.03741330657370962,0.08469146206091106,0.11720584332942963,0.36743886743886744,5
5,0.048337623337623335,0.03592628999589667,0.0341001716001716,0.05097195137308013,0.09582796692848206,0.13127413127413126,6
10,0.056817021102735385,0.05256309110915866,0.029896376778462946,0.05119614873527297,0.10090754181146622,0.16924066924066924,6
20,0.06697520283875878,0.06576273833198487,0.029140037133340818,0.05375183160614724,0.1031363382935524,0.20205920205920205,6
100,0.15393888728936014,0.15362335692241588,0.03180017125244705,0.07595331292622956,0.10643969476222992,0.34684684684684686,6
5,0.0496031746031746,0.0386656738748047,0.03426158301158301,0.04900909628517574,0.08411626517772675,0.12033462033462033,7
10,0.056967171252885536,0.05275967122193996,0.03107403929682841,0.0497434894651911,0.08840064704418182,0.1525096525096525,7
20,0.07511046225110798,0.07390720173592971,0.030982404230939287,0.05495896399556169,0.09148789942264557,0.1994851994851995,7
100,0.15692924140887163,0.15692924140887163,0.033464247419246154,0.07585505476351355,0.09475918114185333,0.3404118404118404,7
5,0.05645645645645645,0.04164626385532095,0.03984073359073359,0.05876150816854216,0.10493350774049759,0.14285714285714285,8
10,0.06381636738779595,0.0593896873978583,0.034180826437062266,0.058318959940147096,0.11161213368177414,0.19240669240669242,8
20,0.07927274655768686,0.07806832468291446,0.033837989963366545,0.06275315181712438,0.11455625295639038,0.23552123552123552,8
100,0.16935193550625774,0.16903640513931345,0.03680533133669543,0.08634773860993156,0.11794799566268921,0.3770913770913771,8
5,0.05301372801372801,0.04091872829084317,0.037472651222651226,0.055323138432402205,0.10202702134847641,0.1402831402831403,9
10,0.0642052767052767,0.061085036963267066,0.03342469372514724,0.05677895130269807,0.10908561944961548,0.19305019305019305,9
20,0.08021586823831406,0.07963295753391902,0.03357243165440338,0.061421389553314325,0.11159395426511765,0.22972972972972974,9
100,0.16817894084032806,0.16817894084032806,0.03649102998252645,0.08457242680614806,0.11503428965806961,0.37773487773487774,9
