,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.017986999796871826,0.0053901973672046515,0.010330083282551288,0.018074500868555356,0.03467398136854172,0.06398537477148081,0
10,0.023674830484702515,0.014498363822334364,0.00838629981073613,0.019889075288599647,0.04152689501643181,0.1157830591102986,0
20,0.028376058783190845,0.023310673111668616,0.006735448481583683,0.021142699039465394,0.04655996710062027,0.1907373552711761,0
100,0.07650202587037896,0.07587162929921848,0.007304523543595796,0.038450338249314,0.05285951495170593,0.445460085313833,0
5,0.016869794840544385,0.004197953882979101,0.009820231566118222,0.017118035228739874,0.03233800455927849,0.06093845216331505,1
10,0.019430660746931314,0.010040342460936616,0.00729445363357612,0.017736012111478468,0.03917786106467247,0.11212675198049969,1
20,0.0257795557739383,0.0196892116090605,0.00602864210551936,0.01986240700288182,0.044058408588171005,0.18281535648994515,1
100,0.08001310823454989,0.0788684844367192,0.006476578493324318,0.03856640051918196,0.050717685371637344,0.4558196221815966,1
5,0.01619947186674792,0.005066661404462877,0.008919358114970546,0.01620930734679553,0.032165348529815674,0.062157221206581355,2
10,0.01977742955805113,0.011694935410689234,0.007050208125771807,0.017277824525290145,0.037964656949043274,0.10725167580743449,2
20,0.02527050492430188,0.020132255781066293,0.005929481926562588,0.019246177323516637,0.042598746716976166,0.1785496648385131,2
100,0.0782264133463808,0.07731683105300595,0.006618431294566025,0.037207934064161646,0.048787958920001984,0.4363193174893358,2
5,0.016727605118829984,0.004470373053214116,0.008889904529758276,0.016958710022958255,0.03470445051789284,0.06946983546617916,3
10,0.019169737771200297,0.010268843945124048,0.006663797078178552,0.017413623214992145,0.040267739444971085,0.113345521023766,3
20,0.025762636211198873,0.02007700969264219,0.005741579694956893,0.020043259358451408,0.04547709971666336,0.19012797074954296,3
100,0.07856758350788388,0.07771631438025794,0.006796285057182234,0.03930909761850582,0.05176679044961929,0.45460085313833026,3
5,0.024040219378427784,0.006462022667315586,0.013778184034125535,0.02398728338987305,0.04522648826241493,0.08592321755027423,4
10,0.024837739280152444,0.013600687250462927,0.010183504541365603,0.023156291685819966,0.05094986781477928,0.1291895185862279,4
20,0.02922590517224349,0.022106660871477116,0.00813820244934097,0.024487984783759964,0.056275635957717896,0.21084704448507008,4
100,0.08679053796213827,0.0858612891035696,0.008526993581067746,0.04393408318019246,0.06263000518083572,0.4783668494820232,4
5,0.021409709526711358,0.006516311490243055,0.012199878123095673,0.022012050452218365,0.0434998981654644,0.08104814137720902,5
10,0.021746805567646518,0.011549310347935313,0.00890295470886574,0.02131050809718962,0.049290746450424194,0.1267519804996953,5
20,0.02453009421090313,0.01857430607563496,0.007284484241935436,0.02215170306707311,0.05388351529836655,0.19500304692260817,5
100,0.07836760558157356,0.0776675202073995,0.007749085498862844,0.04059142612677647,0.06064334511756897,0.4619134673979281,5
5,0.02013000203128174,0.0068814386526043795,0.011464554133658338,0.01978595469111128,0.03682713955640793,0.07068860450944546,6
10,0.021804116730990586,0.012712545261696793,0.00869327323318792,0.019953526324238302,0.04280176758766174,0.1157830591102986,6
20,0.02572605460019783,0.02070361736231417,0.00700479755625871,0.020926394571901007,0.04705926030874252,0.1809872029250457,6
100,0.08413126785353192,0.08366897066185326,0.00782092989247906,0.04031599551542223,0.05387645587325096,0.4515539305301645,6
5,0.019906561040016254,0.00558653591247254,0.011361974405850093,0.01976312602774306,0.03699979558587074,0.07068860450944546,7
10,0.021096069953473975,0.011173668720061713,0.008259491808775783,0.019476281629926873,0.04267142713069916,0.11395490554539915,7
20,0.02774800475911518,0.021248148607514557,0.006841182077057144,0.021985662592432648,0.048049941658973694,0.1931748933577087,7
100,0.0835565049346957,0.08281209378064935,0.007251520747153456,0.04088256843873554,0.05481192097067833,0.4728823887873248,7
5,0.021572212065813532,0.006223180121796177,0.010947592931139548,0.020725337924474087,0.04068657383322716,0.08348567946374162,8
10,0.021877629784393955,0.01201244916230241,0.008165268951374984,0.0199523775221976,0.04550313204526901,0.11882998171846434,8
20,0.024591089938665513,0.01831048091075595,0.006474721920860254,0.020506191958704463,0.04939800500869751,0.17915904936014626,8
100,0.07711558277775292,0.07622853743267785,0.006829201417121405,0.03811033516289867,0.05527811869978905,0.4351005484460695,8
5,0.017672151127361365,0.007023684196817484,0.00867357302457851,0.015902249671371844,0.028823889791965485,0.061547836684948204,9
10,0.019534643026416335,0.011753822460324621,0.006710210253781247,0.01652569959343874,0.034518007189035416,0.10664229128580134,9
20,0.026256965090583305,0.021305171717443873,0.005990762158123815,0.019332762066179152,0.03990526497364044,0.19012797074954296,9
100,0.08411246945541719,0.08337412553777004,0.007022550757375918,0.039173031716944993,0.04613832011818886,0.45947592931139547,9
