,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.014432367149758455,0.011996176450945036,0.008753019323671498,0.013068653729362006,0.022282609716057777,0.036231884057971016,0
10,0.017904589371980674,0.01626254193243376,0.008411260639521509,0.01468031662925348,0.02624223567545414,0.06521739130434782,0
20,0.0266110248447205,0.026161610255415125,0.00882366848052121,0.016795891867621957,0.027346447110176086,0.07971014492753623,0
100,0.08155939596616564,0.08152858460019509,0.00999921434447545,0.02962308676567791,0.029843060299754143,0.2028985507246377,0
5,0.02801932367149759,0.024629889356397067,0.008828502415458937,0.016135037305753643,0.022161835804581642,0.04710144927536232,1
10,0.03140096618357488,0.030017717915870615,0.008061019093627789,0.01717261359185756,0.025819532573223114,0.07608695652173914,1
20,0.036354813664596274,0.03537486077301347,0.007954097956243265,0.0186525774314677,0.02841614931821823,0.11231884057971014,1
100,0.10046517396581671,0.10043436259984614,0.009231578626431376,0.0334263321568911,0.03128368407487869,0.2608695652173913,1
5,0.0036231884057971015,0.0010478829212844558,0.0015942028985507248,0.003547484024262254,0.007971014827489853,0.018115942028985508,2
10,0.004830917874396136,0.0033193381198194215,0.0011689095928226361,0.004079847987480597,0.010632332414388657,0.03985507246376811,2
20,0.012819185645272601,0.012394562412435018,0.0015740286707105933,0.006290044878575264,0.012236887589097023,0.06159420289855073,2
100,0.07971829382796954,0.07968748246199898,0.0031347038531628836,0.022586517781671814,0.01567031815648079,0.21739130434782608,2
5,0.011352657004830917,0.008890264672998756,0.007246376811594203,0.009872921941104914,0.014613527804613113,0.021739130434782608,3
10,0.01751207729468599,0.014904037684629095,0.007871376811594203,0.0128287874840965,0.01821083575487137,0.04710144927536232,3
20,0.021542874396135267,0.02001325329860945,0.007782095668461598,0.01378410406352128,0.01939268410205841,0.06521739130434782,3
100,0.0659980575183497,0.06596724615237913,0.008586646591929493,0.024492088615899434,0.02224319986999035,0.1956521739130435,3
5,0.020229468599033816,0.015783784119112874,0.010141908212560388,0.015933621746212108,0.023792270570993423,0.04710144927536232,4
10,0.02650966183574879,0.022512396444307275,0.010399413388543824,0.019442939825446235,0.02981366217136383,0.09420289855072464,4
20,0.03707298136645963,0.03539421385262856,0.010764931693447837,0.022144468464416617,0.0313405767083168,0.11594202898550725,4
100,0.07892731091422801,0.07883487681631633,0.011359020039598456,0.032131720782890026,0.03344662860035896,0.22826086956521738,4
5,0.015579710144927535,0.011008485364981167,0.008158212560386475,0.012821248205831897,0.01968599110841751,0.03985507246376811,5
10,0.013858695652173913,0.011495949558520404,0.007036749482401655,0.01164340601286423,0.02028985507786274,0.043478260869565216,5
20,0.01617926155969634,0.014845330803970738,0.0067614522823597305,0.012281892345660825,0.021307798102498055,0.057971014492753624,5
100,0.05097621704065207,0.05097621704065207,0.0071551368772517845,0.021477291568493706,0.023927712813019753,0.19202898550724637,5
5,0.01352657004830918,0.012681159420289856,0.004794685990338164,0.008085774213872804,0.01068840641528368,0.021739130434782608,6
10,0.02210144927536232,0.02072648527629698,0.005670146077754773,0.012608910594032206,0.01755089871585369,0.07246376811594203,6
20,0.02421497584541063,0.023689735793895328,0.0056997642051989875,0.01326932700649836,0.01805124245584011,0.07971014492753623,6
100,0.07966997864137922,0.07960835590943809,0.00722953009820512,0.027467536949995507,0.02080271579325199,0.21739130434782608,6
5,0.019082125603864734,0.015399444647244798,0.010579710144927536,0.016509114493069032,0.02578502520918846,0.050724637681159424,7
10,0.02593599033816425,0.0220073224575602,0.0110501495284104,0.020505298654011718,0.03338077664375305,0.10507246376811594,7
20,0.025558574879227056,0.02384704186726174,0.010488824749618597,0.020006784923992747,0.034001898020505905,0.11594202898550725,7
100,0.07917452657404941,0.0790512811101672,0.011447800889781805,0.03337809665871661,0.03753919526934624,0.27898550724637683,7
5,0.014734299516908212,0.0112520752007897,0.008442028985507246,0.012607045935969674,0.019263284280896187,0.03985507246376811,8
10,0.01956521739130435,0.01749866994852861,0.00880909247757074,0.015195964452078879,0.02352053113281727,0.07246376811594203,8
20,0.01998792270531401,0.019431037098287064,0.00857555271027811,0.01529753079041682,0.024219287559390068,0.08333333333333333,8
100,0.06564813696244975,0.06564813696244975,0.009583224885397418,0.027225564920554893,0.02621888555586338,0.18840579710144928,8
5,0.019021739130434784,0.01652333246972173,0.01096316425120773,0.01600364069725153,0.024879228323698044,0.03985507246376811,9
10,0.022403381642512078,0.020186779716161462,0.01097092822636301,0.01776900406192912,0.028390269726514816,0.06521739130434782,9
20,0.023386818495514147,0.022619491931482372,0.010623274672187717,0.017833172787669486,0.029235681518912315,0.07971014492753623,9
100,0.07617887284342459,0.07611725011148346,0.011746850839013214,0.030727934064207544,0.03255920484662056,0.21739130434782608,9
