,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0021806853582554517,0.0010974950727954734,0.00122533748701973,0.0022717858928664367,0.0049325027503073215,0.008307372793354102,0
10,0.0029075804776739354,0.0018031652613354164,0.0011235556874186158,0.0026394664319357255,0.006073118187487125,0.017653167185877467,0
20,0.005867636747699053,0.004794103055513999,0.0013027725018118813,0.003716670929257847,0.006722981575876474,0.02699896157840083,0
100,0.019640584744537677,0.019467033908310057,0.0015028840661741268,0.007512905161345237,0.008587823249399662,0.1059190031152648,0
5,0.0017653167185877467,0.0010713659578813115,0.0010003461405330564,0.0018167443045714012,0.003807546105235815,0.006230529595015576,1
10,0.0020768431983385254,0.0017636470239941536,0.000932601493349157,0.001911624630925669,0.004163576290011406,0.009345794392523364,1
20,0.003990505859664738,0.003853801108279948,0.0010190719765577746,0.0025053669259406225,0.004615786951035261,0.01557632398753894,1
100,0.01814047962563369,0.018077774215218532,0.0013667718714307016,0.006431766696758944,0.00613897480070591,0.08203530633437175,1
5,0.0010384215991692627,0.0003335134676923729,0.0006542056074766357,0.0012145172405366648,0.0028556594625115395,0.004153686396677051,2
10,0.0020768431983385254,0.0015667550810000022,0.0006593977154724819,0.001576626374786811,0.0035825546365231276,0.009345794392523364,2
20,0.0025843099441230284,0.0020625315595072364,0.0006308270309842409,0.0018731077037098783,0.004085668362677097,0.016614745586708203,2
100,0.018348765209534792,0.01828028055520672,0.0010164354190787016,0.006395196245592755,0.006069730035960674,0.09449636552440291,2
5,0.0006230529595015578,0.0002911289126242397,0.00046728971962616824,0.0008560630949012863,0.002336448524147272,0.003115264797507788,3
10,0.0017653167185877469,0.0009411036669000633,0.0005311608894163412,0.0015017837525156984,0.0036798035725951195,0.012461059190031152,3
20,0.003299667045772965,0.002614108845638244,0.0006061594243118697,0.002113301807894568,0.004380460828542709,0.02284527518172378,3
100,0.018149677210562203,0.01812679664669045,0.0008515694885226289,0.005768939764753517,0.005746765062212944,0.08618899273104881,3
5,0.00020768431983385254,0.00020768431983385254,0.00020768431983385254,0.00035219128273480385,0.001038421643897891,0.0010384215991692627,4
10,0.002596053997923157,0.002333686039229503,0.0005683297895135902,0.0013628301850369953,0.0019004762871190906,0.007268951194184839,4
20,0.004306153060047142,0.003916490118942101,0.0007144437628219928,0.0020877710625029355,0.002595796249806881,0.016614745586708203,4
100,0.013594473889574299,0.013578553631687064,0.000902472806206213,0.00486997404034994,0.004172197543084621,0.07995846313603323,4
5,0.002284527518172378,0.001235293041034029,0.0011699550017307025,0.002048627836836185,0.0034614054020494223,0.006230529595015576,5
10,0.004984423676012462,0.004074542995556203,0.0013664309614465375,0.003090072725356261,0.004971237853169441,0.016614745586708203,5
20,0.006075321067532905,0.005328630412372828,0.0013344341924726364,0.0035646651779349535,0.005606299266219139,0.02596053997923157,5
100,0.016211166907653063,0.016133048896497724,0.0014820867067018185,0.006301072209663726,0.006859478075057268,0.08203530633437175,5
5,0.0028037383177570096,0.0010906557468640247,0.0016372447213568709,0.0030068464331723427,0.006576670333743095,0.010384215991692628,6
10,0.004361370716510903,0.003257129282432426,0.0014392853022136512,0.0033715321441242477,0.007702451199293137,0.018691588785046728,6
20,0.0040887850467289715,0.003419885433056617,0.0012123348759779033,0.003132979303553815,0.007925731129944324,0.021806853582554516,6
100,0.021965741372990264,0.0219482694506445,0.0014889816612880973,0.007252887040620904,0.009511896409094334,0.08722741433021806,6
5,0.001142263759086189,0.0007926393440412132,0.0005884389061959156,0.0010816837642654957,0.002163378521800041,0.004153686396677051,7
10,0.004049844236760125,0.0036040591366413924,0.0009936705731098255,0.0023443444198908035,0.00348365749232471,0.013499480789200415,7
20,0.004336646392721159,0.004011435494897995,0.0009929337421549257,0.0025391863640776297,0.0038861625362187624,0.018691588785046728,7
100,0.01837643877544584,0.01834883550094607,0.0013002612679527904,0.006218264326648022,0.0051037343218922615,0.0778816199376947,7
5,0.0010384215991692627,0.0003855308761850818,0.0006057459328487366,0.0012082543776360901,0.0030287294648587704,0.005192107995846314,8
10,0.0013499480789200416,0.0009995841818271724,0.0005016565296939129,0.0012520831528823643,0.0033847596496343613,0.008307372793354102,8
20,0.0027292959146541697,0.0024962983825912175,0.000529550909796466,0.0017689968678429172,0.0038614433724433184,0.01557632398753894,8
100,0.018686795432446737,0.01864536820175225,0.0009391285309388696,0.00624499010511194,0.0057442327961325645,0.0893042575285566,8
5,0.0005192107995846313,0.0005192107995846313,0.00025960539979231567,0.0004017163107316112,0.0005192108219489455,0.0010384215991692627,9
10,0.0021806853582554517,0.0017746054070078717,0.0004885526380853483,0.0012633856978868949,0.0016219158424064517,0.009345794392523364,9
20,0.003344376864626086,0.0027646622469020186,0.000590094173685505,0.0019429182563344527,0.0023400557693094015,0.01973001038421599,9
100,0.016785823230316278,0.016673657955995538,0.0009037924379869127,0.005732935046832572,0.003972300328314304,0.08826583592938733,9
