,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.03206521739130434,0.023415935689145885,0.011502329192546583,0.0256488779018764,0.0460403747856617,0.13198757763975155,0
10,0.048385586118505367,0.04430021876286996,0.012853643053149486,0.033984898357960105,0.05726301297545433,0.2204968944099379,0
20,0.09094106875653132,0.08950906534471426,0.016188214204768184,0.05072590636573716,0.06746740639209747,0.36180124223602483,0
100,0.30987419282103,0.30987419282103,0.02419583490057232,0.11656261331458917,0.07619423419237137,0.7577639751552795,0
5,0.03998447204968944,0.028687139587003245,0.016550638371290546,0.03440794475488187,0.0633799135684967,0.16149068322981366,1
10,0.056425613723750365,0.05042843286480613,0.01754568010779191,0.043183340469291905,0.07474490255117416,0.2484472049689441,1
20,0.0929184040597084,0.09103209939162825,0.019970080293520265,0.05768920905868109,0.08441659808158875,0.38354037267080743,1
100,0.3116454285456041,0.3116454285456041,0.027824089807843424,0.12388324314529577,0.09359347820281982,0.7888198757763976,1
5,0.038612836438923395,0.030147774937390147,0.016136128364389234,0.032565769797263645,0.05980849266052246,0.14285714285714285,2
10,0.05415126195405698,0.05090569958819088,0.016669164430782663,0.04025617672718422,0.07228507846593857,0.234472049689441,2
20,0.08830578192562116,0.08747147908594036,0.019410765033953264,0.05456092137527865,0.08109597116708755,0.3555900621118012,2
100,0.3013542999555313,0.3013542999555313,0.02743840309719942,0.12098093692502347,0.09092280268669128,0.7639751552795031,2
5,0.04047619047619047,0.03015660853802403,0.016157694962042786,0.03264643318936854,0.055874742567539215,0.14285714285714285,3
10,0.05655624568668046,0.05417680848990101,0.01585928000427224,0.0394236229710939,0.06711463630199432,0.23136645962732919,3
20,0.09667594639296993,0.0964228983138349,0.01887645373047391,0.05556338923039313,0.07759825885295868,0.38198757763975155,3
100,0.32936175231757936,0.32936175231757936,0.026698353221817434,0.12380676957229947,0.08695975691080093,0.7919254658385093,3
5,0.03638716356107661,0.028535685329163587,0.014738612836438925,0.0291911156092266,0.05043995752930641,0.12888198757763975,4
10,0.05402309474514444,0.050716822572412626,0.015894202487758385,0.03815548122230199,0.06319752335548401,0.22981366459627328,4
20,0.09238130959792451,0.09172383646374328,0.018954554835036913,0.053131844026763485,0.07156699895858765,0.34937888198757766,4
100,0.30556098706331625,0.30556098706331625,0.026600516792583177,0.1176128510372478,0.08121970295906067,0.7608695652173914,4
5,0.03977743271221532,0.03033187597552845,0.015838077984817116,0.03356971782907601,0.062422361224889755,0.16149068322981366,5
10,0.06140010351966874,0.057891726702323586,0.01723902582944841,0.04415377747540341,0.07738219201564789,0.2732919254658385,5
20,0.10314324650504775,0.10252634617314212,0.020430781034691987,0.06048589286477962,0.08690173178911209,0.4114906832298137,5
100,0.30924023333128015,0.30924023333128015,0.02837276079488021,0.12353548708957346,0.09512113779783249,0.7670807453416149,5
5,0.041356107660455485,0.033238602534123945,0.01644884403036577,0.03358406057276724,0.060481369495391846,0.15217391304347827,6
10,0.061461722370107455,0.05839504331556473,0.017908121452514754,0.04404395410564462,0.07549171894788742,0.265527950310559,6
20,0.0985548112805795,0.09785749128978125,0.020696595559903722,0.059011026803629824,0.08473072201013565,0.39751552795031053,6
100,0.32058112343234113,0.32058112343234113,0.028974455098008226,0.12614745532624183,0.09436522424221039,0.782608695652174,6
5,0.03977743271221532,0.028701428265888198,0.015050034506556245,0.032040393407166454,0.05709110200405121,0.15527950310559005,7
10,0.049514443458542834,0.046351657184769586,0.014414902607005533,0.03681252678125057,0.06819851696491241,0.2360248447204969,7
20,0.0924021895420781,0.09161970255390259,0.01755279591076225,0.053060796071147914,0.07780685275793076,0.3695652173913043,7
100,0.3209742503006321,0.3209742503006321,0.025774774572726835,0.12136210860303265,0.08681832253932953,0.7639751552795031,7
5,0.038535196687370606,0.028952938308528374,0.014941338854382334,0.030294374986051913,0.050621114671230316,0.13819875776397517,8
10,0.06322217292714187,0.0598920747989071,0.016880804642422878,0.04189718797308607,0.06619836390018463,0.2577639751552795,8
20,0.09471759908483511,0.09372673062502256,0.01922990371182446,0.054972812767746036,0.07469639927148819,0.3804347826086957,8
100,0.32058115064714443,0.32058115064714443,0.02752944028165148,0.12282823955901062,0.08380819857120514,0.7639751552795031,8
5,0.027432712215320912,0.019237022049394977,0.011212905452035887,0.023533298542402235,0.043918218463659286,0.11024844720496894,9
10,0.04449866903283053,0.04093161371065835,0.012258461441857627,0.032145729601174795,0.05717674270272255,0.2127329192546584,9
20,0.08514306413598281,0.08397661246581958,0.015195004918135795,0.04787898359850429,0.06666753441095352,0.34627329192546585,9
100,0.320599153825148,0.320599153825148,0.023883165210437287,0.1188461348432013,0.07616548985242844,0.7624223602484472,9
