,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.031914119359534206,0.001743741427224665,0.01722040271712761,0.03228134681835896,0.06429221481084824,0.12481804949053857,0
10,0.03104075691411936,0.003517500808750629,0.012149247071463228,0.03156042670283261,0.07530909776687622,0.20796943231441048,0
20,0.03150204938905897,0.007266399946203085,0.008793292550163947,0.03166709346427035,0.08346453309059143,0.32751091703056767,0
100,0.04210298338613035,0.03331581357566425,0.005138058782643701,0.03666812758416505,0.09220424294471741,0.6943231441048034,0
5,0.03133187772925764,0.0017481119872785203,0.015700509461426492,0.03028574083965244,0.058842793107032776,0.12409024745269287,1
10,0.03117014394306971,0.003592184801681051,0.011549323830831595,0.030577833634092635,0.06985881179571152,0.2074235807860262,1
20,0.03134171577163892,0.007195447049295519,0.008490746536297514,0.03090634260812531,0.07806742936372757,0.3271470160116448,1
100,0.0418688601760538,0.03320424062261849,0.005116289898672793,0.03635043174463518,0.08707572519779205,0.7014192139737991,1
5,0.029985443959243088,0.001820566100218336,0.01625485201358564,0.030370792525021294,0.06107472628355026,0.11826783114992721,2
10,0.031786754002911206,0.004094797163501737,0.01183601060511541,0.031501988755334796,0.0740528479218483,0.21615720524017468,2
20,0.03092010009569107,0.00764486203229099,0.00845013511529788,0.03098626365344751,0.08188970386981964,0.3304221251819505,2
100,0.04209994310677044,0.03390485291118264,0.005121352547722394,0.036508054984266826,0.09055235981941223,0.6941411935953421,2
5,0.02714701601164483,0.0015523283500499141,0.01397865114022319,0.026790775299077953,0.053211428225040436,0.11008005822416303,3
10,0.027838427947598252,0.003418974987031764,0.010056375776899794,0.02748151106866792,0.06511763483285904,0.1985080058224163,3
20,0.02914982393810368,0.00725332633417582,0.007476672756990289,0.028488329505741494,0.07304645329713821,0.31495633187772926,3
100,0.040399412207662515,0.03254722720795569,0.004633222605043524,0.034537233756677894,0.0820678099989891,0.6892285298398836,3
5,0.029312227074235808,0.0017987783253004409,0.01540029112081514,0.029640894975015188,0.061114147305488586,0.12208879184861718,4
10,0.030149199417758368,0.003805998954361504,0.011165696263949539,0.030151790030802816,0.07307370752096176,0.21251819505094613,4
20,0.03125822475570505,0.0077077346592463606,0.008254103373386727,0.0309422244832211,0.08142952620983124,0.33387918486171764,4
100,0.04244841620758885,0.03410933428494796,0.005077985742483499,0.03647400616161005,0.08998031914234161,0.6966885007278021,4
5,0.028948326055312956,0.0017527345225168594,0.015021834061135372,0.028459364448577117,0.055467620491981506,0.11317321688500728,5
10,0.030464580300824842,0.003827310696555116,0.011135763479740919,0.029680470310645603,0.06804350018501282,0.2094250363901019,5
20,0.030415421128572772,0.007433896646339021,0.008241458395132453,0.029893079226377118,0.07571069896221161,0.3233260553129549,5
100,0.04250363348504758,0.03416606216461168,0.005132745250882867,0.03634641673301351,0.08476905524730682,0.7006914119359534,5
5,0.03078602620087336,0.0018143653844876532,0.01626940805434255,0.031145041941754967,0.06357350945472717,0.12409024745269287,6
10,0.03240538573508006,0.0038490800502305744,0.01200457475566646,0.03214518981495153,0.07591047883033752,0.2183406113537118,6
20,0.031481799368090715,0.007315636803426788,0.008531792592067032,0.03156421039670565,0.08375013619661331,0.33387918486171764,6
100,0.04165898939296579,0.03302129775389409,0.005154534669686308,0.036612801680529286,0.09266992658376694,0.7036026200873362,6
5,0.027383551673944687,0.0016891153058530674,0.014240659873847646,0.027275506423078508,0.05472464859485626,0.11044395924308588,7
10,0.029132298237101735,0.0034672555272991985,0.01051881968351522,0.028518250863038528,0.06654450297355652,0.2006914119359534,7
20,0.029300104801553085,0.0068459501132700756,0.007638574191667216,0.02883510084618296,0.0744042620062828,0.3167758369723435,7
100,0.04010048686013898,0.03215969627900722,0.00469294187642435,0.0345986823074281,0.08307582885026932,0.6843158660844251,7
5,0.029512372634643375,0.0018239639383796089,0.015635613779718584,0.030034854385350834,0.06193595752120018,0.1202692867540029,8
10,0.030703137635452044,0.003780375464750717,0.011376112240680412,0.03065999781507394,0.07348433136940002,0.2074235807860262,8
20,0.031009809261892965,0.0074256600498096995,0.008415648255103079,0.030870217846292437,0.08096610009670258,0.3167758369723435,8
100,0.041158640939837815,0.03250079360183275,0.005064315817078601,0.03576634528508812,0.08981142193078995,0.6897743813682679,8
5,0.02851164483260553,0.001711821134469709,0.015044274623968948,0.028535125263720026,0.05731441080570221,0.11317321688500728,9
10,0.030278586446708722,0.003790663013781717,0.011203733386987874,0.029717030693654594,0.06896834075450897,0.20287481804949054,9
20,0.030879199556003906,0.007486079326833461,0.008346064340847292,0.0303199200834754,0.07671723514795303,0.3165938864628821,9
100,0.042067848808391595,0.033660170582910154,0.005184074843558584,0.03625811311487767,0.08589280396699905,0.6985080058224163,9
