,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.011347517730496455,0.0008559597278098441,0.004884751773049646,0.010943612290137085,0.024423757568001747,0.05673758865248227,0
10,0.0125,0.001990624045789399,0.003449285151412811,0.011875853249080135,0.0318051315844059,0.11436170212765957,0
20,0.014200041718815185,0.004460394468094458,0.0024064140575373776,0.013325042139197713,0.04062970355153084,0.24202127659574468,0
100,0.027596667734884294,0.02714712996570048,0.0016055393277666775,0.02224782638509822,0.0517960749566555,0.7322695035460993,0
5,0.010638297872340425,0.0007938744797270479,0.004252364066193854,0.009865769267749874,0.021261820569634438,0.05319148936170213,1
10,0.011347517730496455,0.0018502865886239164,0.0029752054486097044,0.010598096397421736,0.02799167111515999,0.10638297872340426,1
20,0.013438673341677098,0.004294294063661718,0.0021207000714536864,0.012318362798659558,0.03628065064549446,0.23138297872340424,1
100,0.028034620782026773,0.027568706837551676,0.001534090412992515,0.022164873545454322,0.047795869410037994,0.7429078014184397,1
5,0.013475177304964538,0.0009437949062367936,0.005945626477541372,0.013202779978268879,0.029728131368756294,0.0673758865248227,2
10,0.012943262411347517,0.0019405355338598246,0.003907956208488123,0.012921500810701859,0.036356665194034576,0.11879432624113476,2
20,0.014007092198581561,0.004256923171407897,0.002594103199578383,0.01372009496086382,0.04459076374769211,0.2393617021276596,2
100,0.02727218181306837,0.026800288621814293,0.0016218580178148112,0.022086374831371866,0.05526990443468094,0.7340425531914894,2
5,0.012943262411347517,0.0009929629408319323,0.004760638297872341,0.011427021288512525,0.023803193122148514,0.06471631205673758,3
10,0.012854609929078014,0.002025758635166311,0.0033619343127321848,0.011917484500079078,0.030636118724942207,0.11702127659574468,3
20,0.014236545682102628,0.0043161733610091015,0.002382965635396717,0.013233025461091646,0.038427602499723434,0.23049645390070922,3
100,0.027799580746584965,0.027403923882000414,0.0015723823769160236,0.02230493572208188,0.05016075819730759,0.7473404255319149,3
5,0.010283687943262412,0.0007757149190611492,0.0043380614657210406,0.009818572195538144,0.021690307185053825,0.051418439716312055,4
10,0.010372340425531916,0.0015694563529301234,0.0029995848812338173,0.010025455383270323,0.026705153286457062,0.09131205673758866,4
20,0.012677304964539008,0.003931194947142652,0.002141423621058938,0.011802653235036204,0.034748245030641556,0.21099290780141844,4
100,0.028125360844014635,0.027814166893055006,0.0015249322343939492,0.022115263773370315,0.04703332856297493,0.7411347517730497,4
5,0.012056737588652482,0.0009547158327556453,0.00581855791962175,0.012467996619414348,0.029092788696289062,0.06028368794326241,5
10,0.013297872340425532,0.0021568663155261064,0.003958861026680176,0.013150354157454216,0.036959290504455566,0.12234042553191489,5
20,0.014103566958698374,0.004546014706263493,0.0025946011655945127,0.013756588677652563,0.04488246887922287,0.2429078014184397,5
100,0.027757876373487443,0.027464183974451915,0.0016696840610625513,0.022574521313492614,0.0562436580657959,0.7340425531914894,5
5,0.013297872340425532,0.0009531647325996587,0.006799645390070922,0.014239479159761243,0.03399822488427162,0.06648936170212766,6
10,0.012943262411347519,0.001974490442361903,0.004359943149836767,0.013570151363746133,0.039845772087574005,0.11613475177304965,6
20,0.014051418439716313,0.004401238928989062,0.002807344594004317,0.014095851481603033,0.047865334898233414,0.2375886524822695,6
100,0.02714872278249831,0.026831829841241876,0.0016686969971805104,0.02222932749829274,0.05899471417069435,0.7278368794326241,6
5,0.009574468085106383,0.0007093665085282721,0.00484338061465721,0.010171083888542945,0.024216903373599052,0.047872340425531915,7
10,0.012056737588652484,0.0018328403925056554,0.0034410531352020712,0.011643013946412284,0.03222236409783363,0.11170212765957446,7
20,0.012943262411347519,0.003959872369218879,0.0023093552790058704,0.012417845112150808,0.03974933549761772,0.2225177304964539,7
100,0.028237194844184483,0.027694293955030487,0.0015943924889130106,0.02256164489028856,0.0515667125582695,0.75177304964539,7
5,0.010106382978723407,0.0008284340631620923,0.004796099290780142,0.010339246053735662,0.02398049831390381,0.05053191489361702,8
10,0.012056737588652484,0.0018852438476250578,0.0033327704604300353,0.011523186397172052,0.03177487850189209,0.11436170212765957,8
20,0.013475177304964538,0.004159506567442357,0.002251064992999813,0.012732080658910546,0.040409885346889496,0.24202127659574468,8
100,0.028128445070584592,0.02778706982332318,0.0015814679022082593,0.022638738725778613,0.05172702297568321,0.7375886524822695,8
5,0.010992907801418442,0.0007993281506556944,0.005094562647754137,0.01109644047310682,0.025472814217209816,0.0549645390070922,9
10,0.01152482269503546,0.001669768034720893,0.003409004559270517,0.011404242162702567,0.03215446695685387,0.10726950354609929,9
20,0.014095744680851063,0.0042998569979827905,0.002374704615987922,0.013255986763698888,0.04135353863239288,0.24468085106382978,9
100,0.02703247060669102,0.026621547172985007,0.0015482208487470263,0.021840395173184667,0.052448820322752,0.7304964539007093,9
