,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.06301614114114114,0.016592994997029032,0.03404592092092092,0.059993142478986836,0.10841779410839081,0.21114864864864866,0
10,0.06431922994422994,0.025298411188232346,0.02760215253518825,0.060203833117081336,0.12053906917572021,0.30405405405405406,0
20,0.06854090234750064,0.040403860107149824,0.023013559091259086,0.060307831333059295,0.12643451988697052,0.39132882882882886,0
100,0.12916021161762087,0.12489654321786577,0.019143011090541995,0.07687822772064272,0.13141821324825287,0.6019144144144144,0
5,0.06017267267267268,0.013230068722662807,0.033282501251251255,0.058286761876511946,0.10592154413461685,0.20213963963963963,1
10,0.05844080687830688,0.022048038577212725,0.024967816455911694,0.056011173934717245,0.11795434355735779,0.2939189189189189,1
20,0.06285908462040428,0.03682278627338504,0.020029803131003585,0.05623307060321833,0.1244419515132904,0.38400900900900903,1
100,0.12240777888511102,0.11821271745273511,0.016892425031557187,0.07379788943607704,0.129985049366951,0.6154279279279279,1
5,0.06074512012012012,0.01391853755751638,0.03496621621621622,0.059798316468294734,0.10947822034358978,0.20382882882882883,2
10,0.06073171385671385,0.02379743335009815,0.026736889951175666,0.05848342493535233,0.12086930871009827,0.2905405405405405,2
20,0.06490578481677553,0.03918113171258481,0.02167529705254609,0.05836017991962486,0.1268610805273056,0.3755630630630631,2
100,0.12515565466207887,0.12128077952678867,0.01814557599122102,0.07527459356589547,0.13229593634605408,0.607545045045045,2
5,0.05561186186186186,0.014625744518869081,0.029656218718718718,0.053191908330337045,0.09876126796007156,0.19200450450450451,3
10,0.05670849420849421,0.0232129193680179,0.023051947568316616,0.052961267890091854,0.11072836816310883,0.28265765765765766,3
20,0.06445060385414488,0.03995913931364745,0.019356300803260344,0.0549838631117029,0.11748012900352478,0.38063063063063063,3
100,0.13043410192996946,0.1266965096803973,0.017074616968816656,0.074266047914959,0.12290091812610626,0.6109234234234234,3
5,0.054429429429429424,0.012615573875630956,0.030876501501501504,0.05409109233951008,0.10040352493524551,0.18637387387387389,4
10,0.05253825253825254,0.020660595214057425,0.023023783243277293,0.05185345038216251,0.11111156642436981,0.26576576576576577,4
20,0.05943605567251078,0.0369452920274705,0.018774615051282514,0.053027749477524574,0.11745452135801315,0.35585585585585583,4
100,0.12538557084660176,0.12230646434202128,0.016462251738737357,0.07194744393656669,0.12302342802286148,0.5934684684684685,4
5,0.061045420420420424,0.014577010621291587,0.03323260760760761,0.059335691293382564,0.11212462186813354,0.21509009009009009,5
10,0.06183638996138996,0.023365566336468684,0.026227164664664664,0.05870458776842776,0.12334029376506805,0.30067567567567566,5
20,0.06594991720040096,0.0391088069038066,0.0213883449202426,0.05821132909060414,0.1289847046136856,0.38175675675675674,5
100,0.1273872871042706,0.12303973420487295,0.01763098187859868,0.07544302400240445,0.134767547249794,0.6216216216216216,5
5,0.057460585585585595,0.012889448730547683,0.032361736736736736,0.056556130681828534,0.10633446276187897,0.20045045045045046,6
10,0.058325066137566134,0.02140317084535242,0.02530024603685318,0.056156592603408224,0.11770007014274597,0.28603603603603606,6
20,0.06294016364885173,0.03672455629274376,0.020616790737535307,0.05645716499428911,0.12374638020992279,0.3738738738738739,6
100,0.12415074969326798,0.12013354318400715,0.017308422120660902,0.07348082607222635,0.1294272243976593,0.606418918918919,6
5,0.05760135135135136,0.01302635560209576,0.03137309184184184,0.05630822562715319,0.1047954186797142,0.19876126126126126,7
10,0.06094822501072501,0.024258007193591283,0.024901652822039724,0.057153073227773465,0.11777067929506302,0.29673423423423423,7
20,0.06771015949615021,0.041885704036018816,0.02041340434214662,0.05815071220866917,0.12453163415193558,0.39132882882882886,7
100,0.12953695279665278,0.12621625944323078,0.01765139741275466,0.07591394866344682,0.13012537360191345,0.6176801801801802,7
5,0.06345720720720721,0.015149465883244485,0.03534628378378378,0.06182289580037192,0.11485548317432404,0.21283783783783783,8
10,0.0634690494065494,0.025197191978956018,0.027249342773896342,0.060459961106079874,0.1260065883398056,0.29673423423423423,8
20,0.06740742622369944,0.04045011185157685,0.022066821925767695,0.05991893175428049,0.13176089525222778,0.37894144144144143,8
100,0.1332535780596367,0.12966730070633356,0.018469496555873995,0.07759035621800968,0.13780474662780762,0.6193693693693694,8
5,0.06471471471471471,0.015232084221172835,0.036598317067067065,0.062444659901385896,0.11136448383331299,0.21340090090090091,9
10,0.06321723509223509,0.024161926851682655,0.028158029415469892,0.060770527593138376,0.12287265062332153,0.29842342342342343,9
20,0.0696876422374681,0.04210719645683995,0.0228235766661699,0.060960844020176014,0.12947678565979004,0.3935810810810811,9
100,0.12913912304043723,0.1245520963430391,0.018871428015013434,0.07694268355769808,0.13480845093727112,0.6176801801801802,9
