,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0002956636005256242,0.00018457329174651583,9.362680683311433e-05,0.00024207934892718911,0.00046813400695100427,0.001478318002628121,0
10,0.0004700894812589951,0.00042768049116120535,9.672075867870872e-05,0.00035829734800895205,0.0007426788215525448,0.0036136662286465177,0
20,0.0007792581078022061,0.0007699389804528633,0.00011020226029393685,0.000514935799575888,0.0009554304997436702,0.006898817345597897,0
100,0.003846901398102225,0.003846901398102225,0.00017055236605790803,0.001554004368548772,0.0014774879673495889,0.03350854139290407,0
5,0.0003613666228646518,0.0002039458119886349,0.00011169513797634692,0.00029250641397577276,0.0005584757309406996,0.0018068331143232589,1
10,0.0003686669586800993,0.0003187162652262753,8.650028853708224e-05,0.0003123091217436045,0.0007399411406368017,0.0031208935611038106,1
20,0.0007190177085631982,0.0007122380079822378,0.00010507196014746776,0.0004832410615620212,0.000964482722338289,0.006406044678055191,1
100,0.003365305476144326,0.003365305476144326,0.00015982195103771273,0.001434493490738187,0.0014273192500695586,0.03088042049934297,1
5,0.00039421813403416566,0.00021807313296839462,0.00012483574244415244,0.0003227724652362521,0.0006241786759346724,0.0019710906701708277,2
10,0.00047452182800408825,0.00040782921751751465,0.0001008749973927372,0.00037671747908340456,0.0008619610453024507,0.0037779237844940868,2
20,0.0007711335911218031,0.000759476721349644,0.00011010595837831725,0.0005062314020535335,0.0010337461717426777,0.006406044678055191,2
100,0.003929644484687012,0.003929644484687012,0.0001759064819631565,0.0015443370940872267,0.0015400364063680172,0.03088042049934297,2
5,0.0002628120893561104,0.0001353441268993561,8.869908015768726e-05,0.0002229693283651035,0.0004434954025782645,0.001314060446780552,3
10,0.0005055482552197402,0.00042026208580954656,9.38136606664859e-05,0.00038934723162475335,0.0008478819509036839,0.004434954007884363,3
20,0.0008517766126755846,0.0008406394526389501,0.00010957243383274086,0.0005530547599018722,0.0010683421278372407,0.00788436268068331,3
100,0.00366557506024104,0.00366557506024104,0.00016189652624235172,0.0015263554430258476,0.0015309762675315142,0.033672798948751644,3
5,0.0002956636005256242,0.00016552493653057925,0.00011498028909329832,0.00027171562467862405,0.0005749014671891928,0.001478318002628121,4
10,0.0005480466387168095,0.0004809631197969878,0.00011616659366330851,0.0004310719854099737,0.0009456542320549488,0.004434954007884363,4
20,0.0009071869664308019,0.000891396839326611,0.0001311505648598005,0.000606883012748249,0.0011882359394803643,0.00821287779237845,4
100,0.004072929126108001,0.004072929126108001,0.0002014762541281716,0.0016474619119607014,0.0016641787951812148,0.031865965834428384,4
5,0.00019710906701708283,9.310646968140979e-05,7.391590013140604e-05,0.00017742507288628483,0.00036957950214855373,0.0009855453350854138,5
10,0.0003227791335544292,0.000269929777350354,6.974862510342143e-05,0.00027034164643647207,0.0006378668476827443,0.002956636005256242,5
20,0.0008963993227877822,0.0008799230660253776,0.00010246503650107095,0.0005682658697301589,0.00103623210452497,0.009034165571616294,5
100,0.003915645574893115,0.003915645574893115,0.00016589035712962218,0.0016123935246307693,0.0015550673706457019,0.035643889618922474,5
5,0.000328515111695138,0.00015731624151273219,0.00015604467805519054,0.0003403325776040497,0.0007802234031260014,0.0016425755584756898,6
10,0.000386657071939595,0.00032470547550840506,0.00010914002044094027,0.0003600289884018472,0.0009796790545806289,0.0032851511169513796,6
20,0.0010399749756826357,0.0010216408833055354,0.0001419951891744216,0.0006547464998970074,0.0013216562801972032,0.008377135348226018,6
100,0.0044473182352156955,0.0044473182352156955,0.0002057040471291155,0.0017252240998525156,0.0018332996405661106,0.033837056504599214,6
5,6.57030223390276e-05,3.989112070583818e-05,2.4638633377135353e-05,5.9141690962094935e-05,0.00012319316738285124,0.000328515111695138,7
10,0.0005363139561562689,0.00049576646160089,7.46763517788485e-05,0.00030563311681071256,0.0004915993777103722,0.0031208935611038106,7
20,0.000907510072357023,0.0009039013836300688,9.649414681372439e-05,0.0005006741911676118,0.0007500080391764641,0.007063074901445467,7
100,0.004136313608077349,0.004136313608077349,0.00015725349027564085,0.001570158849387878,0.0012492822716012597,0.03318002628120893,7
5,0.00022996057818659656,0.00013018885728942158,7.884362680683313e-05,0.0001965350934483704,0.000394218135625124,0.0011498028909329829,8
10,0.0004176834991552469,0.0003495594346327708,8.232866807111223e-05,0.00032777871710839635,0.0007188222953118384,0.0036136662286465177,8
20,0.0006419797962466278,0.0006343627828395355,9.113938168468117e-05,0.0004526244022510151,0.0009206485119648278,0.006734559789750329,8
100,0.00428847963407022,0.00428847963407022,0.00016461635761069607,0.001636760306474362,0.0014823372475802898,0.03515111695137976,8
5,0.00039421813403416555,0.00026343950553581847,0.00013469119579500658,0.0003363699007195284,0.0006734560593031347,0.0019710906701708277,9
10,0.0006601589387397535,0.0005794359953578668,0.0001343001063763219,0.00048378359529802946,0.0010137037606909871,0.0045992115637319315,9
20,0.0009717411066255466,0.0009499157587193806,0.00014594499134932683,0.0006332940616039033,0.001234067720361054,0.00788436268068331,9
100,0.003676440155014333,0.003676440155014333,0.00019234946021930307,0.0015580295174213376,0.0016921982169151306,0.03235873850197109,9
