,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.040002997601918465,0.03905125899280575,0.019583832933653077,0.02599542512644364,0.02416067197918892,0.047661870503597124,0
10,0.04795520726276122,0.047940219253168895,0.02100207334132694,0.02939325252886212,0.026366407051682472,0.06564748201438848,0
20,0.06536485097636177,0.06536485097636177,0.02325095149857145,0.03543018201221149,0.027427205815911293,0.08273381294964029,0
100,0.16811443053349526,0.16811443053349526,0.027280202884600483,0.05908422482980561,0.03029630146920681,0.20953237410071943,0
5,0.04952038369304556,0.04726468824940048,0.02520333733013589,0.0335498587382993,0.03388788923621178,0.06384892086330936,1
10,0.06027535114765331,0.060233845890320714,0.02762006466255567,0.03833488856297095,0.035973720252513885,0.08003597122302158,1
20,0.07991134564875572,0.07991134564875572,0.030163089712920282,0.044764680071999775,0.03708302229642868,0.09802158273381295,1
100,0.16799672150391573,0.16799672150391573,0.03332662581709059,0.06461348686936748,0.03949708864092827,0.20233812949640287,1
5,0.02931654676258993,0.027917665867306155,0.015486610711430855,0.021075407424057894,0.025299761444330215,0.04316546762589928,2
10,0.03323198583989951,0.0331720338015302,0.01594957962201667,0.02270409128007354,0.026361411437392235,0.052158273381294966,2
20,0.05094138974534657,0.05094138974534657,0.01817579368063671,0.02866543834780119,0.027588335797190666,0.07194244604316546,2
100,0.14394156103688477,0.14394156103688477,0.02199161147712791,0.0508371823640678,0.03004906326532364,0.18165467625899281,2
5,0.04748201438848921,0.046552757793764984,0.02348770983213429,0.030863185418443708,0.029541365802288055,0.05755395683453238,3
10,0.05669964028776978,0.05651517247740269,0.02503523966541053,0.03473822455927497,0.0319269560277462,0.07823741007194245,3
20,0.07957288015741253,0.07957288015741253,0.028452803299007366,0.043029184957209594,0.03309429809451103,0.09622302158273381,3
100,0.17501866638557287,0.17501866638557287,0.03192103510582093,0.06488258657634341,0.035761669278144836,0.21133093525179855,3
5,0.03991306954436451,0.03837180255795364,0.01926508792965628,0.0256647724364042,0.024400480091571808,0.047661870503597124,4
10,0.0461730615507594,0.04615807354116707,0.02033780118762133,0.028242806604252883,0.02586181089282036,0.06025179856115108,4
20,0.06243576567317575,0.06243576567317575,0.022458560978340078,0.03404826049506146,0.027064355090260506,0.07913669064748201,4
100,0.16031203608541736,0.16031203608541736,0.026255163830880827,0.056401431154003215,0.029796024784445763,0.19784172661870503,4
5,0.04364508393285371,0.04162420063948841,0.024184652278177454,0.032037719069923865,0.035956237465143204,0.06205035971223022,5
10,0.05571400022838872,0.055669036199611735,0.027004610597236495,0.03705497569697914,0.0376448854804039,0.07553956834532374,5
20,0.07319001941304099,0.07319001941304099,0.029501015879942926,0.043222306623243875,0.03871486708521843,0.09262589928057553,5
100,0.14893570857599633,0.14893570857599633,0.03240733976156359,0.06120204070801402,0.040687378495931625,0.18075539568345322,5
5,0.036480815347721816,0.03405775379696243,0.02128597122302158,0.026964345764696775,0.028387293219566345,0.048561151079136694,6
10,0.04547326424574626,0.045416770978821346,0.022750353288797532,0.03074077158017221,0.030742906033992767,0.06744604316546762,6
20,0.06357048976203651,0.06357048976203651,0.025269718523158187,0.03736736993373565,0.0319608710706234,0.08633093525179857,6
100,0.1636614819033884,0.1636614819033884,0.029377604684996002,0.061070808469013214,0.034702032804489136,0.20233812949640287,6
5,0.032628896882494006,0.03210431654676259,0.017310651478816944,0.022693106382111267,0.022691845893859863,0.040467625899280574,7
10,0.0450775094210346,0.04499104013492503,0.01993560508735868,0.027998385386334933,0.02505495771765709,0.05845323741007194,7
20,0.06135833091768344,0.06135833091768344,0.022315407651041803,0.03383907074757827,0.02627047523856163,0.07823741007194245,7
100,0.16807324470094254,0.16807324470094254,0.025942179080614226,0.05746319183472963,0.029002808034420013,0.2014388489208633,7
5,0.041501798561151076,0.04026278976818545,0.019764188649080736,0.026914454037727593,0.026798563078045845,0.052158273381294966,8
10,0.04951039168665068,0.049480415667466034,0.0215385548703894,0.03023417345226171,0.028294865041971207,0.06384892086330936,8
20,0.06702138289368505,0.06702138289368505,0.023728674588945738,0.036123821012136285,0.029460234567523003,0.08273381294964029,8
100,0.15758536028320203,0.15758536028320203,0.026993246318983536,0.0566484155669876,0.03179687261581421,0.18615107913669066,8
5,0.03989808153477218,0.037979616306954435,0.021374400479616303,0.027867833820313347,0.028956836089491844,0.050359712230215826,9
10,0.046178057553956826,0.046163069544364506,0.02260862738380724,0.030183637443115943,0.02978866919875145,0.05755395683453238,9
20,0.06249429028206007,0.06249429028206007,0.02408226988742182,0.03510839773298015,0.031116094440221786,0.07913669064748201,9
100,0.16489735484339801,0.16489735484339801,0.028150244370145308,0.05885687553586909,0.0339563749730587,0.19874100719424462,9
