,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.04360011990407674,0.04077488009592326,0.03052907673860911,0.03600757799102484,0.03850419446825981,0.05665467625899281,0
10,0.05322242206235012,0.053051789337760565,0.03205994728027102,0.039938386026142955,0.040378767997026443,0.07194244604316546,0
20,0.07210154952960707,0.07210154952960707,0.03489369117635274,0.04670497789356215,0.0416085422039032,0.08812949640287769,0
100,0.16255344625398582,0.16255344625398582,0.038338490731018804,0.06747125587419653,0.0442492738366127,0.20233812949640287,0
5,0.042805755395683445,0.041338001027749226,0.02894334532374101,0.03497697844116753,0.038444243371486664,0.05755395683453238,1
10,0.05125256937307297,0.051171864706037365,0.030483779642952305,0.03818088188634167,0.04000014066696167,0.06744604316546762,1
20,0.07418345543345543,0.07418345543345543,0.032524523618311894,0.0451433506910421,0.042040154337882996,0.09802158273381295,1
100,0.15608115655327884,0.15608115655327884,0.036069773221185354,0.06444409722615667,0.04427279159426689,0.19334532374100719,1
5,0.03958333333333333,0.03839285714285715,0.029084232613908873,0.033685798640121084,0.03673560917377472,0.04946043165467626,2
10,0.04519741349777321,0.04515244946899622,0.030113807763313162,0.03612609828495573,0.03805669769644737,0.05845323741007194,2
20,0.06148438392143427,0.06148438392143427,0.03216006382656576,0.041712606671258604,0.0392613485455513,0.07464028776978417,2
100,0.15479444366584655,0.15479444366584655,0.03552616037719838,0.06266461666438482,0.042051009833812714,0.19334532374100719,2
5,0.035596522781774574,0.03380545563549161,0.022865707434052758,0.028268279335484797,0.031474821269512177,0.048561151079136694,3
10,0.04349520383693045,0.04347445120826416,0.02491366430664992,0.03223079857701999,0.03336795046925545,0.06115107913669065,3
20,0.055984443214659035,0.055984443214659035,0.02642695176708446,0.036171598530310864,0.03406554087996483,0.07194244604316546,3
100,0.1327256202031382,0.1327256202031382,0.028939262771177237,0.05317282310241684,0.03636320307850838,0.17086330935251798,3
5,0.04751199040767386,0.04550359712230216,0.035433153477218225,0.040424926839607536,0.04313549026846886,0.05755395683453238,4
10,0.05292266187050359,0.05283273381294964,0.03652134244984965,0.042719267587063146,0.044103290885686874,0.06474820143884892,4
20,0.06706135091926459,0.06706135091926459,0.03831649172117703,0.047480280609702365,0.04524064064025879,0.08093525179856115,4
100,0.14905932396939592,0.14905932396939592,0.04154420261543484,0.06592156609400202,0.04738630726933479,0.1735611510791367,4
5,0.03621103117505995,0.034525950668036993,0.027765287769784174,0.03128270598544155,0.03273381292819977,0.04316546762589928,5
10,0.042994176087701265,0.04292845943025799,0.028994482985040544,0.03416208563411761,0.034217268228530884,0.0539568345323741,5
20,0.05807634112490228,0.05807634112490228,0.03077396645779208,0.039227220937793274,0.035436782985925674,0.07194244604316546,5
100,0.13743639703621716,0.13743639703621716,0.033865218635443534,0.05729739682808168,0.03764423355460167,0.1618705035971223,5
5,0.03917865707434053,0.036961502226790004,0.030298261390887295,0.03435321589322719,0.03717026486992836,0.050359712230215826,6
10,0.04494261733470367,0.04485268927714971,0.031016496326748123,0.03652038470830658,0.03841284289956093,0.05935251798561151,6
20,0.06448698184309694,0.06448698184309694,0.03306491719067309,0.04272624434105616,0.039894379675388336,0.08183453237410072,6
100,0.14656988694758477,0.14656988694758477,0.03656089914659367,0.06188411272773122,0.04232609272003174,0.1789568345323741,6
5,0.03991306954436451,0.038340399109284,0.026944694244604314,0.03197463564640903,0.03376798704266548,0.050359712230215826,7
10,0.046231586159643706,0.046126670092497435,0.027913276521639833,0.03449811429373175,0.03492206335067749,0.05935251798561151,7
20,0.06489165810208976,0.06489165810208976,0.030220520135791483,0.040849780508074605,0.03636128082871437,0.08003597122302158,7
100,0.16036962637682062,0.16036962637682062,0.03387594876674191,0.06210896406049829,0.039270415902137756,0.19964028776978418,7
5,0.03532673860911271,0.034271154504967455,0.023935851318944844,0.02835312552259189,0.030650481581687927,0.045863309352517985,8
10,0.03920220966084275,0.03912150499380715,0.024663257489246696,0.029909942619307982,0.031307097524404526,0.050359712230215826,8
20,0.056942248399082934,0.056942248399082934,0.02619933142328152,0.03515573416424602,0.03271482139825821,0.0710431654676259,8
100,0.14107063250498503,0.14107063250498503,0.02929714898519684,0.05436216467182679,0.035294726490974426,0.17805755395683454,8
5,0.04490407673860911,0.04371252997601918,0.030635491606714624,0.03597223886406199,0.0378597117960453,0.05485611510791367,9
10,0.051798561151079135,0.051723621103117505,0.03176649156864984,0.03861566245077657,0.039074454456567764,0.06384892086330936,9
20,0.0694744204636291,0.0694744204636291,0.03375715699210657,0.044488540555259824,0.040550194680690765,0.08543165467625899,9
100,0.15478120750153124,0.15478120750153124,0.03705791740534954,0.0639885063524204,0.04323038086295128,0.19514388489208634,9
