,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.05839118007349939,0.016128330174877803,0.032762351980400166,0.05736089197479669,0.10564856231212616,0.19885667619436503,0
10,0.06264007985118643,0.030760042095363364,0.025957002120146944,0.05775864562323306,0.11793961375951767,0.29277256022866477,0
20,0.06671624326696467,0.04553134840482412,0.02145648427661725,0.05763243774557018,0.12321998924016953,0.3695385871784402,0
100,0.16441876276346656,0.16200410184895941,0.020697201710772332,0.0861875379957844,0.12881514430046082,0.6014699877501021,0
5,0.05936436640805771,0.01570444571445757,0.03300848418855769,0.057291011139209765,0.1018170714378357,0.19395671702735812,1
10,0.06022817865406678,0.027425126382014102,0.02548841561865585,0.05648136258585861,0.1122918650507927,0.2743977133523887,1
20,0.06438036342113572,0.04327048250001716,0.020605795493247574,0.055962031211811744,0.11780478060245514,0.3548387096774194,1
100,0.15839121275279947,0.15613458756663603,0.019740842416413315,0.08396691026125372,0.12388257682323456,0.5969783585136791,1
5,0.06317544576017423,0.017313093524478206,0.03662696792341546,0.06291462275476765,0.11570028960704803,0.21314822376480197,2
10,0.06491781549968566,0.03099298246914924,0.02818247585848307,0.0617816986762517,0.12785004079341888,0.3058391180073499,2
20,0.06941468831252619,0.04760759050493219,0.022918324303601384,0.06126575408303856,0.13428175449371338,0.39689669252756227,2
100,0.16173855148854221,0.15996797670767554,0.02164624102448445,0.08823296333042478,0.13951605558395386,0.6100449162923642,2
5,0.05877228800871104,0.016543857747884912,0.03274715303298399,0.05716983295044255,0.10558050125837326,0.19518170681910985,3
10,0.06105585694193289,0.028227928668917896,0.02560958860579454,0.056799035154109945,0.11661789566278458,0.2809309922417313,3
20,0.06656994190528127,0.04417897495045311,0.021057643907041696,0.05710576780043739,0.12277084589004517,0.3715802368313597,3
100,0.15794310227301642,0.15575138312250203,0.019577143746615615,0.08426863611451445,0.12859037518501282,0.6006533278889342,3
5,0.060541717707908,0.017508982449297838,0.03408874370491356,0.058177906327204695,0.10252484679222107,0.19599836668027767,4
10,0.062373369110812975,0.030058079759480622,0.026806241956728545,0.057453912601769366,0.11314725130796432,0.2772560228664761,4
20,0.06950874111283932,0.048489465092867674,0.022137666064940678,0.058029786200142194,0.11897119134664536,0.36137198856676195,4
100,0.16461807961146635,0.16223381760052893,0.020672339817159113,0.08543721887635326,0.12506431341171265,0.6055532870559412,4
5,0.0628079488226487,0.016218896667404246,0.03575268817204301,0.06123018499575746,0.10809174180030823,0.20538995508370764,5
10,0.06454335102763033,0.028877014796016804,0.028144530251342552,0.06100982477220407,0.11976657807826996,0.2948142098815843,5
20,0.06927357262955795,0.046418144952877126,0.02287582743742065,0.060384570203363665,0.1257249265909195,0.3813801551653736,5
100,0.16771809240882304,0.16526554791386236,0.021323209293079726,0.08818225307849309,0.1314164400100708,0.6080032666394447,5
5,0.061079352116510145,0.015312855761754226,0.03575609092146454,0.06063109579088819,0.10957535356283188,0.1972233564720294,6
10,0.06511890178692956,0.028676680635334715,0.028325422391027397,0.06080786765750808,0.12095381319522858,0.2829726418946509,6
20,0.06974878605676291,0.04614787877858819,0.022916875016175398,0.060151709609709184,0.12695108354091644,0.3674969375255206,6
100,0.16208436721864686,0.15917416562561457,0.02102499827174152,0.08695866279522489,0.13274241983890533,0.6002449979583504,6
5,0.06405335511092963,0.0198111987796346,0.03595617258745066,0.062033944350451314,0.11201170086860657,0.20906492445896285,7
10,0.06998013442480573,0.03650915284066769,0.028999440436761795,0.06306193643819169,0.1239616796374321,0.2988975091874234,7
20,0.07661302835276038,0.05530870849850246,0.024251353162340648,0.06312378845947517,0.1295308768749237,0.37893017558187014,7
100,0.1674972993132521,0.1653688291364239,0.023029235977535523,0.08987433229009718,0.13510484993457794,0.6084115965700286,7
5,0.06299169729141145,0.017575483911963254,0.03556803230343451,0.06022841109930364,0.10522662848234177,0.20253164556962025,8
10,0.0655273937532002,0.031466595966920884,0.028068529212873842,0.05968316181586954,0.11643964797258377,0.2874642711310739,8
20,0.0701048116559376,0.04708145863102774,0.023298792513952855,0.0597276117547391,0.12207957357168198,0.3699469171090241,8
100,0.15474439626656078,0.15232603006871023,0.021411328963361544,0.0852120133503891,0.1279728263616562,0.606369946917109,8
5,0.07137607186606779,0.02104701711810334,0.04103647747379883,0.06901408586120601,0.12187287956476212,0.2217231523070641,9
10,0.07407607251421054,0.03547081631445003,0.03297493785031216,0.06863275630665427,0.13399137556552887,0.3135973866884443,9
20,0.07935662640402491,0.054342023098215377,0.027499420080373416,0.06786361454439298,0.13984732329845428,0.39608003266639447,9
100,0.17498146126165012,0.17260328333652153,0.02505078271421885,0.09490895081372502,0.14536751806735992,0.6251531237239689,9
