,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.062426840887437045,0.01755529463839059,0.03735504287464271,0.062248979408458055,0.11222948133945465,0.20293997550020418,0
10,0.0700046018135034,0.033904929494268814,0.0305039399877429,0.06433934705761453,0.12539876997470856,0.30216414863209473,0
20,0.07671963623860652,0.05325354295211821,0.025142440415515093,0.06506177910014158,0.1321241408586502,0.39975500204164965,0
100,0.17602093004495406,0.17288369609071455,0.024138610678811408,0.09486813725875184,0.13779877126216888,0.6271947733768886,0
5,0.06057574520212331,0.01644367371330323,0.0362893017558187,0.060684502073932244,0.10924187302589417,0.19967333605553286,1
10,0.0665581027565511,0.03208137601335414,0.029263785456108856,0.062030795445255825,0.12196037918329239,0.29603919967333603,1
20,0.07274424045335467,0.050343534392914405,0.024044649328511716,0.062314737065794684,0.12803809344768524,0.38587178440179665,1
100,0.16718087007788587,0.16492276485983515,0.022704124977850383,0.09066029287222782,0.1337287575006485,0.6169865251122907,1
5,0.059350755410371575,0.01762530984785297,0.03463896828637539,0.05890230739560233,0.10771743208169937,0.19273172723560636,2
10,0.06321595468185913,0.03069380628257364,0.02747164645541534,0.05932176277978553,0.11975312232971191,0.28174765210289915,2
20,0.07321050981340074,0.05190868232365601,0.022771423107351262,0.061069825638949006,0.1265384703874588,0.38219681502654146,2
100,0.17567957926745134,0.17340921109438337,0.022432050104591136,0.0915769569129706,0.13225632905960083,0.6141282155982033,2
5,0.05871784401796652,0.018117172953233163,0.034926500612494894,0.05843487965474943,0.10717299580574036,0.18905675786035117,3
10,0.06393312463136883,0.032772178700420554,0.027836462152424454,0.05906072625239864,0.11967308074235916,0.2801143323805635,3
20,0.07563792562670604,0.05478023419966749,0.02358187278230689,0.06145198254296984,0.1268036961555481,0.3834218048182932,3
100,0.17034826399758102,0.1680509131622948,0.022869939041973975,0.09058499701711169,0.1324930489063263,0.6141282155982033,3
5,0.062236286919831234,0.01785949406212536,0.037706546889887026,0.06283562646495693,0.11429835110902786,0.2004899959167007,4
10,0.06543649173293926,0.03172879053071103,0.02961627023735707,0.06233455249348429,0.12726251780986786,0.29563086974275216,4
20,0.07179800867056486,0.04970998519738698,0.024396517207973582,0.062467222880331554,0.13364766538143158,0.38873009391588403,4
100,0.16849557358779926,0.16561879641123226,0.023146649420121266,0.09111592067640815,0.13942033052444458,0.6235198040016333,4
5,0.061406016060977266,0.018230062830698644,0.036593167279161565,0.06119791514805753,0.11005853861570358,0.1972233564720294,5
10,0.06813957105913007,0.033968100095045035,0.02969814551956923,0.06286359490447001,0.12330120801925659,0.2948142098815843,5
20,0.07778814358188386,0.05547325028027878,0.02484952239862134,0.06436466564145545,0.1301138997077942,0.3952633728052266,5
100,0.1746175956435659,0.17238830353591406,0.02352230752979208,0.09234748136028796,0.1355084627866745,0.6247447937933851,5
5,0.06901456376752416,0.01744991535253941,0.042055600925547845,0.06861443199347662,0.12123996764421463,0.21518987341772153,6
10,0.07200995547259328,0.03213982690223408,0.03263862062980751,0.06790116691083617,0.13397160172462463,0.30992241731318904,6
20,0.07497423534003196,0.048497929955181124,0.02596455285257135,0.06641426263266273,0.13984918594360352,0.39608003266639447,6
100,0.16968809190471998,0.16620078530556026,0.023535080058089814,0.09399705944491044,0.14542937278747559,0.6198448346263781,6
5,0.06387641214100993,0.021261904807780663,0.03878726010616579,0.06330316793449238,0.11335920542478561,0.1976316864026133,7
10,0.07138773843551303,0.03696059766086412,0.032186570320247326,0.06538384366792147,0.1271025687456131,0.30257247856267866,7
20,0.08067764142950262,0.058466837062699305,0.027251890494521244,0.06658431763705511,0.13335061073303223,0.3940383830134749,7
100,0.17505320360006463,0.1726306168390805,0.025846902977871306,0.0953919372395072,0.1390942931175232,0.6231114740710494,7
5,0.06216142643255751,0.017473670993650377,0.03841091602014427,0.06286088029861676,0.11337962001562119,0.19804001633319723,8
10,0.06571130425764969,0.031127865656260443,0.030578674447260264,0.06250654696284154,0.12501944601535797,0.28501429154757046,8
20,0.07295316579621983,0.048904389378141025,0.025546595637485296,0.06322165934124448,0.13092851638793945,0.3715802368313597,8
100,0.16974312563037447,0.16603795200330615,0.023780618244502564,0.0913099276363071,0.13701631128787994,0.6165781951817069,8
5,0.06353613719885669,0.019851475253174232,0.03704709405199401,0.06178457687283829,0.10861576348543167,0.2000816659861168,9
10,0.06870637189134535,0.034110786480483615,0.02995295563894992,0.06305598420779586,0.12178132683038712,0.2980808493262556,9
20,0.0756691625632256,0.05250085596673553,0.025140335259408234,0.06398821719063785,0.12803030014038086,0.38791343405471623,9
100,0.16812830735250664,0.16518109254051824,0.024017774557461295,0.09260574711685127,0.1334991306066513,0.6141282155982033,9
