,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.11156156156156156,0.09286069738878057,0.0738105963105963,0.10805139421662817,0.1848670095205307,0.2734877734877735,0
10,0.13105094890809177,0.12502064470437277,0.06952421383969004,0.11103393003392219,0.1919810175895691,0.3281853281853282,0
20,0.17833968517570903,0.17695566228853585,0.07155224745219116,0.1255197204069509,0.19802825152873993,0.4137709137709138,0
100,0.3218815920709714,0.3217142653612282,0.0764980061120513,0.1619740294820568,0.20239025354385376,0.5945945945945946,0
5,0.09410124410124411,0.07867059609319582,0.0640122265122265,0.09353721047392002,0.16244100034236908,0.23616473616473616,1
10,0.12192243263671837,0.11729316591519644,0.06188672516053468,0.10046895284927877,0.17190583050251007,0.30694980694980695,1
20,0.16519548687560626,0.16377149125737986,0.06397363416411317,0.11342994569888176,0.17706438899040222,0.3803088803088803,1
100,0.3080274470270433,0.3078601203173002,0.06837579080481747,0.1477384688069792,0.1815015822649002,0.5707850707850708,1
5,0.09882024882024881,0.0837115436783078,0.06403617903617903,0.09421917534950348,0.15862290561199188,0.24324324324324326,2
10,0.12307588200445344,0.11871685066899716,0.06103901236837744,0.09941486818597453,0.16773942112922668,0.31402831402831405,2
20,0.16682092791115347,0.16592941374221584,0.06341055926682213,0.11347678540536645,0.17315493524074554,0.3918918918918919,2
100,0.3167208205680376,0.3167208205680376,0.06854945747548125,0.1498732555461588,0.17725282907485962,0.5669240669240669,2
5,0.0984984984984985,0.08121673998261987,0.06390587015587014,0.09529143654719835,0.1662805825471878,0.2483912483912484,3
10,0.1199196645625217,0.11445704900266913,0.06003711619783049,0.09914767479375859,0.17479673027992249,0.3133848133848134,3
20,0.15467801629068767,0.153041926801152,0.061605539108120104,0.11045761791919197,0.1797277331352234,0.3835263835263835,3
100,0.28925815569500807,0.28892350227552177,0.06599791830003689,0.14386970638124535,0.18378715217113495,0.5501930501930502,3
5,0.10232732732732731,0.08489914245089875,0.06621746746746747,0.0968945855514094,0.1614757627248764,0.24453024453024452,4
10,0.1250002553573982,0.11963537608305372,0.0620614321804798,0.10133698269952209,0.1708233803510666,0.3133848133848134,4
20,0.16444883566179452,0.16365489712189357,0.06327270245040086,0.11289361958538717,0.17571008205413818,0.38288288288288286,4
100,0.3092980548022968,0.3092980548022968,0.06831332884760759,0.14887670913705162,0.1799572855234146,0.5604890604890604,4
5,0.10953453453453452,0.0924878325351057,0.07216216216216216,0.1046989870015,0.17449592053890228,0.26126126126126126,5
10,0.1315803047945905,0.12625178164687154,0.06881752926395784,0.10944859419132022,0.18318600952625275,0.3256113256113256,5
20,0.17067796429527962,0.16989091782019672,0.0703612332503583,0.12142306556680092,0.18787434697151184,0.3918918918918919,5
100,0.3072768763705763,0.3072768763705763,0.07508273847127558,0.15491797007848299,0.1917460411787033,0.5514800514800515,5
5,0.1102102102102102,0.09387876810425293,0.07392571142571143,0.1046934212184663,0.17152509093284607,0.2438867438867439,6
10,0.130131151559723,0.12523617061851658,0.06967061165473865,0.10801978033994912,0.17915670573711395,0.30115830115830117,6
20,0.17276852488871505,0.17184054865410242,0.07101371234971088,0.12036363697635792,0.18477116525173187,0.3841698841698842,6
100,0.3167571357247014,0.3165898090149582,0.07570244156518444,0.15500560472897956,0.1890743225812912,0.5630630630630631,6
5,0.10417202917202917,0.08584442907617278,0.06834888459888461,0.10137116925347474,0.1759759783744812,0.25611325611325614,7
10,0.1276286490572205,0.12222716652088915,0.06399140920966317,0.10623986347318598,0.18549542129039764,0.32754182754182753,7
20,0.17059790042706896,0.1694555376143204,0.06598087255037637,0.11948504738982052,0.1909457892179489,0.40604890604890603,7
100,0.3242139359828884,0.3240466092731452,0.07090068226513772,0.1563101304696757,0.19534006714820862,0.5888030888030888,7
5,0.10165165165165166,0.0828428690256231,0.06700825825825825,0.0983136205131697,0.16669882833957672,0.24517374517374518,8
10,0.12123935159649446,0.11539883069215369,0.06186401537592014,0.10068855565113974,0.17411519587039948,0.30180180180180183,8
20,0.1652121900822697,0.1637915120879176,0.06336485275627403,0.11380408097010974,0.18000979721546173,0.3841698841698842,8
100,0.3130594627551181,0.3128921360453749,0.06821834949622846,0.149131542803278,0.18430399894714355,0.5611325611325612,8
5,0.10962033462033463,0.0907210618682368,0.07414557414557414,0.10782840678949569,0.18351566791534424,0.2631917631917632,9
10,0.1326499969357112,0.12725499619076025,0.06945922963780107,0.11157676625952488,0.19160741567611694,0.3236808236808237,9
20,0.17269780045377126,0.17189982871412687,0.07036405689497768,0.12324748332564858,0.1970227062702179,0.4021879021879022,9
100,0.3283386487209009,0.3283386487209009,0.07555822149910733,0.1604808276523258,0.20155367255210876,0.5894465894465895,9
