,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.1282818532818533,0.10745929449101149,0.0811894036894037,0.11849051394728512,0.18851351737976074,0.28893178893178895,0
10,0.1474729831872689,0.14042755765086307,0.07618883521519575,0.12193178247324149,0.19766321778297424,0.35585585585585583,0
20,0.18182504484749065,0.18004197391675833,0.07689895744040098,0.13192559585404057,0.20212428271770477,0.41827541827541825,0
100,0.32969149207781906,0.3294763577367207,0.08193139748152405,0.16778117369700382,0.20600736141204834,0.5888030888030888,0
5,0.11683826683826684,0.0962624460037338,0.07970631345631346,0.11571048851617942,0.1973402053117752,0.28314028314028317,1
10,0.13242528242528243,0.12596019355299456,0.07357307390399793,0.11727914046704603,0.2051173597574234,0.3416988416988417,1
20,0.17286629884761245,0.17111810028985236,0.0748815164187607,0.1290413643616539,0.2094981074333191,0.4034749034749035,1
100,0.3302361274418781,0.3300209931007797,0.0802573242689022,0.1672139739127433,0.21383234858512878,0.5900900900900901,1
5,0.12605105105105105,0.10498645048524344,0.08313652938652938,0.11959421080617391,0.1944015473127365,0.2857142857142857,2
10,0.15041597720169148,0.14363819447639598,0.07796288280911297,0.12399477962242028,0.20384210348129272,0.3564993564993565,2
20,0.19074923889718226,0.18926352072640945,0.07848007518485468,0.13540315312735857,0.20935603976249695,0.4369369369369369,2
100,0.33428612311834827,0.33407098877725,0.08339928941192977,0.17055016508567625,0.21298237144947052,0.5984555984555985,2
5,0.13186400686400687,0.11090284993078219,0.08671993421993422,0.12383464717539658,0.20018231868743896,0.2953667953667954,3
10,0.14739331167902595,0.14143953553220937,0.08023983947099027,0.12481058309762624,0.20814718306064606,0.3532818532818533,3
20,0.18265617756993255,0.1813782855778918,0.08081788583076598,0.1352647744096055,0.2133464813232422,0.4266409266409266,3
100,0.3283737786788098,0.3279435099966131,0.08595387226501103,0.17137374449301654,0.21717533469200134,0.5984555984555985,3
5,0.120978120978121,0.10205515121352504,0.08292113542113543,0.11833605134116235,0.1942513883113861,0.2812097812097812,4
10,0.13869328512185655,0.13224175209596667,0.07828780189324407,0.12143316502028806,0.20222748816013336,0.33912483912483915,4
20,0.17702434474880294,0.1754588022705147,0.07922652775465502,0.13247085895615301,0.20741383731365204,0.4137709137709138,4
100,0.3202734492052047,0.3200583148641063,0.08414758235172312,0.16790966941483437,0.21138764917850494,0.5804375804375804,4
5,0.1277027027027027,0.10515127541527142,0.0854499141999142,0.12332858588115062,0.2030351758003235,0.29987129987129985,5
10,0.14879675593961308,0.1420246702644271,0.07939948239055382,0.1264803714623612,0.21194662153720856,0.36486486486486486,5
20,0.18896173437582103,0.18741862553386346,0.0805483013868177,0.138401338588231,0.21668556332588196,0.43243243243243246,5
100,0.33734420244346136,0.337129068102363,0.08577055096959704,0.17467036292253757,0.2203970104455948,0.5997425997425997,5
5,0.1253110253110253,0.10610066341114135,0.08247533247533247,0.1203811102414736,0.2001716047525406,0.2947232947232947,6
10,0.14786827643970502,0.14324063566951237,0.07746527159650743,0.12360312965318099,0.20797406136989594,0.35263835263835264,6
20,0.1851191144755939,0.18430611663449176,0.07903468307363198,0.13495600563024945,0.2125207781791687,0.41827541827541825,6
100,0.3310213651389416,0.3310213651389416,0.08436201766534358,0.1717193973286567,0.21628031134605408,0.5894465894465895,6
5,0.12826040326040325,0.10767192019221,0.08160392535392536,0.11999342555397613,0.19789789617061615,0.296010296010296,7
10,0.1439115135543707,0.1373509753511346,0.07561396997904933,0.12123790772140555,0.20513726770877838,0.35135135135135137,7
20,0.18260414162946229,0.18115183385456207,0.07636229588014469,0.13238952871136775,0.21011032164096832,0.42213642213642216,7
100,0.3345364493002565,0.3343213149591581,0.08136883373082242,0.16895064240675217,0.21392348408699036,0.5907335907335908,7
5,0.1371836121836122,0.11408185992535516,0.09166416416416417,0.13070873995078436,0.20889104902744293,0.3075933075933076,8
10,0.15079926865641152,0.14441005235127924,0.08459251596510665,0.13110883070351134,0.2169514000415802,0.3680823680823681,8
20,0.19493741095631853,0.1941391907796622,0.08583422277973565,0.14379698020917034,0.2219274789094925,0.44015444015444016,8
100,0.34720923925317626,0.34720923925317626,0.09140231248813066,0.18140352156853298,0.22560279071331024,0.6061776061776062,8
5,0.12833547833547834,0.11193656973059204,0.08376144001144,0.12084222006077923,0.19714714586734772,0.2927927927927928,9
10,0.1444684480398766,0.14020884694954888,0.07927212805614166,0.1229928795847457,0.20387019217014313,0.342985842985843,9
20,0.18941327045871495,0.18873498224403568,0.08131241487339189,0.1366554221667394,0.20955796539783478,0.42535392535392536,9
100,0.3405566370447361,0.3405566370447361,0.08663461039293638,0.17305480578434534,0.2131962776184082,0.5894465894465895,9
