,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.026503944773175542,0.02171415300502812,0.019289940828402366,0.02582628805289776,0.037647929042577744,0.05325443786982249,0
10,0.028798605240912937,0.027701069605850046,0.017199593074135197,0.02613171348975978,0.04183103144168854,0.08431952662721894,0
20,0.04330071335287778,0.043083268076260915,0.018079793633442715,0.030852906386115167,0.044263485819101334,0.11982248520710059,0
100,0.10590607150209204,0.10590607150209204,0.019644171292048103,0.04685439096870413,0.048066481947898865,0.2973372781065089,0
5,0.022361932938856015,0.019941876006964763,0.014349112426035503,0.020084720982266425,0.028106508776545525,0.04437869822485207,1
10,0.027360406687329763,0.026457110443796835,0.014126120369252237,0.022388097310362964,0.032932985574007034,0.07988165680473373,1
20,0.04755891708554431,0.04736401336993052,0.015460575933684625,0.028774616542057953,0.036297865211963654,0.1301775147928994,1
100,0.12403594526354385,0.12403594526354385,0.01757025173815491,0.04911938501271231,0.040811169892549515,0.33579881656804733,1
5,0.017948717948717947,0.016347734284124817,0.01244000657462196,0.017754219895544515,0.028895461931824684,0.042899408284023666,2
10,0.023833004602235378,0.023351057226796874,0.012423860268411552,0.02011379708664531,0.03244458884000778,0.07100591715976332,2
20,0.041913674753911445,0.04171809124471846,0.01387620326610923,0.02620353092061533,0.035502880811691284,0.11538461538461539,2
100,0.11961493038260401,0.11961493038260401,0.01583738489430292,0.04591477908459919,0.039854854345321655,0.3224852071005917,2
5,0.01935404339250493,0.017023764843758615,0.012532873109796186,0.018474149494387096,0.0292159765958786,0.04437869822485207,3
10,0.023984455715224944,0.023147723889315294,0.012092390210522079,0.020174165389022405,0.03277801349759102,0.07100591715976332,3
20,0.03351880545317169,0.033336768555158464,0.012761894180656427,0.023354898078083088,0.03447975590825081,0.09615384615384616,3
100,0.10154865320236056,0.10154865320236056,0.014502549411869962,0.040885385656343684,0.03850173205137253,0.28106508875739644,3
5,0.02465483234714004,0.02355512795796197,0.015957429322813937,0.021723051127590078,0.029881658032536507,0.04585798816568047,4
10,0.02967150370996525,0.029324572188944655,0.016269577576812008,0.023822768089579987,0.03246806934475899,0.06656804733727811,4
20,0.042206508628573405,0.04209399293913464,0.017211940915852136,0.027701174386188045,0.034235209226608276,0.09171597633136094,4
100,0.11690606961090318,0.11690606961090318,0.019230045633384717,0.047270212639771936,0.038808174431324005,0.30177514792899407,4
5,0.021893491124260353,0.01859321342348437,0.014523339907955292,0.01977243059686936,0.02926528826355934,0.047337278106508875,5
10,0.023442049403587868,0.02253045694097936,0.013532157877395971,0.020036851661736136,0.03204188868403435,0.0695266272189349,5
20,0.03839949379403599,0.038225128588235874,0.014521022346570545,0.024734014513723545,0.03460482135415077,0.10502958579881656,5
100,0.09385778671223237,0.09385778671223237,0.016158268767452993,0.04036712358556835,0.03855301812291145,0.2692307692307692,5
5,0.022066074950690337,0.0183921175454187,0.014410749506903353,0.020582722928037974,0.03155818581581116,0.04881656804733728,6
10,0.026133535268150654,0.025089953117144802,0.013254731379731379,0.02169576349921095,0.035713110119104385,0.08284023668639054,6
20,0.042621052647134866,0.04245197308271506,0.014444498915096023,0.02733177416718162,0.03871799632906914,0.1257396449704142,6
100,0.11324655606296012,0.11324655606296012,0.01630032385963535,0.0449862654861346,0.042421966791152954,0.30177514792899407,6
5,0.017850098619329388,0.01589371604553791,0.010118343195266272,0.01596336807527202,0.026183433830738068,0.042899408284023666,7
10,0.025519512538743308,0.024644178272331493,0.010402285147019581,0.019304044777133343,0.030948858708143234,0.07988165680473373,7
20,0.03701841905283201,0.036850662746022445,0.01119616660144731,0.023212454955615972,0.03328970447182655,0.11390532544378698,7
100,0.10184954967345873,0.10184954967345873,0.01277160000157731,0.03989877340817143,0.036727968603372574,0.28994082840236685,7
5,0.026824457593688362,0.022845737085849197,0.02059664694280079,0.028161035417160602,0.04504437744617462,0.060650887573964495,8
10,0.031362707805015495,0.03051174895859184,0.01955241043382069,0.02947299607315042,0.04861639067530632,0.08875739644970414,8
20,0.048102137490178595,0.04792070341636286,0.020916420246877915,0.0352036252143078,0.05165378749370575,0.1301775147928994,8
100,0.12195876995208797,0.12195876995208797,0.022865624933082796,0.053755628867716815,0.05536658316850662,0.2973372781065089,8
5,0.022534516765286,0.019783806067284734,0.015224358974358976,0.021640438604577983,0.03254437819123268,0.04881656804733728,9
10,0.027520663097586176,0.026876152823093028,0.014828590679094342,0.023547349848060884,0.03676740080118179,0.07988165680473373,9
20,0.039988684669080184,0.03972283488769786,0.01592290971859626,0.028493714191345828,0.039978522807359695,0.1242603550295858,9
100,0.10333276897508079,0.10333276897508079,0.017493011696544415,0.045348303044241416,0.04392138496041298,0.3239644970414201,9
