,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0190838919358115,0.0055095675022689885,0.009667377615275238,0.018113509156954227,0.034623198211193085,0.07739183424741011,0
10,0.02345888589033013,0.012578210753684996,0.00806532639688236,0.020565306778849518,0.04281264543533325,0.14320536258379038,0
20,0.03270931914207083,0.02622488448831738,0.00725718392843218,0.024134869810231645,0.048660002648830414,0.2327848872638635,0
100,0.10199820045136494,0.10091862416545054,0.008150097517744145,0.04799960763950855,0.05574667081236839,0.5252894576477758,0
5,0.022232378630916108,0.008054569252741908,0.011869794840544382,0.02182924529602622,0.042849887162446976,0.08653260207190737,1
10,0.025785187119739223,0.016262700305014487,0.009308386855995021,0.022996988942905396,0.05009503662586212,0.1450335161486898,1
20,0.0342290179863971,0.028693118939870702,0.00819839229591047,0.026091805994173788,0.0556398443877697,0.22973796465569774,1
100,0.10056136880979516,0.09983536248437523,0.009691098903335514,0.04951727589343992,0.06203828379511833,0.502132845825716,1
5,0.01797684338817794,0.007077373208344607,0.008916819012797075,0.01713403786338239,0.033922404050827026,0.07190737355271176,2
10,0.021079868063414685,0.013131144075551849,0.007494278287747716,0.018908252635154485,0.04140477627515793,0.1316270566727605,2
20,0.031072544119999705,0.026307786380564677,0.007286715427077585,0.02316766804717502,0.047095298767089844,0.21755027422303475,2
100,0.09452202400655683,0.09390027806321241,0.008761333986119354,0.04508346516223342,0.05322724208235741,0.4826325411334552,2
5,0.017895592118626853,0.007418997786196431,0.009115884623197238,0.017756339997856547,0.037202924489974976,0.07373552711761121,3
10,0.02229428436009789,0.014137189896417475,0.0075337915539520255,0.019807840332481633,0.04485408961772919,0.13345521023765997,3
20,0.03221212170540338,0.027406885966618943,0.007132479608536436,0.023946147986910422,0.05095842480659485,0.226691042047532,3
100,0.10326588868818287,0.10265446509382169,0.008974991026266853,0.0482417918478698,0.05773991718888283,0.5161486898232784,3
5,0.02183627869185456,0.008744988709769318,0.011920576884013814,0.02101612356684209,0.0399857833981514,0.08104814137720902,4
10,0.025421007322287033,0.015894357149052803,0.01025320894150876,0.022156174150596307,0.04558027163147926,0.125533211456429,4
20,0.035406589536773315,0.02865008182229214,0.00979681193667453,0.02649280374584191,0.05171874538064003,0.21876904326630103,4
100,0.10190090469414774,0.10066169500416841,0.0109387824931681,0.04969872619517406,0.058616023510694504,0.5051797684338818,4
5,0.02136908389193581,0.007111436626789063,0.011919053422709732,0.020621617915293825,0.038299817591905594,0.07739183424741011,5
10,0.02625455829294952,0.015054965340688713,0.009984076202083515,0.02298073280684248,0.046117108315229416,0.13954905545399146,5
20,0.034996105862384635,0.02843104135809394,0.008792061786082977,0.026279987043461406,0.051760926842689514,0.22242535039609995,5
100,0.0961602767254994,0.09532621747339974,0.009543438328863268,0.04762332568500333,0.05821734666824341,0.4954296160877514,5
5,0.019144830387974814,0.007675148887915779,0.010463132236441195,0.017825073647615524,0.031586430966854095,0.06886045094454601,6
10,0.024448410280220156,0.01573650015220589,0.009235135677490803,0.020281069331024665,0.038975220173597336,0.12797074954296161,6
20,0.033295617084338,0.027805962819731984,0.008710872675544481,0.024161777912703783,0.044953249394893646,0.21876904326630103,6
100,0.09758038573258157,0.0967218699705384,0.009877501901630045,0.04669489706641049,0.05158085748553276,0.4984765386959171,6
5,0.01619947186674792,0.005821588713732862,0.008481109079829373,0.016032263764960013,0.03200284764170647,0.06581352833638025,7
10,0.022033603203621487,0.013705261346741264,0.007255080469003455,0.019220458424698175,0.04073058441281319,0.13589274832419257,7
20,0.03226953441513864,0.026434889121435216,0.007005888469257673,0.023722448147176257,0.046561017632484436,0.22364411943936624,7
100,0.09823456062070392,0.09756015630619135,0.008648821775490234,0.04685238739194226,0.05308927595615387,0.49299207800121875,7
5,0.021206581352833636,0.0076224274339108805,0.010986187284176318,0.02023830205416868,0.03824903443455696,0.08104814137720902,8
10,0.024392308213149163,0.014151099395100827,0.009170586729512037,0.02199714132443095,0.04574228823184967,0.14137720901889092,8
20,0.03482075202435626,0.028138523558010956,0.00852865847848594,0.02625494777837905,0.05148105323314667,0.23095673369896405,8
100,0.10131068292755051,0.10042884846950571,0.00953547850444861,0.049150629210345916,0.058125920593738556,0.5106642291285801,8
5,0.02141986593540524,0.007372269104032235,0.012989031078610602,0.021656884415256112,0.04067641496658325,0.07678244972577697,9
10,0.02473593337395897,0.013192995746749831,0.01082606656877209,0.023555053876072297,0.04804924875497818,0.1340645947592931,9
20,0.03267592065390075,0.02542461388136363,0.009527419816228538,0.026951988820139158,0.05498280003666878,0.2352224253503961,9
100,0.10428390710553681,0.10309363720439498,0.010550557089110518,0.05147215295358651,0.061783358454704285,0.5271176112126752,9
