,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.008047767393561786,0.003825527729126214,0.003819660782277605,0.006950027107858153,0.012166840024292469,0.028037383177570093,0
10,0.013309103496019383,0.010448286482693577,0.003580947436087623,0.008198215721759123,0.014608367346227169,0.04776739356178609,0
20,0.020248029418650445,0.01845327152309018,0.0036759791278599676,0.01030761371113456,0.016833508387207985,0.07995846313603323,0
100,0.06247596902779664,0.0621690232068532,0.0045588178441476595,0.02115872349724704,0.019584333524107933,0.19106957424714435,0
5,0.005763239875389409,0.0027865538339068466,0.0029110418830045003,0.005715812221610009,0.01251298189163208,0.02284527518172378,1
10,0.007502596053997924,0.005452589322897982,0.002507716049382716,0.006245554879233896,0.014255221001803875,0.03842159916926272,1
20,0.010299050262689432,0.009001395022150152,0.0022880220566390322,0.007062804768640954,0.015745995566248894,0.060228452751817235,1
100,0.04975885315064919,0.04964997377713941,0.003065217857325937,0.016967704237851197,0.018471602350473404,0.17445482866043613,1
5,0.008307372793354102,0.004263711871364372,0.004702319141571478,0.00818127108516698,0.016216684132814407,0.029075804776739357,2
10,0.011673589477327795,0.00904354588564549,0.0041513066805122885,0.00869841038223621,0.017757009714841843,0.04257528556593977,2
20,0.015491167072911427,0.013630575568500353,0.0039904507338088275,0.009768752597186564,0.019106997177004814,0.0612668743509865,2
100,0.05049479088515829,0.05027771397854595,0.0045728676877230855,0.019112078562641337,0.02177734486758709,0.1754932502596054,2
5,0.010418830044998271,0.005021994921039978,0.006275527864312911,0.01010774027229893,0.017376255244016647,0.033229491173416406,3
10,0.012029619739900115,0.007768110652875381,0.005537929173053784,0.01083125025350793,0.020715687423944473,0.060228452751817235,3
20,0.016760353394493034,0.014311318396450409,0.0053142317752817225,0.011999201239569397,0.022191496565937996,0.08307372793354102,3
100,0.0535322508846042,0.05326876846779219,0.005872409111831461,0.021762155308504137,0.02493372932076454,0.1921079958463136,3
5,0.011457251644167532,0.005869043019063294,0.006616476289373486,0.010714754181086483,0.018137764185667038,0.035306334371754934,4
10,0.012232771267039182,0.008351086768553164,0.005684898108314515,0.010680020955121158,0.020093457773327827,0.05088265835929388,4
20,0.01760875358089945,0.014832039303638979,0.005418600208145023,0.012257582129484197,0.021943025290966034,0.0778816199376947,4
100,0.0654871562874891,0.0653186563262116,0.005928399418704199,0.023246367932732378,0.024917205795645714,0.20041536863966772,4
5,0.010747663551401871,0.006347763204591494,0.006022845275181724,0.009438843188918066,0.01472828071564436,0.029075804776739357,5
10,0.013293032685556051,0.009829022333638806,0.00541970569813249,0.010314567125757778,0.01743353344500065,0.05192107995846314,5
20,0.022035253674722054,0.01976525871120755,0.00553391694006932,0.012812632481977617,0.019502464681863785,0.08307372793354102,5
100,0.0627530288668617,0.062434119646043895,0.006069118626367658,0.022886744643671433,0.022269608452916145,0.20041536863966772,5
5,0.007217030114226375,0.004143902425720543,0.003738317757009346,0.006336833112098835,0.010522671975195408,0.02284527518172378,6
10,0.008452834231650433,0.0066232530074785915,0.0032201955144582355,0.006431854247280631,0.011833474040031433,0.03426791277258567,6
20,0.012307842711452755,0.011131187409196453,0.0032136964709666275,0.007807292523490514,0.013599580153822899,0.059190031152647975,6
100,0.04846446239720687,0.04838941899933116,0.003972966715565483,0.017336104798604913,0.01631343550980091,0.1703011422637591,6
5,0.01339563862928349,0.00654099371927122,0.006592246452059536,0.011931493945438465,0.021529940888285637,0.0446521287642783,7
10,0.014605482206728313,0.010294586933719185,0.005534608559011466,0.011869869264016782,0.023889051750302315,0.06438213914849429,7
20,0.021857680493377763,0.018967336629068778,0.00540843466001694,0.013912988125039744,0.025588739663362503,0.09034267912772585,7
100,0.06912192146751525,0.06901268662005629,0.006001431536120731,0.02526247001143004,0.02867635153234005,0.21287642782969884,7
5,0.010332294911734163,0.005902307334535129,0.005223260643821392,0.008728133179076952,0.013741779141128063,0.029075804776739357,8
10,0.010782277604707511,0.0072602377334098816,0.004430928480772717,0.008982454227215185,0.016099656000733376,0.04880581516095535,8
20,0.02038638477507434,0.018021662135891906,0.004666026330494791,0.011993777489970308,0.018864156678318977,0.08618899273104881,8
100,0.06905586964729055,0.06881519556719479,0.005480378608054452,0.02374273401127485,0.02176784723997116,0.20145379023883697,8
5,0.01573208722741433,0.00793740737139093,0.009955001730702665,0.015373762930681274,0.02689512073993683,0.0446521287642783,9
10,0.01596820451960639,0.011072095856063039,0.008152856071469778,0.014500850170161636,0.029049845412373543,0.0612668743509865,9
20,0.026198983543967776,0.022820166009300414,0.007951002947566324,0.017279863899926626,0.031464409083127975,0.09657320872274143,9
100,0.0645238989251219,0.06434337612523146,0.008063417757064881,0.02693887936456102,0.03454393520951271,0.2232606438213915,9
