,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.13995859213250517,0.10445763214846247,0.07839932712215321,0.13463774987376678,0.2417702078819275,0.44254658385093165,0
10,0.1941363501922508,0.184800513465927,0.07854059444976519,0.157637031212706,0.26458948850631714,0.6180124223602484,0
20,0.31018951842444,0.3090859434854613,0.09382174915128602,0.20565221537328926,0.27393659949302673,0.7484472049689441,0
100,0.7347166505582247,0.7347166505582247,0.12682400152611864,0.33668772399645114,0.2798682153224945,0.9518633540372671,0
5,0.14484989648033125,0.09855406659529681,0.08666494133885437,0.14407004806284482,0.25354552268981934,0.4518633540372671,1
10,0.18679076703145026,0.17554759432600497,0.08107851449470978,0.16018441337656836,0.27373555302619934,0.6040372670807453,1
20,0.29976063901474453,0.29840281094505466,0.09434079642716998,0.20595726824674085,0.28322434425354004,0.7437888198757764,1
100,0.7242953567855188,0.7242953567855188,0.12795494526235876,0.3383040451624674,0.28912118077278137,0.9347826086956522,1
5,0.15305383022774327,0.10885830327118572,0.09631168046928917,0.15427366962952382,0.27388715744018555,0.4472049689440994,2
10,0.20318507837917776,0.19242831171992714,0.09116537702325006,0.1724974262456286,0.296289324760437,0.6180124223602484,2
20,0.31994398770720567,0.31895296986836175,0.1039803165875411,0.21898153024627035,0.3067977726459503,0.7670807453416149,2
100,0.744181456042791,0.744181456042791,0.137559128205184,0.34987353590933984,0.3118750751018524,0.9487577639751553,2
5,0.14451345755693581,0.10064874668727992,0.08899715320910973,0.14428744109471342,0.2568581998348236,0.42701863354037267,3
10,0.19896541950113378,0.1861204363163854,0.0857060143616913,0.1650845258933909,0.27905023097991943,0.5962732919254659,3
20,0.31666950450361986,0.3154452586327295,0.09837256547324476,0.211081362640066,0.2888326644897461,0.7453416149068323,3
100,0.7600716961445242,0.7600716961445242,0.13216115625518615,0.34575255175687464,0.2953353524208069,0.9658385093167702,3
5,0.13706004140786748,0.09054376021402988,0.08150103519668737,0.13473283223821292,0.2354554831981659,0.4161490683229814,4
10,0.1808476289066351,0.16801512180729133,0.07622927430403953,0.15204617333131762,0.25830745697021484,0.5916149068322981,4
20,0.2817456085691813,0.28019521088940924,0.0869261491291026,0.19283231722647176,0.26740843057632446,0.7267080745341615,4
100,0.7274700684385861,0.7274700684385861,0.12049301278101533,0.3295812681430212,0.2742080092430115,0.9596273291925466,4
5,0.16187888198757763,0.11340623789655517,0.09143417874396134,0.15309056875773605,0.2615683078765869,0.468944099378882,5
10,0.20845780341121956,0.19656222001860596,0.08534533844593739,0.16953875415503633,0.2837609648704529,0.6335403726708074,5
20,0.3227805223720123,0.32145746227187294,0.09859805651800159,0.2156930822125013,0.2933307886123657,0.7717391304347826,5
100,0.751917309325565,0.751917309325565,0.1336759348317951,0.34953146506901267,0.2985202968120575,0.9580745341614907,5
5,0.1608695652173913,0.11097707708855084,0.09367279158040029,0.15595556972876945,0.2720238268375397,0.4798136645962733,6
10,0.20833579808735087,0.1968105343072761,0.08790004522628006,0.1731678798577078,0.29517462849617004,0.6444099378881988,6
20,0.3368432228977534,0.3354759092595717,0.10163785583263822,0.22324871527086715,0.30605724453926086,0.7981366459627329,6
100,0.7450916057537603,0.7450916057537603,0.1349155798872666,0.3519243054295717,0.3108645975589752,0.9611801242236024,6
5,0.149120082815735,0.10152862133729766,0.09166451000690132,0.15168773590943369,0.2788302004337311,0.46273291925465837,7
10,0.2056362762496303,0.19387389827753726,0.08711221203457228,0.17375787795985484,0.30428868532180786,0.6475155279503105,7
20,0.3366540659405975,0.3348138182891091,0.10231049721442965,0.22642824096354597,0.3154727518558502,0.8074534161490683,7
100,0.7702702364674684,0.7702702364674684,0.13969732610458804,0.36425128237322324,0.3207157254219055,0.9782608695652174,7
5,0.16519151138716356,0.11719038497703911,0.09398162525879918,0.15507877014294963,0.2634834349155426,0.4767080745341615,8
10,0.22171509908311152,0.20736958650390325,0.09157351265788118,0.17751377677701446,0.2865658700466156,0.6506211180124224,8
20,0.337922799431871,0.33572890694294744,0.1047460428152935,0.2244938670050928,0.2955578565597534,0.7795031055900621,8
100,0.7658475557819705,0.7658475557819705,0.13968600256159872,0.3586248891832578,0.30089521408081055,0.9565217391304348,8
5,0.16185300207039338,0.11489708222799343,0.09772213595583161,0.15981404232757054,0.279813677072525,0.484472049689441,9
10,0.21020038450162673,0.19961305097090531,0.0922234924997144,0.1781196281672477,0.3031980097293854,0.65527950310559,9
20,0.32583548313470145,0.32477421980635734,0.10627803855528742,0.22528837649363725,0.3118806779384613,0.7841614906832298,9
100,0.7484278028152901,0.7484278028152901,0.14103540705467477,0.35765216818050916,0.31669238209724426,0.9580745341614907,9
