,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.036790393013100435,0.003278913856664995,0.020046700630761766,0.037162998230133255,0.07369601726531982,0.1433770014556041,0
10,0.03658981423719416,0.0063503456097226615,0.01473907430512234,0.0369307956922932,0.08621847629547119,0.23835516739446871,0
20,0.035942109454706286,0.011906485147946011,0.010898121582085559,0.03619809623423089,0.0944923609495163,0.3611717612809316,0
100,0.06353428310296724,0.055359088877242356,0.00800925988092633,0.049803324935944526,0.1043257862329483,0.7723799126637555,0
5,0.038437045123726345,0.0035162135754393748,0.020772076661814652,0.038763973843600454,0.07720766216516495,0.15065502183406113,1
10,0.03642504794251519,0.006384504978959876,0.014732511606049504,0.03721641657294163,0.08890954405069351,0.24072052401746724,1
20,0.03543984890520761,0.01160989342938744,0.010490380052974858,0.036168351379291454,0.09769820421934128,0.3682678311499272,1
100,0.06267451772310693,0.0548143554715505,0.007549699488987241,0.049392728088875154,0.10768622905015945,0.7765647743813683,1
5,0.039701601164483256,0.003420095811951964,0.02144408054342552,0.03952521179631443,0.07653748989105225,0.1517467248908297,2
10,0.03849668445738315,0.006746302542274688,0.015565915594767745,0.038693332105594676,0.08862007409334183,0.2450873362445415,2
20,0.037689627864258106,0.01265290995701429,0.011366662748028642,0.03776070804936577,0.09697400033473969,0.3662663755458515,2
100,0.06389026006902744,0.05506607614872888,0.008180710389929874,0.050544249574576386,0.10688770562410355,0.776018922852984,2
5,0.03844614264919942,0.003368548808668826,0.02086608442503639,0.03852583863286931,0.07522440701723099,0.14537845705967978,3
10,0.037054582264735104,0.006422894120632336,0.015257106178230633,0.03756666017545993,0.08664338290691376,0.2334425036390102,3
20,0.035974835662787724,0.011652758332496049,0.011098289918475442,0.036566936726535625,0.09521377831697464,0.35880640465793306,3
100,0.061898930866042076,0.05377678917941181,0.007957852922463083,0.04925369225782357,0.10496743023395538,0.7612809315866085,3
5,0.036071688500727804,0.003624382516105179,0.019271591460456088,0.036476005851946706,0.07389919459819794,0.14410480349344978,4
10,0.03547031318592454,0.006682116746415059,0.014080215763322957,0.035865450995765734,0.08526165038347244,0.23180494905385735,4
20,0.03454186560873918,0.011953422327473815,0.01029287263110668,0.034937982005684674,0.09372949600219727,0.3569868995633188,4
100,0.060823951361946654,0.05338919132138686,0.007617444429336967,0.047825202958528934,0.10357457399368286,0.768740902474527,4
5,0.038955604075691416,0.0037155756197557173,0.021157811741872878,0.039322976705714184,0.07836911827325821,0.15211062590975255,5
10,0.03766498290242832,0.006747978540670041,0.015293696900157442,0.038280717617755054,0.09056037664413452,0.24617903930131005,5
20,0.036457244484958705,0.012230189807459668,0.011026869965090577,0.0369913460123167,0.09898493438959122,0.3713609898107715,5
100,0.06202437017473897,0.05391364825195134,0.007987316738765498,0.0495417634696083,0.10864552110433578,0.7731077147016011,5
5,0.03782751091703057,0.0033939567560531897,0.02118995633187773,0.03855291923965522,0.07632520794868469,0.14483260553129548,6
10,0.03797336013493219,0.006530842086096897,0.015483370335438073,0.038365958116997834,0.08910290151834488,0.24344978165938866,6
20,0.03703036049673739,0.012346185730006322,0.011255576806888504,0.03717707849997007,0.09719332307577133,0.3622634643377001,6
100,0.06282278949218206,0.054175821811636146,0.008179989627636308,0.04976287430178316,0.10701347142457962,0.7685589519650655,6
5,0.038136826783114995,0.0034345506863386883,0.020795123726346437,0.03827957541343832,0.07530628144741058,0.14683406113537117,7
10,0.037743322705113096,0.006661736099822219,0.015280467323998983,0.03794335584811816,0.08751646429300308,0.2405385735080058,7
20,0.03657386343696202,0.012315143510604282,0.011103265759037292,0.03695296417549178,0.09595987945795059,0.36499272197962157,7
100,0.06280879843036956,0.05445181937809103,0.0080962285332907,0.04987083471098398,0.1057974249124527,0.766193595342067,7
5,0.036935953420669576,0.0033826477081591914,0.019882945172246484,0.03703479400140946,0.07376880198717117,0.14556040756914118,8
10,0.03680779383563227,0.006536145002908725,0.014636541823586946,0.03687779331484306,0.08623386174440384,0.24090247452692867,8
20,0.03552700628871421,0.011926833088610141,0.010582757310403139,0.03575848818042196,0.09442458301782608,0.36026200873362446,8
100,0.06269511866608861,0.05466646516486253,0.007909127883878217,0.04934237960448045,0.10410287976264954,0.7632823871906841,8
5,0.040165574963609896,0.003522667058737233,0.022000242600679284,0.04052880764907362,0.08038270473480225,0.15538573508005823,9
10,0.038659573484901,0.006396083228758378,0.01597881191130827,0.03931600312310215,0.09190624207258224,0.24526928675400292,9
20,0.036934096446953536,0.011877210566637835,0.011521428166729318,0.03776971441474049,0.10044718533754349,0.3713609898107715,9
100,0.06306584137880271,0.054723516473824896,0.008324131792710493,0.05045482866918924,0.11008071154356003,0.7689228529839883,9
