,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.02196142649199418,0.002826434952032717,0.011619359534206695,0.02317956896217285,0.05176188796758652,0.10007278020378457,0
10,0.01968329058940413,0.004652313006877112,0.007257757239237276,0.021120741098420368,0.060235731303691864,0.1653930131004367,0
20,0.02204961600711986,0.009132838834413372,0.0050114127959699495,0.022201901153274722,0.0696248859167099,0.30604075691411936,0
100,0.05603842022299084,0.05038908639446373,0.0046402972588508624,0.04042512163721534,0.08108934760093689,0.7967612809315866,0
5,0.022522440562833576,0.002685262262346896,0.012130337214944203,0.02392701514594177,0.0533418282866478,0.10080058224163027,1
10,0.02119326321018461,0.005049646891588478,0.007706638635560968,0.022263922420410285,0.06248750537633896,0.17157933042212517,1
20,0.022887633827288506,0.009298907272696949,0.00524165555418274,0.02285647445581509,0.07196582853794098,0.31222707423580787,1
100,0.05673683183296176,0.05092342401548979,0.004716874946308998,0.0409445334435543,0.08330946415662766,0.8027656477438136,1
5,0.024351043182920914,0.003064771043154324,0.013159873847646771,0.02597142709052329,0.05807557329535484,0.11026200873362445,2
10,0.021792977865576123,0.004982225289373574,0.008289968461911693,0.023639688810578152,0.06725843995809555,0.17976710334788937,2
20,0.023378382711387636,0.009241716617232033,0.005589103125541525,0.024049336515639695,0.07677899301052094,0.32132459970887917,2
100,0.055750101849085625,0.04975585463459148,0.0049374485355336535,0.04147482812365422,0.087895967066288,0.7987627365356623,2
5,0.023887069383794278,0.003133100488416936,0.012373544395924307,0.02496084410010337,0.055710215121507645,0.10935225618631732,3
10,0.021118172523740212,0.00530835932969738,0.007780771090580823,0.022492896867852163,0.06395445019006729,0.17321688500727803,3
20,0.022990605153765754,0.009699615692083129,0.00533361558952855,0.0232209209845447,0.07363363355398178,0.31513828238719066,3
100,0.05774518389009559,0.05190852178635597,0.004974381609209708,0.042105629646827694,0.08509348332881927,0.8051310043668122,3
5,0.022367782629791364,0.002886090463033683,0.011904415332362932,0.023842982052251282,0.05408782139420509,0.10352983988355167,4
10,0.021412325847369518,0.005159021784351051,0.007643304248757566,0.022545727752346645,0.06390570849180222,0.17940320232896653,4
20,0.022244251222672342,0.009003222103694175,0.0051897115424426815,0.022687463194055738,0.07282580435276031,0.31022561863173215,4
100,0.05624629134189412,0.05002540186250904,0.004871012399510061,0.041492642981731866,0.08461835980415344,0.8094978165938864,4
5,0.022513343037360505,0.0026187776055461966,0.011955967976710336,0.023839278814996444,0.0534115694463253,0.10225618631732168,5
10,0.02071817021325755,0.004562218011904826,0.007560379925866512,0.022089160310816782,0.06265970319509506,0.17358078602620086,5
20,0.022661824688847722,0.009008288890421524,0.005167789176000219,0.022888819600121034,0.07201046496629715,0.31240902474526927,5
100,0.056387015344245846,0.05042167787654004,0.004699149329314434,0.041024410638061164,0.08332119137048721,0.7974890829694323,5
5,0.02232532751091703,0.002907870262605582,0.011681222707423581,0.023463739961237826,0.05255943909287453,0.10262008733624454,6
10,0.020633115570342645,0.004930863760435866,0.0074534919094598855,0.021822805158291818,0.06165948882699013,0.1717612809315866,6
20,0.022699666251964068,0.009444149458773284,0.005118171501142105,0.022760494313790455,0.07161490619182587,0.31986899563318777,6
100,0.055924212870950084,0.050346706622534175,0.004719321429999506,0.040813331076947935,0.08276298642158508,0.7934861717612809,6
5,0.022719553614750122,0.002917145574689341,0.011894104803493451,0.023861106774932247,0.05318110063672066,0.1037117903930131,7
10,0.020674126637554587,0.005049161571895075,0.007542793439549522,0.021935453700899322,0.061928149312734604,0.1717612809315866,7
20,0.022922400782628992,0.00968018296900064,0.005257896245305799,0.022985424180813036,0.07171792536973953,0.31477438136826785,7
100,0.057065698633502825,0.05117198033067002,0.0049131735619205264,0.04151676239363148,0.08307813107967377,0.8005822416302766,7
5,0.02245269286754003,0.0027441682223101004,0.01207787481804949,0.024051408005051827,0.05446992442011833,0.10262008733624454,8
10,0.021492542917215408,0.004850608627666483,0.007715813520944525,0.022662527139710488,0.06402434408664703,0.17812954876273654,8
20,0.023098658428159252,0.009393958652524017,0.005240596085553491,0.023275201310766554,0.07356780022382736,0.3178675400291121,8
100,0.057006709226511736,0.05142206896400123,0.00471166467426823,0.04135449521122675,0.0848006084561348,0.8002183406113537,8
5,0.023532265890344496,0.003009651758223205,0.012469068413391557,0.024945434184555765,0.05604378879070282,0.10716885007278021,9
10,0.021549943970795498,0.005126183375829659,0.007910178061196984,0.022988201484441268,0.06509626656770706,0.17631004366812228,9
20,0.022575313761459274,0.009265455374143666,0.005338971977844435,0.023157708556145077,0.07444550842046738,0.314410480349345,9
100,0.05638365123496669,0.05073582375452684,0.004855220652615571,0.041252176614894186,0.08556553721427917,0.8014919941775837,9
