,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.13159516765285995,0.031064898630464372,0.09682301939513478,0.1392478055579802,0.23328404128551483,0.35133136094674555,0
10,0.1254185451300836,0.051350435586686345,0.07697011351658786,0.13096855790625375,0.24643443524837494,0.44970414201183434,0
20,0.1372776967934698,0.0892855450191743,0.06482587924604369,0.13077767318423916,0.25388452410697937,0.5569526627218935,0
100,0.26601193866990874,0.2598171737834541,0.05658857442591169,0.16961763391782209,0.25912508368492126,0.7781065088757396,0
5,0.1402120315581854,0.030343972650594513,0.10275332840236688,0.14550113984400903,0.23510846495628357,0.3631656804733728,1
10,0.1333618037944961,0.05080319852865225,0.0827314195182785,0.13748846362320358,0.24780544638633728,0.4593195266272189,1
20,0.14041612241736012,0.08808213468644834,0.06816121148776735,0.1347872051009584,0.255378395318985,0.5695266272189349,1
100,0.2628517975739861,0.2565904670932942,0.057512251456021554,0.17002107156324475,0.26065793633461,0.7818047337278107,1
5,0.14392258382643,0.03740842559822999,0.10289591551610783,0.14525234129194986,0.22861191630363464,0.35798816568047337,2
10,0.13548769606461913,0.056515959236945426,0.08359094977570253,0.13670268834239377,0.2396731674671173,0.4415680473372781,2
20,0.1390271649121341,0.08932213125768901,0.0683545149591464,0.13209189524022813,0.2471325844526291,0.5502958579881657,2
100,0.26789742917373516,0.2621319713624052,0.05849687980027024,0.1704313255711535,0.2529756426811218,0.783284023668639,2
5,0.12557938856015782,0.030949338134005955,0.09235392011834319,0.13165747158500207,0.22010600566864014,0.3261834319526627,3
10,0.12383447215177984,0.050827073126060315,0.07487116522315697,0.12660490162029495,0.23510995507240295,0.4415680473372781,3
20,0.14009761138538937,0.09220220052662054,0.0643612518369026,0.12829699981194562,0.24422267079353333,0.5724852071005917,3
100,0.284107036876339,0.27643571725597965,0.057328304827743023,0.1703456871410951,0.24957063794136047,0.7951183431952663,3
5,0.12353303747534518,0.037838523836737636,0.08126664201183433,0.12063406482743623,0.1922953724861145,0.3254437869822485,4
10,0.1182624800413262,0.057306984954254646,0.06554741251913872,0.11560715465866848,0.20541760325431824,0.4230769230769231,4
20,0.13005579938426243,0.09345507962421175,0.05588203138078604,0.11647989537889294,0.21294377744197845,0.533284023668639,4
100,0.2733944761410454,0.26908658087801046,0.05342148656951861,0.16154856366653955,0.21845263242721558,0.7588757396449705,4
5,0.12096893491124261,0.036870009994035634,0.08241473537146615,0.12377552624455573,0.21092207729816437,0.3306213017751479,5
10,0.12055978209824363,0.057586047866358646,0.06707363259789999,0.1197150893204317,0.22512532770633698,0.4371301775147929,5
20,0.1314895665698627,0.09264058516607501,0.05676478195724558,0.11958727956997836,0.23298196494579315,0.5502958579881657,5
100,0.25607764989160625,0.25218257816961887,0.05250820849555116,0.15961583142700855,0.2381352335214615,0.757396449704142,5
5,0.12919132149901383,0.03316843140590288,0.09455066568047338,0.13586572147413342,0.22888314723968506,0.34541420118343197,6
10,0.1275737883910961,0.05473696236776135,0.07727487137743548,0.13028777544465736,0.24171628057956696,0.44452662721893493,6
20,0.13538264097334368,0.0904338213935826,0.06395841730768709,0.1276443852039836,0.24987874925136566,0.5613905325443787,6
100,0.2689691880675703,0.2646153152753704,0.05593680333733498,0.16783636010584885,0.2557115852832794,0.7973372781065089,6
5,0.13517011834319526,0.03703653825922954,0.10062089086127549,0.14478055825768993,0.2502342164516449,0.35798816568047337,7
10,0.13260425471963933,0.05896463118511334,0.08221865514505167,0.137889270185132,0.26407498121261597,0.46227810650887574,7
20,0.14751616922824123,0.09901583564653804,0.07081821716625784,0.1383830727229306,0.272365003824234,0.5828402366863905,7
100,0.2697107554097874,0.2642302846044451,0.062207258027710745,0.1748479807654112,0.27749934792518616,0.7862426035502958,7
5,0.12470414201183434,0.03909611876813519,0.09004581689677844,0.12916985430467265,0.2124013900756836,0.3254437869822485,8
10,0.1256319268338499,0.062256083280753584,0.07344279086552438,0.12546040061611113,0.2278297245502472,0.4423076923076923,8
20,0.1344265240031116,0.09721858114537742,0.06204824038640392,0.12416852089758379,0.23557999730110168,0.5554733727810651,8
100,0.268924719203553,0.26489864200516244,0.0584796064045635,0.16662516365791755,0.2413051575422287,0.7862426035502958,8
5,0.12827909270216964,0.03618564238212749,0.09520114234056541,0.13465282272389886,0.2216469645500183,0.3328402366863905,9
10,0.12452187235841083,0.0572939106787918,0.07693678686409913,0.12801011467044368,0.23570431768894196,0.4386094674556213,9
20,0.1381822050196045,0.0958079050000382,0.06529450323171208,0.12830069024104448,0.2438589185476303,0.5554733727810651,9
100,0.2779754821741481,0.2728388323204953,0.05923936254897002,0.1705341762822855,0.24939894676208496,0.775887573964497,9
