,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.20279187817258884,0.034733529455171816,0.13512055837563453,0.20310751747890712,0.31797799468040466,0.5076142131979695,0
10,0.19587311659012166,0.0573905112720773,0.11210461401847824,0.19739407501929226,0.33444926142692566,0.6281725888324873,0
20,0.1959187374333883,0.09740174709399359,0.09237886740382743,0.19120321974070315,0.3415466248989105,0.7296954314720813,0
100,0.303328038850604,0.28542707654042515,0.07816523055883211,0.22509446130118488,0.3460964858531952,0.8984771573604061,0
5,0.19498730964467006,0.02974833773489042,0.13515439932318105,0.1967830323340641,0.3034687042236328,0.47715736040609136,1
10,0.18692389815486263,0.05160894815063762,0.1095073990303021,0.1893027603142147,0.3206656277179718,0.6040609137055838,1
20,0.18111399415652646,0.08508158755322778,0.08866158060994463,0.1801736122708955,0.3273858428001404,0.699238578680203,1
100,0.297218098256972,0.2799843428031593,0.07335474009060108,0.2154429454394277,0.3322238326072693,0.8845177664974619,1
5,0.21776649746192892,0.03640138288425793,0.14866116751269037,0.21862149352862134,0.3387267291545868,0.5393401015228426,2
10,0.21036882604141488,0.06404498213478631,0.12232478301059095,0.21154640337622413,0.35605308413505554,0.6687817258883249,2
20,0.20506308971163956,0.10672150892261295,0.09811817027135304,0.20072263658658773,0.3621969223022461,0.7588832487309645,2
100,0.32837312439210475,0.3114907962469616,0.08304461538201213,0.2395738088487958,0.366476446390152,0.9213197969543148,2
5,0.20867174280879866,0.03222596063510636,0.1408206429780034,0.21082732694826006,0.33758458495140076,0.5393401015228426,3
10,0.20037214970590608,0.05658445189473154,0.11482908806735703,0.20308144534328854,0.3532717823982239,0.6573604060913706,3
20,0.19546746250131783,0.09367952844543113,0.09368766935725059,0.19432287006101284,0.3596350848674774,0.748730964467005,3
100,0.31886852598150445,0.299203246457549,0.07970616325327355,0.2339122204761518,0.3638084828853607,0.9035532994923858,3
5,0.21326142131979697,0.03638580178973303,0.14583756345177665,0.2131396687386071,0.32667088508605957,0.5266497461928934,4
10,0.20570310611554266,0.06063156752972445,0.12231217518733381,0.20748619585640454,0.3427529036998749,0.6446700507614214,4
20,0.20027848219786898,0.09845084653611891,0.10125638394582952,0.1990238383022953,0.34904271364212036,0.7373096446700508,4
100,0.3199267507848452,0.2990280410081511,0.08548882206726645,0.2352179455890453,0.3529718220233917,0.899746192893401,4
5,0.19911167512690353,0.03031961503837677,0.1347377326565144,0.1985864398485505,0.30397629737854004,0.49111675126903553,5
10,0.1887725606316977,0.05455247738898474,0.10757416076272584,0.19065970194905857,0.3238251507282257,0.6395939086294417,5
20,0.18509119430442172,0.09118587686250945,0.08684628901706938,0.1834070443238806,0.3300703763961792,0.7296954314720813,5
100,0.3044032501215893,0.28854956680181354,0.07440031369348517,0.22308346008228508,0.33463212847709656,0.9048223350253807,5
5,0.20530879864636215,0.035081504817350145,0.13803087986463622,0.20383963976833924,0.3152918815612793,0.516497461928934,6
10,0.20053631858834906,0.061169140108488375,0.11340695334112212,0.19900948359753565,0.3327219486236572,0.6446700507614214,6
20,0.1931727402755675,0.09362786594188793,0.09328020038964323,0.18991157474621445,0.33774515986442566,0.7208121827411168,6
100,0.30169643680482633,0.2824608629326453,0.07764791961321457,0.22349925311928323,0.3418266177177429,0.8769035532994924,6
5,0.2054357021996616,0.033067920816411,0.13935913705583755,0.2052222831225416,0.31668782234191895,0.5126903553299492,7
10,0.1926562122310853,0.058167629688676045,0.11239475562033424,0.19442485161391498,0.3313169479370117,0.6218274111675127,7
20,0.19209521179723402,0.09792614896598235,0.09166590028048047,0.18745576501107225,0.33778277039527893,0.7157360406091371,7
100,0.3094571924843501,0.29200489461545837,0.07696767421849128,0.22468431474043918,0.3422777056694031,0.8959390862944162,7
5,0.20638747884940778,0.0379544328242194,0.14694585448392553,0.21005829370505552,0.32745346426963806,0.4987309644670051,8
10,0.19766789541535734,0.0633731273377014,0.11736183791292416,0.20192048250630823,0.3487113416194916,0.6535532994923858,8
20,0.19519599687687963,0.10349904049902885,0.09584203113824835,0.19260896626021543,0.3541843891143799,0.7309644670050761,8
100,0.3254513795484007,0.3077497607414132,0.08625604510068303,0.2387301833859245,0.35847240686416626,0.8934010152284264,8
5,0.2032994923857868,0.03352897635023438,0.13772419627749577,0.20307292493185017,0.3141920566558838,0.5050761421319797,9
10,0.194987813230199,0.058488802135128366,0.11201246925730247,0.19546318918614755,0.3314298093318939,0.6307106598984772,9
20,0.18868936626132413,0.09436742498548205,0.09088646986771234,0.1864682514458946,0.33746689558029175,0.7182741116751269,9
100,0.30518814844525566,0.2899371636867185,0.07721153688980864,0.22440961627696138,0.3419056236743927,0.8845177664974619,9
