,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.06254692192192193,0.011297784330629116,0.03897334834834835,0.061818151459042764,0.10502064228057861,0.19200450450450451,0
10,0.06176511332761333,0.019198009095227727,0.03068458126493841,0.06054457228551158,0.11586184799671173,0.2730855855855856,0
20,0.07124923922524541,0.03965544104622688,0.025298062959750303,0.06246781748416483,0.1235068067908287,0.38400900900900903,0
100,0.14159193993007294,0.13534203342224074,0.021014605727799632,0.0835128266742043,0.1296621561050415,0.6351351351351351,0
5,0.05900900900900902,0.011235983486837832,0.03616460210210211,0.06033008934084653,0.11068882048130035,0.19200450450450451,1
10,0.05983930358930359,0.021108556332827863,0.027392607850197138,0.058666192701172966,0.12195029854774475,0.27871621621621623,1
20,0.0662640062311115,0.037574944859274324,0.022002113455816107,0.059119033417846835,0.12862008810043335,0.3738738738738739,1
100,0.1409301255353582,0.13594523487190177,0.018742193520277953,0.08125363729725259,0.1352095901966095,0.6452702702702703,1
5,0.057939189189189194,0.010775147134454498,0.03675581831831832,0.06013806016526972,0.10993806272745132,0.18637387387387389,2
10,0.058070570570570565,0.019932037791467013,0.028036154777226208,0.058426209744116726,0.12125541269779205,0.2713963963963964,2
20,0.06410288553042036,0.03593916006160353,0.022359535713490492,0.05844878268170557,0.12816424667835236,0.3721846846846847,2
100,0.13654464159283108,0.13163511781179457,0.018739988133473093,0.07946216429570471,0.13421083986759186,0.6188063063063063,2
5,0.0540259009009009,0.01105164287406531,0.03308746246246246,0.05469118355737232,0.09843280911445618,0.17398648648648649,3
10,0.05861374767624768,0.02128791199277762,0.0262196012977263,0.055985270606780324,0.11062156409025192,0.26463963963963966,3
20,0.06756646129469272,0.03911977923019495,0.021903155160717537,0.05845625145559078,0.1179027408361435,0.37105855855855857,3
100,0.13821015324635788,0.13318386585959532,0.01894008037764416,0.08019169928203919,0.12418729066848755,0.6328828828828829,3
5,0.060416666666666674,0.012738385087360542,0.03631287537537538,0.060925286076362516,0.11065127700567245,0.20213963963963963,4
10,0.060999839124839125,0.02172382176794495,0.029313694008634487,0.05980093601015202,0.12005465477705002,0.2719594594594595,4
20,0.07013624136544029,0.0396824430897422,0.024719906658578917,0.06190997008015833,0.1276654303073883,0.38063063063063063,4
100,0.13477172161173973,0.12863625365534984,0.020943890623546655,0.08219248441078869,0.1337701380252838,0.6289414414414415,4
5,0.051351351351351354,0.010762412926792555,0.03162631381381382,0.0536771566516085,0.10322823375463486,0.18130630630630631,5
10,0.05391552266552267,0.0189675877124042,0.02410629538977753,0.05363503338247917,0.11524314433336258,0.2725225225225225,5
20,0.061988810827820116,0.03686789838559648,0.019339458508188988,0.055043074203998954,0.12274681776762009,0.3811936936936937,5
100,0.13289231672569451,0.12865975432124718,0.01751571173887648,0.07770228012408735,0.12899081408977509,0.6311936936936937,5
5,0.053368993993993995,0.011205183762656477,0.03219876126126126,0.05386081534870904,0.09735360741615295,0.17792792792792791,6
10,0.0540312634062634,0.020669049125705437,0.024604855706046185,0.052783002670717824,0.10902778804302216,0.26632882882882886,6
20,0.06529147611287704,0.040614831107735526,0.020485549557903295,0.05555602003538685,0.11715206503868103,0.38063063063063063,6
100,0.14027682530174518,0.13625431684092404,0.018730890881479775,0.08021019440302486,0.12377113848924637,0.6390765765765766,6
5,0.05885885885885886,0.012063045348020045,0.03756569069069069,0.060786375562455884,0.11026652157306671,0.18693693693693694,7
10,0.058089562777062786,0.02027558440574788,0.028160775571489858,0.058873964898323736,0.12241616100072861,0.27984234234234234,7
20,0.0699769039455572,0.04117337737746176,0.023635693766646763,0.06154152621696059,0.12953196465969086,0.38231981981981983,7
100,0.1415742982354681,0.13700073213841563,0.020388148044559126,0.08351164151597557,0.136012464761734,0.6458333333333334,7
5,0.05408220720720722,0.01190588281863633,0.03116554054054054,0.05400216755994,0.09980292618274689,0.18975225225225226,8
10,0.05511180823680824,0.02110916670590556,0.024184677343159485,0.05319012231239304,0.10996510088443756,0.2668918918918919,8
20,0.06605533975406266,0.0406698850774453,0.019983656566723743,0.056114209988747374,0.11840417981147766,0.38963963963963966,8
100,0.14072597767508824,0.13683702990252772,0.017815025762502705,0.07977291439814779,0.12471174448728561,0.651463963963964,8
5,0.0632789039039039,0.011715454667216728,0.038360548048048046,0.06503860401338078,0.12072071433067322,0.21058558558558557,9
10,0.06519041362791363,0.02346136791547368,0.029376739090280754,0.06363436878983818,0.132613867521286,0.30067567567567566,9
20,0.0706298995990366,0.040795773622037054,0.023098453672481284,0.06291070560309193,0.13924133777618408,0.39414414414414417,9
100,0.14194128794561156,0.13672810193748733,0.019588550728691187,0.08459474923029991,0.14549556374549866,0.643581081081081,9
