,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.05099597953216375,0.04894016088509368,0.02530960648148148,0.037427394097398585,0.04851364716887474,0.09557748538011696,0
10,0.09254589018843404,0.09192200119764983,0.030706299588210313,0.05305282417296362,0.058205489069223404,0.16940789473684212,0
20,0.14468156820045636,0.14447822470389005,0.0347066207172594,0.068762187807516,0.06371215730905533,0.2509137426900585,0
100,0.34846881918032896,0.34846881918032896,0.041003459225969055,0.11421066760406443,0.07002928107976913,0.5166301169590644,0
5,0.045623172514619885,0.04370667407922548,0.02204211338531514,0.03293062710292876,0.041873782873153687,0.08644005847953216,1
10,0.08684848695813607,0.08627664454470393,0.02739174554920517,0.04838770044316959,0.051580484956502914,0.1599049707602339,1
20,0.14364369954109527,0.14341365176223547,0.03178789041139145,0.06523234156689679,0.05742325633764267,0.2454312865497076,1
100,0.35568958518088856,0.35568158993235055,0.03816343274794696,0.11211057944442894,0.06408291310071945,0.5235745614035088,1
5,0.04377436647173489,0.041879952751831484,0.02133452119883041,0.032189185986676146,0.042367205023765564,0.08570906432748537,2
10,0.08380869708994709,0.0831744728171105,0.02658402060873082,0.04716223817958658,0.05149150267243385,0.15497076023391812,2
20,0.14312468273918375,0.1429235429998109,0.031168569314744838,0.06505717697383125,0.057943060994148254,0.24945175438596492,2
100,0.3561352247261578,0.3561352247261578,0.03771822690501313,0.11239953838307169,0.0644792690873146,0.5201023391812866,2
5,0.045211988304093564,0.04310211256180079,0.021854186972059778,0.03300041633759366,0.043433234095573425,0.08698830409356725,3
10,0.08365720435347629,0.08301353118674246,0.026727084276083724,0.04732243257003747,0.05233990401029587,0.15515350877192982,3
20,0.14400736599759517,0.14386538570984053,0.03136573407696487,0.06504872217001471,0.0583181232213974,0.24433479532163743,3
100,0.3525582243523111,0.3525582243523111,0.03767582635156107,0.11130929080557735,0.06475339084863663,0.5151681286549707,3
5,0.04891569200779727,0.047160310581646776,0.023133020630279402,0.034768479285920105,0.04353984072804451,0.09119152046783625,4
10,0.08860280040378725,0.08800059230983848,0.028398314130923655,0.049751621387914224,0.052896205335855484,0.16246345029239767,4
20,0.14474599326543308,0.14457873642619856,0.03265271896265105,0.06668139137358238,0.05918029695749283,0.25529970760233917,4
100,0.3516804004892791,0.3516804004892791,0.03906102333406334,0.11299014033652525,0.06564829498529434,0.5222953216374269,4
5,0.05008223684210526,0.047961859076860215,0.023242872807017544,0.03525742166147147,0.04479166865348816,0.09265350877192982,5
10,0.0868287617191126,0.08606338681576417,0.027777941953327247,0.048871437344753126,0.05343937501311302,0.15899122807017543,5
20,0.14483425287935414,0.14449923940448037,0.03206007312091178,0.06602464579641262,0.05963057652115822,0.2505482456140351,5
100,0.3485762884985644,0.3485762884985644,0.03820258586873681,0.11131915134806065,0.06606773287057877,0.5169956140350878,5
5,0.04949744152046784,0.047229062802753845,0.023922189733593245,0.03604520584000303,0.046844542026519775,0.09484649122807018,6
10,0.09164708646616541,0.09078739031559477,0.029218237444222327,0.05176158295382524,0.056832265108823776,0.17068713450292397,6
20,0.15190880295435233,0.15152681068400456,0.03369159000953596,0.06966780577937522,0.06310846656560898,0.2629751461988304,6
100,0.35709559945109404,0.35707960895401797,0.03996204214401352,0.1153546729426211,0.06942827999591827,0.5243055555555556,6
5,0.048379629629629634,0.04567389153430053,0.023159925276153348,0.035066048977863355,0.04600390046834946,0.09228801169590643,7
10,0.0862367144713636,0.08537156063488094,0.027857884452920218,0.04908775426308206,0.054559651762247086,0.15862573099415206,7
20,0.14540670988374635,0.1450544440916096,0.03229342777655317,0.06674296010896805,0.06103049963712692,0.25255847953216376,7
100,0.3505958727973563,0.3505958727973563,0.038611134527896246,0.11284185296095334,0.0676155760884285,0.5226608187134503,7
5,0.051562500000000004,0.048844587935867545,0.02597633406432748,0.03822202535051524,0.04947612062096596,0.09649122807017543,8
10,0.08749202288127728,0.08649937033416671,0.030168960468162247,0.05145269776301946,0.058003731071949005,0.16209795321637427,8
20,0.14585356668448127,0.14542309103087336,0.03447793553760387,0.0687877815772574,0.06427463889122009,0.254203216374269,8
100,0.35431555544736987,0.35431555544736987,0.04098932609780808,0.11569533126017337,0.07079344987869263,0.5239400584795322,8
5,0.04850146198830409,0.04643519110140213,0.02344937865497076,0.035310663779388546,0.04605872556567192,0.09338450292397661,9
10,0.08668959725703147,0.08603261255191581,0.028354332954483502,0.0496221044110637,0.0548107847571373,0.16063596491228072,9
20,0.14988804366204,0.1496520352578394,0.03313445201437916,0.06835596986113837,0.06134125962853432,0.2565789473684211,9
100,0.35757906866823264,0.35757107341969463,0.039411169837622134,0.11457234430107988,0.06784386932849884,0.5239400584795322,9
