,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.09197054314498466,0.07452052177596366,0.0660344575850489,0.09919263150038327,0.19056887924671173,0.2697109067017083,0
10,0.08540187045032642,0.08151558413914001,0.0569138398868332,0.09107976837446835,0.195123553276062,0.3046977660972405,0
20,0.10360783023223828,0.1031680692243291,0.05655404621834409,0.09610962176255414,0.19970141351222992,0.37631406044678056,0
100,0.19130430898631093,0.19130430898631093,0.059750437158428094,0.123818540831498,0.20499534904956818,0.6013469119579501,0
5,0.09301905387647831,0.0759628111874249,0.06467472441232297,0.0971020324208432,0.1824846714735031,0.26396189224704336,1
10,0.08619304434432555,0.08245149115837364,0.05573784535989166,0.0889982776930602,0.18660616874694824,0.2956636005256242,1
20,0.10323777586178141,0.10280255457079707,0.05539754451160797,0.09380635515894438,0.1911466270685196,0.36662286465177396,1
100,0.19452293580250146,0.19452293580250146,0.058581035833715656,0.12211249495004592,0.19677643477916718,0.6001971090670171,1
5,0.08785589137100307,0.071109285283931,0.06021522302525916,0.09122470952069062,0.17072656750679016,0.2519710906701708,2
10,0.08165347391694304,0.0777019032160675,0.05173742935662852,0.08372642423878067,0.17513492703437805,0.28630091984231276,2
20,0.10018126753665477,0.09970299551397992,0.05141280724456288,0.08899111138716352,0.18000806868076324,0.36136662286465177,2
100,0.19264062807269622,0.19264062807269622,0.05470530733888351,0.1177910323562589,0.18572093546390533,0.5967477003942181,2
5,0.08805573806395092,0.07200871802608147,0.06078533362534677,0.09285661538801976,0.17787449061870575,0.2585413929040736,3
10,0.08341943818701375,0.07970071325859054,0.052859916488131244,0.08629667454189473,0.1826983094215393,0.29632063074901444,3
20,0.10487598382114009,0.1044520483051823,0.05292071297541353,0.09247292215565484,0.18763484060764313,0.3730289093298292,3
100,0.19655672211115147,0.19655672211115147,0.05624742683003963,0.12115137427551248,0.19351421296596527,0.6113666228646518,3
5,0.09029511607533947,0.07448320164758583,0.06291785297123667,0.0937530237112703,0.17349156737327576,0.25246386333771353,4
10,0.08568156456625575,0.0820454770597092,0.05515609214161891,0.08742346814175063,0.17847195267677307,0.2905716162943495,4
20,0.10422767230267166,0.10380805377947869,0.05501974374532929,0.0928317642421013,0.18318143486976624,0.3639947437582129,4
100,0.19111743426301803,0.19111743426301803,0.05820431601859477,0.12025876118643727,0.18866907060146332,0.5908344283837057,4
5,0.09044842312746385,0.07478234372569548,0.06343389545919112,0.0945396413729371,0.1758815199136734,0.2531208935611038,5
10,0.08493093360866029,0.08155414766910137,0.055374119060738136,0.08765800707574048,0.1803017407655716,0.2871222076215506,5
20,0.10376115854821108,0.1033039508577145,0.05542215526778617,0.09334082694623164,0.18508277833461761,0.36136662286465177,5
100,0.19497287495966162,0.19497287495966162,0.05871582407875495,0.12163625761596915,0.1906786859035492,0.5924770039421814,5
5,0.09080431449846692,0.07340833778541307,0.06170909986859396,0.09457408577670956,0.18055464327335358,0.2662614980289093,6
10,0.08470912072669629,0.08099695639832549,0.05286099757102432,0.08670688356653597,0.1850006878376007,0.30059132720105125,6
20,0.10188930336484346,0.10150542385781476,0.05257361059951395,0.0916840800830469,0.18962126970291138,0.3718791064388962,6
100,0.19488825267265586,0.19488825267265586,0.055951607344889694,0.1205765885038937,0.1953393518924713,0.6047963206307491,6
5,0.09336673236968902,0.07665075195427236,0.06518953496860855,0.09806521433382075,0.18549059331417084,0.2685611038107753,7
10,0.08670999937425693,0.08269155748530581,0.05683707518998255,0.09037532771809151,0.1895858198404312,0.2996057818659658,7
20,0.10323741288896184,0.10270648027369216,0.056352163783864366,0.09483922452505267,0.1940383017063141,0.3690867279894875,7
100,0.19253065952275042,0.19253065952275042,0.05945940830453293,0.1225328770301326,0.19951015710830688,0.5983902759526938,7
5,0.08884964958388085,0.07289760714660094,0.061914786830194184,0.09371673584872253,0.17796483635902405,0.26001971090670173,8
10,0.0842003133929875,0.08042719229231045,0.05399142803383582,0.08719051501179859,0.18276900053024292,0.29681340341655715,8
20,0.10380514651805456,0.10326381428099204,0.05388300617392129,0.09290475391670072,0.1875070184469223,0.37155059132720103,8
100,0.19202082408713728,0.19202082408713728,0.05701036815820752,0.12048482485049096,0.1930086463689804,0.6013469119579501,8
5,0.09054424003504162,0.07344785608172384,0.06316720506643304,0.09545713974792089,0.1809050589799881,0.25985545335085414,9
10,0.08474849039484389,0.08066071215177914,0.05454118892197215,0.08821383266886898,0.18551868200302124,0.2961563731931669,9
20,0.10263433379760913,0.10206648846906412,0.054132667122031033,0.09339213572004006,0.19039598107337952,0.3718791064388962,9
100,0.19484447894637014,0.19484447894637014,0.05744123014727956,0.12219264529747183,0.19628825783729553,0.6139947437582128,9
