,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.048632094732543894,0.014021084510511716,0.02616260605235697,0.04644541197453642,0.08626650273799896,0.17027358105349122,0
10,0.04925350159119044,0.023212871071789588,0.020426925326033806,0.045667496493294005,0.09666676819324493,0.24744793793385056,0
20,0.06387924986512646,0.045508707344606866,0.017552897394828355,0.049837338087921734,0.104156993329525,0.36055532870559415,0
100,0.13694306724933084,0.13478624640198433,0.016308421985479316,0.07166515026318468,0.10963539034128189,0.5863617803184974,0
5,0.04997958350347081,0.013752900045664332,0.02911755365001588,0.04829561464753245,0.0843745768070221,0.16129032258064516,1
10,0.05029052998632418,0.02301992328270693,0.022863882191413838,0.04703924370164765,0.09427997469902039,0.23356472029399755,1
20,0.06002167607255044,0.04121969832102496,0.01887166986196984,0.04904509778198548,0.10110851377248764,0.33687219273172725,1
100,0.12889917608283302,0.12702577638856427,0.01695918333322026,0.06973830146141478,0.10647053271532059,0.5467537770518579,1
5,0.046134476657138976,0.010649732897353542,0.026734494805135883,0.04536987714155496,0.08129169046878815,0.15271539403838302,2
10,0.045623254065475384,0.019193376319770923,0.020384506183641883,0.043798591636715206,0.09061246365308762,0.22213148223764803,2
20,0.056316969098675666,0.03823485373070021,0.016553689619870585,0.046086186924688376,0.09738802909851074,0.3250306247447938,2
100,0.12955463019553373,0.127604305886468,0.01483985863244251,0.06762146177303155,0.10328824818134308,0.5671702735810535,2
5,0.05032666394446713,0.014413566899556182,0.028106710221859267,0.049150418942755486,0.09112562984228134,0.1694569211923234,3
10,0.051094226992552845,0.02407097709733165,0.02168309078391425,0.047749925514900655,0.10047752410173416,0.2384646794610045,3
20,0.06285276788868954,0.043613799388785054,0.01825642485422901,0.05047197280792724,0.10706857591867447,0.3389138423846468,3
100,0.13287581301359289,0.13073232074928773,0.01627523235634513,0.0699833784883159,0.11225321888923645,0.5536953858717844,3
5,0.053423165918061795,0.01361749718438306,0.03080509051313461,0.05210639936942409,0.09276575595140457,0.16986525112290732,4
10,0.05363996966691944,0.023323259115215888,0.023484290280091285,0.05022521658532575,0.10163752734661102,0.2351980400163332,4
20,0.05895188509925429,0.03828233632759454,0.01865118937418651,0.05023983596818269,0.10783468931913376,0.32993058391180075,4
100,0.13097893112286588,0.12884445909151343,0.015781407145618792,0.06937848310575682,0.11328825354576111,0.5524703960800327,4
5,0.046073227167551384,0.01223825472162429,0.025097772333378704,0.04483057738239797,0.08365318924188614,0.16088199265006126,5
10,0.045755637221541676,0.020135201747051083,0.019189086104323617,0.04312388045799872,0.09227576106786728,0.2249897917517354,5
20,0.05823276064623706,0.03947293588992806,0.016050194605575233,0.04665281866075641,0.09979098290205002,0.3364638628011433,5
100,0.13074142208591477,0.128369578280203,0.014808128248707697,0.06773068430498205,0.10509568452835083,0.5594120048999591,5
5,0.052021233156390366,0.014529768168955431,0.0292550247266458,0.050040982044780614,0.09059479832649231,0.16700694160881993,6
10,0.05043506581889595,0.022276932911863594,0.022169541719868385,0.04745363521628325,0.09899765253067017,0.23070641077991016,6
20,0.05925417447762765,0.03963638637861672,0.0178695346865837,0.049027758316012124,0.10620477050542831,0.33768885259289505,6
100,0.13014400832495793,0.12802535039116708,0.015382316627051152,0.06865018993038736,0.11209262162446976,0.5716619028174765,6
5,0.053416360419218725,0.014688350632462611,0.029648609409736404,0.05072874604393922,0.08947870135307312,0.17109024091465905,7
10,0.05138070608670854,0.022516389943992344,0.022600296489298802,0.04841065913050589,0.0989077165722847,0.24091465904450796,7
20,0.06113596444707141,0.0413079993973493,0.018614386041178252,0.05012355226153218,0.10512934625148773,0.3344222131482238,7
100,0.13032483932785954,0.12794533077000134,0.016188707156154544,0.06959551908227556,0.11054261773824692,0.5577786851776235,7
5,0.048468762760310334,0.014089246057757089,0.027493534776099088,0.0473827516624878,0.08689941465854645,0.16088199265006126,8
10,0.04927861712263509,0.02295360305661212,0.021633046062064707,0.04616856452764795,0.09552554041147232,0.2245814618211515,8
20,0.05671441379990203,0.03839147493996102,0.01773747470189521,0.04732931152267989,0.10158997774124146,0.3156390363413638,8
100,0.12366508302218183,0.12167277796601077,0.015645178996659695,0.06664928676929059,0.10713117569684982,0.5381788485095957,8
5,0.049435143596025584,0.012726773280587819,0.028776598157978315,0.048754886185973526,0.08836939930915833,0.16292364230298081,9
10,0.04832001399988334,0.02018532473421138,0.021962498370641147,0.046727854881225946,0.09780976921319962,0.231523070641078,9
20,0.05592391437040229,0.037131855979102686,0.017645307303264527,0.0475415555706704,0.10441002994775772,0.3303389138423847,9
100,0.1223932423523088,0.12027379043009014,0.015037999066701125,0.06639994259844632,0.10986532270908356,0.550837076357697,9
