,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.01274617776626069,0.009998675049767695,0.007028141285882928,0.011606561404761784,0.02070268802344799,0.03906452448820938,0
10,0.017833465985513147,0.016827122320300977,0.006863362084922075,0.013421730404399212,0.02383260987699032,0.0643949209639803,0
20,0.03051462955072496,0.03019620407875645,0.007629512277063676,0.017920491687909476,0.026752788573503494,0.10656905934179839,0
100,0.08898903309946858,0.08898398329913504,0.009125682102140674,0.033022379164799304,0.030087517574429512,0.25855143819642395,0
5,0.01259609570700527,0.009653051959371578,0.006516584607411247,0.011226829914089605,0.020259998738765717,0.03977714433791137,1
10,0.017046293554132372,0.015857436847332644,0.006240879315913019,0.012762733240100696,0.023219401016831398,0.0636823011142783,1
20,0.030099441700546375,0.029728694642992635,0.007015864902415694,0.017425172600833646,0.026369871571660042,0.10838300077740347,1
100,0.08884889148243155,0.08884859501500564,0.008501350701916982,0.03268301448120952,0.029639791697263718,0.2590697071780254,1
5,0.01293189081800121,0.009907017441312036,0.007140774812127494,0.01196011355867435,0.0220912154763937,0.04061933143301374,2
10,0.016880632576084766,0.015600729210823979,0.00672111616713907,0.013265242556116167,0.02503727748990059,0.06426535371857994,2
20,0.029422982763862154,0.029068646519534523,0.007394881870970975,0.017616017811837137,0.027948079630732536,0.10630992485099766,2
100,0.08827485795499113,0.08827475913251583,0.008909469202581602,0.032737305461890916,0.031306177377700806,0.2559600932884167,2
5,0.013022587889781462,0.010282953694612896,0.007061702801531772,0.011850671895674956,0.02168847620487213,0.0397123607152112,3
10,0.017464070797188185,0.01632097293611112,0.0067889352673684905,0.013407921052594966,0.02459528110921383,0.06296968126457632,3
20,0.03101722760977954,0.03065640409550657,0.007566077163071775,0.018218220210150012,0.027804836630821228,0.1096786732314071,3
100,0.09129484703318,0.0912847474325129,0.009100832053231405,0.03369728098696121,0.03117320127785206,0.261790619331433,3
5,0.012864947741211023,0.009996133355798183,0.006680019291123204,0.011475847439459197,0.020924029871821404,0.03977714433791137,4
10,0.017669013273444476,0.016447338851433454,0.006419859477891336,0.013179471256791683,0.02413812093436718,0.06594972790878466,4
20,0.03225661631066912,0.03188983150034534,0.007256440919086458,0.018198460777948757,0.02731536701321602,0.11220523451671417,4
100,0.09070836337166976,0.09070321474886091,0.008778197245187956,0.033352600723570935,0.030582180246710777,0.2590697071780254,4
5,0.013449080072557658,0.010298569067628568,0.007084736978491837,0.012011957854128574,0.02134188637137413,0.04191500388701736,5
10,0.018258595655589696,0.01698585605520072,0.006831721757066344,0.013642733789387209,0.024458544328808784,0.0671806167400881,5
20,0.031021896963198486,0.030631999894777787,0.007515842768296301,0.01802400986138005,0.027406813576817513,0.11026172583570873,5
100,0.09087406472260169,0.09086386629945928,0.00903260606715229,0.03341525479075747,0.030820276588201523,0.26334542627623736,5
5,0.01329683855921223,0.01043930750160124,0.007268578503354352,0.01224787234405314,0.02262783981859684,0.04223892200051827,6
10,0.017522993044501205,0.016411545768655954,0.007014504559777901,0.013709410382275555,0.025509042665362358,0.06517232443638249,6
20,0.030657929514681596,0.030374409273229114,0.007806096411286642,0.018299123825365346,0.02845664881169796,0.10779994817310184,6
100,0.08993975226480384,0.0899347024644703,0.009338378480601699,0.033533432332794,0.03181159868836403,0.25777403472402177,6
5,0.01255830526043016,0.009775622315518215,0.007104441997063142,0.011642582137912789,0.021294377744197845,0.03822233739310702,7
10,0.01707400654828745,0.01590643747514849,0.006796285623484179,0.013219790494857532,0.024402784183621407,0.0630344648872765,7
20,0.030963902780123675,0.030619882035918644,0.0075679540528041525,0.01783105533732638,0.027213597670197487,0.10404249805649132,7
100,0.08897520910385442,0.08897511028137912,0.009050245757493174,0.032724065221907225,0.03049536421895027,0.25090697071780255,7
5,0.012956724540036279,0.009941123887107443,0.006894507068613055,0.011847503537113623,0.0220912154763937,0.04120238403731537,8
10,0.017280928524126247,0.016019863857867297,0.0064941398222692565,0.013312558647402292,0.02514355257153511,0.06569059341798393,8
20,0.029559719052697952,0.029171575755908393,0.00713590180288743,0.017588408613292274,0.02801734395325184,0.10779994817310184,8
100,0.08919647172090088,0.08919132309809202,0.008600477397718175,0.032904473615597785,0.031411394476890564,0.26081886499093027,8
5,0.012371512481644642,0.009414630524359546,0.006567277792174139,0.01124643733532485,0.02069512940943241,0.03919409173360974,9
10,0.016008110292575182,0.014769752322534939,0.006181258663524147,0.012537957421818369,0.023657409474253654,0.06271054677377559,9
20,0.0291550094142838,0.028724409828337613,0.006929416520762388,0.017088260185564478,0.026676561683416367,0.10559730500129567,9
100,0.08812878962137442,0.08811859119823201,0.008428206768599622,0.032333065196930584,0.030061734840273857,0.25602487691111686,9
