,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.024013806706114398,0.021484528439137594,0.01708949704142012,0.023068830035541492,0.03500986471772194,0.05029585798816568,0
10,0.030954142011834315,0.030333521737095394,0.016841789353808586,0.025571727196572955,0.03977881371974945,0.08579881656804733,0
20,0.04729091639614063,0.04720253830480395,0.01792153671809452,0.031288127452739574,0.04275183007121086,0.13313609467455623,0
100,0.11797336981797009,0.11797336981797009,0.01980462383695474,0.049692026097584586,0.04678179323673248,0.3210059171597633,0
5,0.02554240631163708,0.022315506088084722,0.016150558842866536,0.02240571783029577,0.030374756082892418,0.05621301775147929,1
10,0.031553489245796935,0.030936772642043583,0.016112681389123695,0.02448848794427462,0.034111134707927704,0.08431952662721894,1
20,0.049484097406278967,0.04942633465620853,0.017232490484973335,0.0302867218460363,0.03668077290058136,0.12721893491124261,1
100,0.13216667584023722,0.13216667584023722,0.019466260971944586,0.05134472801421816,0.041198499500751495,0.32840236686390534,1
5,0.022978303747534515,0.020800243953077963,0.01645627876397107,0.022122906105679258,0.03091716207563877,0.04881656804733728,2
10,0.02814936132243824,0.027703943885624045,0.01601158190100498,0.023618569648021042,0.03347186744213104,0.06804733727810651,2
20,0.05134088386871787,0.05127900972215438,0.017606707123321658,0.030607905182437577,0.03599341958761215,0.10798816568047337,2
100,0.12964032080330945,0.12964032080330945,0.019570835387095017,0.05101531398439106,0.04097573459148407,0.3328402366863905,2
5,0.01876232741617357,0.0157278152139566,0.012781886916502299,0.018465932137441816,0.029783036559820175,0.04585798816568047,3
10,0.022157650042265425,0.02158275087658457,0.011654207171034095,0.0190151798047197,0.03232835605740547,0.06656804733727811,3
20,0.034195882796396654,0.034052031332278916,0.012215152963437621,0.02296044351872821,0.03497452661395073,0.10798816568047337,3
100,0.10052215671836594,0.10052215671836594,0.014124054792450953,0.040804203687844334,0.0390988290309906,0.28994082840236685,3
5,0.023545364891518736,0.02104241220560124,0.016622287968441816,0.02331867658180543,0.036513809114694595,0.05325443786982249,4
10,0.025610500610500606,0.024930314244390857,0.015936824927209544,0.024443652592556247,0.04084131494164467,0.08431952662721894,4
20,0.0344050945421235,0.03431671645078683,0.01651450456164011,0.02757960885273071,0.04231741279363632,0.10650887573964497,4
100,0.11824447782022388,0.11824447782022388,0.018685888761207973,0.04937275771178168,0.04737607389688492,0.33579881656804733,4
5,0.022361932938856015,0.019459184108047388,0.014978221564760027,0.021182966402302224,0.03286489099264145,0.05325443786982249,5
10,0.023053442284211516,0.022558461966940634,0.013897048464356156,0.02113024682905161,0.03517599031329155,0.07100591715976332,5
20,0.03624822388155462,0.036193983250390915,0.01481256286499713,0.025608857953176144,0.037277255207300186,0.10502958579881656,5
100,0.10000675822151124,0.10000675822151124,0.016510586487937157,0.04276448426340556,0.04168197140097618,0.29142011834319526,5
5,0.027736686390532544,0.023922241120933115,0.021272189349112423,0.028829593562391856,0.04391025751829147,0.0621301775147929,6
10,0.032786817882971726,0.03160801975715554,0.019995832159293698,0.030126156668100448,0.048319946974515915,0.09615384615384616,6
20,0.05034547066916266,0.050177714362353104,0.021136735610383567,0.035619799658964044,0.05077705159783363,0.13313609467455623,6
100,0.1181956194766594,0.1181956194766594,0.022628999621175094,0.05236090792340687,0.05430254340171814,0.3121301775147929,6
5,0.01987179487179487,0.017665503464320033,0.01241904996712689,0.01805389719094535,0.02620808780193329,0.04881656804733728,7
10,0.02343207006668545,0.023041946137360336,0.012270886165116936,0.019346225735058238,0.028974123299121857,0.0695266272189349,7
20,0.03888115295289852,0.03869749600333921,0.01339925289160951,0.024684188210723476,0.03194328770041466,0.11242603550295859,7
100,0.12017194965146744,0.12017194965146744,0.015361194773302757,0.04588208888461089,0.03655792400240898,0.3343195266272189,7
5,0.024309664694280083,0.02132671041889354,0.015608974358974358,0.022339965160815003,0.034787967801094055,0.05621301775147929,8
10,0.03341492908800601,0.0328253079751834,0.015297545670141823,0.02553742853120312,0.04012162983417511,0.09615384615384616,8
20,0.04631585390110772,0.046261613269944005,0.016230652591992304,0.0300067857644881,0.04199417680501938,0.1257396449704142,8
100,0.13172195384249077,0.13172195384249077,0.018350148754601135,0.051018989386804894,0.04685481637716293,0.33875739644970415,8
5,0.027366863905325445,0.025802239820458445,0.014344592373438526,0.02140414880586099,0.02877219021320343,0.05621301775147929,9
10,0.034752160232929465,0.03430778342215589,0.014641022705926553,0.024187328731982392,0.03242580220103264,0.08431952662721894,9
20,0.05117889027301982,0.05097235309717792,0.01586890861948707,0.029814972147945488,0.03505268320441246,0.1227810650887574,9
100,0.12908505553878374,0.12908505553878374,0.017923237446369297,0.050015983422623166,0.039968784898519516,0.33727810650887574,9
