,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.019530773918342473,0.0060158335239572395,0.011206073532398945,0.018661119312758767,0.033069267868995667,0.06946983546617916,0
10,0.023722227058607315,0.013419355678816379,0.009261010433694773,0.021071220078446404,0.04184537008404732,0.13528336380255943,0
20,0.0342318621465785,0.02818375438938866,0.008458976036121493,0.02526077966967703,0.04818804934620857,0.22486288848263253,0
100,0.0935128025326004,0.09309809765806093,0.008738446938713389,0.04398999354629867,0.0536525659263134,0.4558196221815966,0
5,0.022212065813528338,0.01004322155771432,0.011953923759225406,0.021608685112178803,0.04145846515893936,0.08226691042047532,1
10,0.026929475832583694,0.01718094702055342,0.010399890455877659,0.024307550927992926,0.05053176358342171,0.15173674588665448,1
20,0.03328241459541656,0.028369257803459648,0.009232807915226559,0.026542608315744683,0.05548843368887901,0.22364411943936624,1
100,0.0957441809148364,0.09496437539474936,0.01047149595603623,0.046836047111467737,0.061167724430561066,0.4728823887873248,1
5,0.024527726995734307,0.008644704300965247,0.013363294738980297,0.023348393450297523,0.04231159761548042,0.08957952468007313,2
10,0.028416180609964887,0.017133603758958605,0.010777265523990082,0.02534298243319123,0.05225931480526924,0.16514320536258378,2
20,0.032832861080522115,0.027379860790167358,0.008974840360054295,0.02679111256655769,0.05706736817955971,0.23339427178549665,2
100,0.0921828384133697,0.09149538825092605,0.009739483645878127,0.04714085784450339,0.06316348165273666,0.49055453991468617,2
5,0.01968312004875076,0.00573354368065702,0.010451960186877917,0.018766747635070385,0.03455210104584694,0.0712979890310786,3
10,0.023408103846860703,0.013033942502909098,0.00825866357782872,0.02067338403051795,0.04345226287841797,0.13833028641072517,3
20,0.033199957425822116,0.026881519265821816,0.0074040936203112395,0.024294566663248297,0.04899244010448456,0.21511273613650214,3
100,0.09211338807570242,0.09127047278887337,0.008073695887041099,0.04411824207984989,0.055639855563640594,0.4942108470444851,3
5,0.017347146049157016,0.006204262917524941,0.008966585415397115,0.017107483182887524,0.03528336435556412,0.0712979890310786,4
10,0.021556493814263465,0.013602289851464708,0.007186644564386795,0.018852308981503897,0.04312000423669815,0.1316270566727605,4
20,0.03258439745328545,0.028174849205808157,0.006854954526386007,0.02269721279296897,0.04772406071424484,0.19865935405240706,4
100,0.08767415446191863,0.08735857288564057,0.00790421207631775,0.04142902739846984,0.05368628352880478,0.44424131627056673,4
5,0.021856591509242337,0.007091759366685155,0.012255399823955583,0.020929079557029197,0.03718261420726776,0.07739183424741011,5
10,0.024779702659044524,0.014816817137640709,0.009815948006710753,0.021915301404239244,0.044071558862924576,0.12979890310786105,5
20,0.03517391804085054,0.0292594781035257,0.008782218023529189,0.025716777404155004,0.04996448755264282,0.21572212065813529,5
100,0.09439580601807337,0.09351726966846705,0.009103899955347204,0.04468615403878796,0.0558299757540226,0.4673979280926264,5
5,0.02108470444850701,0.00796915181162751,0.01075699099465096,0.020244592029293757,0.04018890857696533,0.08348567946374162,6
10,0.027163798690306915,0.017252252940505777,0.009167222850952284,0.02364776777237264,0.05078350007534027,0.16575258988421693,6
20,0.03528195374170607,0.03055286760084522,0.00807606052001199,0.026482098175519116,0.05630461499094963,0.24862888482632542,6
100,0.09908414710724847,0.09832093789968334,0.009182516736825313,0.04731644080349321,0.06215101107954979,0.4948202315661182,6
5,0.027209018890920172,0.011252370640943655,0.015003216196086399,0.0258472513891521,0.047125738114118576,0.09689213893967093,7
10,0.03074901095924862,0.019838153644518665,0.012120902641418588,0.027042066125860607,0.055291734635829926,0.15965874466788543,7
20,0.037029171961196344,0.03172452584863811,0.010294313259115742,0.02896345794119762,0.06084701046347618,0.23948811700182815,7
100,0.09694871989929173,0.09639833854588997,0.01093693556211376,0.0487321890041,0.06646593660116196,0.48567946374162096,7
5,0.021917529961405648,0.008143171873671211,0.011451520075834517,0.02007821917235021,0.03503961116075516,0.07739183424741011,8
10,0.028549664838513098,0.017770238116841097,0.010138974197348155,0.023407672521056747,0.04391244426369667,0.14747105423522242,8
20,0.03641732029051548,0.030105920558582838,0.009234171286267311,0.02668075307462601,0.04947652667760849,0.22851919561243145,8
100,0.09373645654678427,0.09297195991523494,0.009662899764425501,0.04591092307671927,0.05550084263086319,0.47958561852528947,8
5,0.02286207596993703,0.008031394709975244,0.013491773308957953,0.022119750917521618,0.03943733870983124,0.07800121876904327,9
10,0.028155983091997717,0.018242708803188405,0.010819662484805691,0.023711913085902654,0.04694437235593796,0.13589274832419257,9
20,0.03772575345169455,0.032477258158473625,0.009360383512118342,0.026852771730421846,0.05282029137015343,0.22242535039609995,9
100,0.09450911084473185,0.09400318098545687,0.009580822787025227,0.044973828693903116,0.05807081237435341,0.45886654478976235,9
