,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.005555555555555556,0.0044685990338164255,0.004951690821256039,0.008445808487708558,0.023550724610686302,0.025362318840579712,0
10,0.018023924545663678,0.017578370295761602,0.00547304335045881,0.013149221991575677,0.029587935656309128,0.07608695652173914,0
20,0.042451690821256036,0.04203722370586177,0.007192730914402553,0.020696118340639853,0.0323052853345871,0.11956521739130435,0
100,0.0850197144290175,0.08493498317259848,0.008940155227253933,0.03344810310402588,0.03521212562918663,0.2391304347826087,0
5,0.005555555555555556,0.0034683263207106125,0.0031642512077294685,0.006170869678011965,0.014613527804613113,0.025362318840579712,1
10,0.010495744191396365,0.009551962050208893,0.0034384505278225084,0.00804254012355581,0.016787439584732056,0.043478260869565216,1
20,0.027073987807683463,0.02639474295325879,0.004355490748436562,0.013022532411860778,0.019197864457964897,0.08333333333333333,1
100,0.0822182047288355,0.08196401095957837,0.006491631573381816,0.028165711581601457,0.022034447640180588,0.19202898550724637,1
5,0.007729468599033816,0.006418219461697722,0.003985507246376812,0.006892662503558525,0.01388888992369175,0.021739130434782608,2
10,0.023982056590752244,0.023208690056516143,0.005164481251437774,0.011986803761334878,0.017667356878519058,0.05434782608695652,2
20,0.03848343685300207,0.03830741247231173,0.006019534698669397,0.016493631279345108,0.020213741809129715,0.09420289855072464,2
100,0.07807050543911265,0.07807050543911265,0.007516640104769229,0.028275490581686664,0.022735657170414925,0.19927536231884058,2
5,0.010628019323671498,0.00588432084906561,0.006618357487922706,0.012673269010364174,0.03188405930995941,0.050724637681159424,3
10,0.011663216011042098,0.008838497225401873,0.006070278352887049,0.01333938430523069,0.03453531116247177,0.07246376811594203,3
20,0.041537267080745344,0.04007514997064915,0.007710083453594246,0.022088560459104758,0.039496034383773804,0.14855072463768115,3
100,0.09382491387544421,0.09374018261902517,0.009202763788215277,0.03606518504037918,0.04193241521716118,0.2644927536231884,3
5,0.0142512077294686,0.007396497676029942,0.006207729468599034,0.012466152350217143,0.02500000223517418,0.05434782608695652,4
10,0.03156199677938809,0.028192418822582225,0.00662493929402142,0.017078764722368755,0.029503103345632553,0.09420289855072464,4
20,0.04391965723487463,0.04292326048577166,0.006862190469291395,0.020351018322286727,0.031770963221788406,0.13043478260869565,4
100,0.08436519670105616,0.08436519670105616,0.008143114920001058,0.03286452449132589,0.034840453416109085,0.2644927536231884,4
5,0.013285024154589372,0.009249972820178299,0.006497584541062802,0.012163736668285862,0.025241544470191002,0.04710144927536232,5
10,0.018535771796641363,0.01672942432136893,0.00631398090637221,0.015224172949000147,0.03184236213564873,0.10144927536231885,5
20,0.037347596043248214,0.036743870158183194,0.0074067932547511465,0.020996605638235754,0.03484299033880234,0.14855072463768115,5
100,0.11540494043201802,0.11540494043201802,0.01018270894209074,0.041666983307870845,0.03904549404978752,0.3079710144927536,5
5,0.007971014492753625,0.005165200138026225,0.0032850241545893714,0.006295282672205177,0.011594203300774097,0.025362318840579712,6
10,0.011180124223602485,0.009855527110961895,0.0030007923727730494,0.008220049449673953,0.016522889956831932,0.06521739130434782,6
20,0.03812615021854152,0.037721236665192864,0.004703597014342441,0.016330341033029435,0.020099759101867676,0.11956521739130435,6
100,0.11091097452721504,0.110826243270796,0.007255989324841144,0.035238520638076955,0.023641275241971016,0.2608695652173913,6
5,0.012318840579710146,0.010537886574830128,0.00606280193236715,0.010403667630355587,0.020652173087000847,0.03260869565217391,7
10,0.02747296986427421,0.02620874928285974,0.0076696572348746266,0.016267286248184652,0.02555210515856743,0.07246376811594203,7
20,0.054294628479411085,0.05379867124007885,0.009264238494787693,0.024051630055773772,0.028030864894390106,0.11594202898550725,7
100,0.12712630152580043,0.12704157026938137,0.012372944404391876,0.043463774792806484,0.03240788355469704,0.2608695652173913,7
5,0.00676328502415459,0.004322422674360272,0.0036714975845410633,0.0071045902788866,0.015942027792334557,0.028985507246376812,8
10,0.01674718196457327,0.01486059057578203,0.004466362497763464,0.011047067260476499,0.02063492126762867,0.06884057971014493,8
20,0.02628536922015183,0.025157605806043697,0.004833240073439891,0.013982746191377059,0.023120639845728874,0.10869565217391304,8
100,0.06711343437472204,0.06694397186188399,0.006264447862640859,0.02645247918906239,0.02560548484325409,0.2210144927536232,8
5,0.009420289855072464,0.007610852311939268,0.005797101449275362,0.010120846588673708,0.02415459044277668,0.03260869565217391,9
10,0.015136876006441225,0.014612807683459855,0.00574725864580937,0.01214360818243809,0.02736945077776909,0.06159420289855073,9
20,0.037843627789279966,0.03760518505457603,0.007220765996341444,0.019209820163039917,0.03008870780467987,0.10507246376811594,9
100,0.07671046333446671,0.07662573207804767,0.008951820949074802,0.0309710342463952,0.03274233266711235,0.213768115942029,9
