,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.005503634475597093,0.004189612976650189,0.005025960539979232,0.006304725027627112,0.01111111044883728,0.013499480789200415,0
10,0.005885625278148642,0.004544101674894401,0.004579521666749081,0.006389424462629492,0.01266874372959137,0.024922118380062305,0
20,0.00892402651611008,0.008142814806875702,0.004522288863441468,0.007152419583211929,0.013611054979264736,0.04153686396677051,0
100,0.022160248628780823,0.022091094363059074,0.004748766262907855,0.010534211332860123,0.014875384047627449,0.09345794392523364,0
5,0.0053997923156801665,0.0035001645947883935,0.004288681204569055,0.005396790844884056,0.007736240979284048,0.01142263759086189,1
10,0.005548138258418633,0.0038346873618280964,0.0039335575005356935,0.0055604354722626785,0.009376288391649723,0.02284527518172378,1
20,0.01167151699724542,0.010747822114721358,0.0040491016228799545,0.006971611413838202,0.010308295488357544,0.03946002076843198,1
100,0.022815257438750482,0.02274700653541044,0.004139655018406803,0.009789962966765514,0.011480954475700855,0.09449636552440291,1
5,0.010695742471443406,0.008954488588144823,0.010110764970578057,0.012262826831294637,0.02054343931376934,0.02284527518172378,2
10,0.010767443010433666,0.009589047083168213,0.00931538347426198,0.011834259301804389,0.021623071283102036,0.03115264797507788,2
20,0.016593802630086304,0.01599538050297057,0.009463287170709567,0.01314430932913921,0.022368397563695908,0.0446521287642783,2
100,0.029619181069527666,0.029543259842727782,0.009671995642697438,0.016824543194405486,0.023808175697922707,0.11318795430944964,2
5,0.010903426791277258,0.009447245027692158,0.009657320872274142,0.011374465134324063,0.016874350607395172,0.020768431983385256,3
10,0.01164185992846429,0.010370862607868863,0.009122863406352504,0.011504695565810338,0.01886877976357937,0.03426791277258567,3
20,0.015057198026320256,0.014417245956238589,0.009077479038746727,0.012245349066467064,0.019880538806319237,0.05088265835929388,3
100,0.029009443787690756,0.02896682721536246,0.009271918796988889,0.015888850076996055,0.021185871213674545,0.11734164070612668,3
5,0.013291796469366563,0.010947986826532573,0.012035306334371755,0.013537239476992367,0.017393561080098152,0.021806853582554516,4
10,0.014783085265951311,0.012878102701864916,0.011676638810595196,0.014085803088294132,0.01944568194448948,0.036344755970924195,4
20,0.020335332125235004,0.019232541882762598,0.01169147853982277,0.015398606099792397,0.0207075122743845,0.058151609553478714,4
100,0.03322992788402061,0.03314028781258433,0.011830880720780004,0.018774389055058023,0.022232793271541595,0.1256490134994808,4
5,0.005711318795430945,0.004157286468854021,0.004980962270681897,0.006280309915691389,0.01047075167298317,0.013499480789200415,5
10,0.006490134994807892,0.004848779096707733,0.004620069557764262,0.006553501511696717,0.012020142748951912,0.024922118380062305,5
20,0.009922780119316679,0.009054002522831173,0.004579306386424965,0.0073524100315401865,0.013098434545099735,0.04361370716510903,5
100,0.018108209141875706,0.018044805942211407,0.004636430701895611,0.009454967686091546,0.013898417353630066,0.08515057113187954,5
5,0.0060228452751817235,0.004605938827122628,0.004941156109380408,0.006195879100979392,0.009466943331062794,0.012461059190031152,6
10,0.00690962435510722,0.005313831102333869,0.004660947106429973,0.006631775289562911,0.011395441368222237,0.02596053997923157,6
20,0.01067441168229147,0.009764041203104477,0.004700352135522885,0.007478401981751322,0.012090382166206837,0.037383177570093455,6
100,0.025195792273669432,0.025136344027836096,0.004842316773027984,0.010906687099856089,0.013395044952630997,0.09968847352024922,6
5,0.005503634475597092,0.004142412250963116,0.005084804430598823,0.006329140139562836,0.01098996214568615,0.012461059190031152,7
10,0.006701940035273368,0.005069145574362317,0.004718142708796914,0.006837922098217774,0.013190426863729954,0.028037383177570093,7
20,0.010228246715785658,0.00942344056111183,0.004666066756778349,0.007527286672947863,0.013982119038701057,0.04153686396677051,7
100,0.022818983014330926,0.02270812101778359,0.004742693029969081,0.010566608803509866,0.015370432287454605,0.10384215991692627,7
5,0.0033229491173416407,0.0017703318779917641,0.002727587400484597,0.004088594778908771,0.009068882092833519,0.01142263759086189,8
10,0.0038203200975786646,0.0025913094829164494,0.002176811880861725,0.004074064441582736,0.010593549348413944,0.02284527518172378,8
20,0.012383989594453219,0.011588534364665564,0.0024662920239220116,0.006186822398349365,0.011852091178297997,0.04361370716510903,8
100,0.022419410159683188,0.022311760661365438,0.002608465710709736,0.00905971099635681,0.013278232887387276,0.1059190031152648,8
5,0.008722741433021807,0.007488845217608653,0.007602976808584285,0.00861321490712622,0.010730355978012085,0.014537902388369679,9
10,0.009241952232606439,0.007812383197031403,0.007415978506321186,0.008976874879454463,0.012246780097484589,0.02596053997923157,9
20,0.014393337812799056,0.013604103519126607,0.007518022703246026,0.010281482870530403,0.013484027236700058,0.04776739356178609,9
100,0.029676802249297436,0.029620228802776285,0.007730458113287269,0.014161558470638632,0.014814906753599644,0.11630321910695743,9
