,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.12815734989648034,0.0861179360122447,0.0724866287094548,0.12283444124919499,0.2158385068178177,0.40062111801242234,0
10,0.15807145321896873,0.14624848575401764,0.06623999647305437,0.13488621869214312,0.2349908947944641,0.5481366459627329,0
20,0.2640156293083769,0.2619860920095622,0.07628231730017515,0.17697980085237347,0.2468583732843399,0.7251552795031055,0
100,0.6920827374672761,0.6920827374672761,0.10754470663156102,0.3101403216744505,0.2528827488422394,0.9394409937888198,0
5,0.13219461697722565,0.09568845430748832,0.07794340924775707,0.12936469621744395,0.2317805290222168,0.40372670807453415,1
10,0.1814286946662723,0.172411998605199,0.07628129430688771,0.1490910812065313,0.2508718967437744,0.5527950310559007,1
20,0.28577605617385776,0.28534054160790834,0.08602342451195895,0.18912589669710633,0.26329368352890015,0.734472049689441,1
100,0.7318492640718041,0.7318492640718041,0.11741239318518946,0.32410340179239283,0.27016153931617737,0.9658385093167702,1
5,0.14862836438923396,0.10604391153519299,0.08258971704623878,0.1376633695736657,0.23090064525604248,0.43788819875776397,2
10,0.17864044168391996,0.16682304084022348,0.0769283335602472,0.14991889910511394,0.24836835265159607,0.5729813664596274,2
20,0.27818798045107107,0.2771317969206412,0.08528397301647152,0.18778724746461556,0.2598804235458374,0.7406832298136646,2
100,0.7304794017854618,0.7304794017854618,0.11742492379516267,0.3260627099455048,0.2659699320793152,0.9580745341614907,2
5,0.12463768115942028,0.08040847920083165,0.07247843340234644,0.12374547966117819,0.22404247522354126,0.39906832298136646,3
10,0.16773267277925663,0.15420278695017212,0.06827200888406892,0.14142745847408092,0.24600709974765778,0.5652173913043478,3
20,0.2698426730512019,0.2681020926378825,0.0780554460476142,0.18267043477914602,0.25824424624443054,0.7468944099378882,3
100,0.722141503410906,0.722141503410906,0.11119680527997217,0.3217034383222046,0.263694167137146,0.9518633540372671,3
5,0.1474896480331263,0.10754136736279593,0.07900146652864044,0.13662148760251366,0.23643894493579865,0.4440993788819876,4
10,0.18879954155575274,0.17965955858036603,0.07675970110553998,0.15378099881274426,0.25592097640037537,0.5900621118012422,4
20,0.29434458743464953,0.29313743680979704,0.08867325281806283,0.19785376240361582,0.26818808913230896,0.7639751552795031,4
100,0.7311670781197179,0.7311670781197179,0.12102286433559545,0.3323861647520688,0.27371945977211,0.967391304347826,4
5,0.13405797101449277,0.09594022448018794,0.0803161663216011,0.1334299433710224,0.2424948364496231,0.41459627329192544,5
10,0.17684794932465742,0.1653180564103943,0.07837567942118187,0.1517540356718186,0.2619090676307678,0.5652173913043478,5
20,0.29319442674681795,0.2911947101479876,0.08976118687683382,0.19752830988771472,0.2757054567337036,0.7639751552795031,5
100,0.7321205736971765,0.7321205736971765,0.12115342973656001,0.3309160510162332,0.28120899200439453,0.9611801242236024,5
5,0.13392857142857142,0.09398197628385041,0.07764579020013802,0.13034107509685294,0.23328158259391785,0.4083850931677019,6
10,0.17186668145519077,0.16221167627907238,0.07241457402204036,0.1450801275811727,0.25445565581321716,0.5729813664596274,6
20,0.27915424639742226,0.27720903356181403,0.08329824437613814,0.1873871691092796,0.2664673626422882,0.7515527950310559,6
100,0.7106475515345733,0.7106475515345733,0.11456216225900948,0.3202107452662165,0.2717602550983429,0.9456521739130435,6
5,0.1569616977225673,0.11055391259387903,0.08974206349206348,0.14898065023773654,0.2605072259902954,0.44875776397515527,7
10,0.19152987281869271,0.1795383144127447,0.08289409264971229,0.1609888502637251,0.2794063985347748,0.593167701863354,7
20,0.29492263207096964,0.2933930654792913,0.09384223531068264,0.20250497469685821,0.2896650433540344,0.7453416149068323,7
100,0.7165592775887495,0.7165592775887495,0.12579140689097346,0.33414374366311433,0.29508495330810547,0.9472049689440993,7
5,0.1346014492753623,0.09019112318445893,0.07854943064182196,0.13208267339967572,0.23615425825119019,0.41770186335403725,8
10,0.1764270925761609,0.16247199199864806,0.07288691038584746,0.1479377742138394,0.258271723985672,0.5869565217391305,8
20,0.2777668363529396,0.2746970635569889,0.08238067764164245,0.18898586621166663,0.2705784738063812,0.7670807453416149,8
100,0.7028122585437891,0.7028122585437891,0.11479736011368076,0.32233806145114274,0.27583548426628113,0.9472049689440993,8
5,0.13530020703933748,0.09297549592951904,0.07705184610075914,0.1318481832098374,0.2389492690563202,0.42080745341614906,9
10,0.17877168983535444,0.16496760781879563,0.0740983594812436,0.15070320334825593,0.26118138432502747,0.59472049689441,9
20,0.2948032441841693,0.2925971062580647,0.0856507679074255,0.19636277007999073,0.2737429738044739,0.7795031055900621,9
100,0.7361431621932922,0.7361431621932922,0.12017093981465753,0.3358307287827985,0.27894556522369385,0.9611801242236024,9
