,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.013765985973597359,0.009039024689139037,0.007048124083241657,0.012874141219288964,0.0247481781989336,0.04857673267326733,0
10,0.018203587471842423,0.016540928590220463,0.006324611531123115,0.014153756229007506,0.027990063652396202,0.07446369636963697,0
20,0.024724726520969298,0.02430793410462418,0.006374931293856288,0.01613614682011349,0.02962796948850155,0.10019595709570957,0
100,0.048608731993407296,0.04859504564473216,0.007023647540772735,0.022826580222861968,0.031206442043185234,0.1686262376237624,0
5,0.013836461771177118,0.00931240241114308,0.006892475705903924,0.012733486698042286,0.02422047033905983,0.04919554455445545,1
10,0.018968896517627953,0.017249920975664784,0.006386021396186057,0.014324371878646908,0.027506640180945396,0.07544348184818482,1
20,0.025567210952030996,0.025071309918778262,0.006453757639054672,0.01639390254720937,0.029301753267645836,0.10354785478547855,1
100,0.048771997197663015,0.048738252671523194,0.00705242099062647,0.022885489814506128,0.030903378501534462,0.17135932343234322,1
5,0.013521039603960398,0.00914351130736755,0.0068087785341034105,0.012449844613973077,0.023528603836894035,0.04749381188118812,2
10,0.018477714586934885,0.01683952926716039,0.006310078699403151,0.014067365442696591,0.026852529495954514,0.07405115511551155,2
20,0.02503602188424821,0.024607442899038524,0.006432443803512596,0.016227409598863735,0.028648806735873222,0.1016914191419142,2
100,0.04676269076762636,0.04674132360809323,0.007025038554780926,0.022505871895075462,0.030151858925819397,0.16733704620462045,2
5,0.014629744224422443,0.009905427312503583,0.007124859621378803,0.013330145200280924,0.025244949385523796,0.052805280528052806,3
10,0.018841553054114935,0.017094448098135036,0.006458635655055018,0.014572364465710015,0.028485216200351715,0.07889851485148515,3
20,0.02548922538462127,0.02504750536462633,0.006528488465244865,0.016628125913902198,0.0302167609333992,0.10648721122112212,3
100,0.048838378165164995,0.048807962796504185,0.007169606641272216,0.023330947447974433,0.03183817118406296,0.1762582508250825,3
5,0.014145867711771176,0.00946809919967411,0.007287483956729007,0.013209348407417788,0.02532229945063591,0.05038160066006601,4
10,0.0190438128634292,0.01734847973411786,0.006730066300753281,0.014700399803785087,0.02859674207866192,0.07673267326732673,4
20,0.025783433782403546,0.025353875598805083,0.006821254412393839,0.0167969649562736,0.030308326706290245,0.10370255775577558,4
100,0.049976286193140804,0.04996343362531267,0.007475422959408599,0.023578885894844352,0.03191819041967392,0.1745565181518152,4
5,0.013565731573157316,0.00878624792636446,0.006846652113127979,0.012680954155537721,0.02451440505683422,0.04914397689768977,5
10,0.018486657073445437,0.016702951753610383,0.006260086964650027,0.014230601622535595,0.027919240295886993,0.076371699669967,5
20,0.024863112026854584,0.02439064567927198,0.006296685900665691,0.01625465264568245,0.029773319140076637,0.10524958745874588,5
100,0.048520913196461304,0.048496578785971654,0.006935185999749604,0.02294402477686893,0.031379975378513336,0.17362830033003301,5
5,0.0147638201320132,0.010108671004447699,0.007162389416024936,0.013248280097060866,0.024979373440146446,0.0510519801980198,6
10,0.020081550565770864,0.018419533745521077,0.006654100168555687,0.014914110049519931,0.02835443615913391,0.07781559405940594,6
20,0.026831534655541587,0.026425653256733277,0.006744830609462757,0.017053642396004595,0.03011743165552616,0.10524958745874588,6
100,0.05083879962975993,0.05080624910012897,0.007381418011526555,0.023727066182356683,0.031661033630371094,0.17223597359735973,6
5,0.014785306655665565,0.010177131448944202,0.007176656467730106,0.013298384921098463,0.025055866688489914,0.05156765676567657,7
10,0.01988432474199801,0.018204197384566415,0.006613490606371201,0.014839673690999443,0.028327731415629387,0.07802186468646864,7
20,0.026219127756003578,0.02576055511449314,0.006671647695316001,0.016818968847786303,0.02998865768313408,0.10416666666666667,7
100,0.04986413793064389,0.04983774412590103,0.007275880459251706,0.023436611839580276,0.031588464975357056,0.17398927392739275,7
5,0.014443241199119914,0.009798017346454293,0.007134242070040338,0.012959010045934827,0.023977242410182953,0.04883457095709571,8
10,0.01903390859919325,0.01730474948836899,0.0064846897621427865,0.014318452779664715,0.02716844156384468,0.07441212871287128,8
20,0.025922405011921754,0.02546432512084292,0.0065654270791697805,0.016435780613348536,0.02894008345901966,0.10200082508250825,8
100,0.05090720277058696,0.05086912168451611,0.007240070687107404,0.023423611069477265,0.03061007149517536,0.17414397689768976,8
5,0.014927977172717273,0.010059118234174285,0.007529078428676201,0.013668550540999707,0.025941109284758568,0.05110354785478548,9
10,0.01983656326942218,0.017966703399887478,0.006829048657416762,0.015088876163952667,0.02933512255549431,0.07889851485148515,9
20,0.02708105580643983,0.02658323171026938,0.0068939213327066234,0.01726421906472594,0.031086666509509087,0.10653877887788779,9
100,0.05030389332042407,0.05027735629024391,0.007498653966925761,0.023817621355749916,0.03263545408844948,0.17373143564356436,9
