,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.013027656477438138,0.0006962604752155058,0.005651382823871908,0.012205545132390689,0.02502729371190071,0.05877001455604076,0
10,0.01494268558951965,0.002034960597843075,0.0042781167689055245,0.01371681729974535,0.03265080600976944,0.11735807860262008,0
20,0.01781207562548397,0.004202856321487366,0.003388390187393635,0.015894920661432565,0.039702143520116806,0.22088791848617176,0
100,0.028344404794723346,0.021526108073729636,0.0025253825271764553,0.023760446701939567,0.048496272414922714,0.5729621542940321,0
5,0.011899563318777293,0.0006662798438004817,0.005243207180980106,0.011019535883143769,0.021667273715138435,0.05112809315866084,1
10,0.014204269771955361,0.0017172366538479617,0.004043019743074328,0.01284107412790497,0.029526814818382263,0.11117176128093159,1
20,0.017038912693478243,0.0037932446589966184,0.0032092427655187063,0.015090292793184726,0.03657589852809906,0.21688500727802038,1
100,0.028049121330551537,0.021666341012780605,0.002358745020409487,0.023197604532875005,0.04541054368019104,0.5806040756914119,1
5,0.011863173216885008,0.0007689656025144097,0.005308102862688015,0.011058128188791073,0.021834062412381172,0.05112809315866084,2
10,0.014737991266375546,0.001978004113651207,0.004208962939858136,0.013241490346405387,0.029752878472208977,0.11280931586608442,2
20,0.017491245541296576,0.004234174876534818,0.0033565020331734786,0.0154748448335112,0.03700485825538635,0.21943231441048036,2
100,0.0278960644733652,0.021821799710392616,0.0024605439920173102,0.023141486724711932,0.04564478620886803,0.5769650655021834,2
5,0.013609898107714704,0.0006954757731479221,0.00623605046094129,0.012909321440948737,0.025745997205376625,0.0584061135371179,3
10,0.015853954391072293,0.002029991596232672,0.004699514509831104,0.014569066040467602,0.03396785259246826,0.1215429403202329,3
20,0.01843290525561842,0.004093958841656949,0.003729463990064438,0.016581606529125367,0.040881089866161346,0.22379912663755458,3
100,0.028711882636616066,0.021832147801159715,0.00262133942259281,0.02411059008949366,0.04955753684043884,0.5849708879184862,3
5,0.013609898107714704,0.0007453339852710865,0.006274866569626394,0.012897351012149116,0.025451842695474625,0.057678311499272196,4
10,0.015961608442503637,0.001724360186722431,0.004743050862387653,0.014766459146572555,0.034171171486377716,0.12536390101892286,4
20,0.018554831482809498,0.0038347183228908317,0.00372195562609693,0.016912733447320274,0.04135846346616745,0.23107714701601165,4
100,0.02829174022784632,0.02153273826909191,0.0025739565871863907,0.023993887595305085,0.049811240285634995,0.5796943231441049,4
5,0.012336244541484718,0.0006659502231634188,0.005090368753032508,0.011147881134613414,0.02184922620654106,0.05549490538573508,5
10,0.014816836487142165,0.0018821645595745611,0.003967062625632495,0.013196001727144442,0.030305733904242516,0.12136098981077147,5
20,0.017885531376513844,0.004456679249916902,0.0032049143481916436,0.015501196690698778,0.03741980344057083,0.22780203784570596,5
100,0.02852126658684686,0.022271379416827115,0.0023530684692420127,0.023396439123631787,0.04606635123491287,0.5826055312954876,5
5,0.01270014556040757,0.000674968681536185,0.005448811256671519,0.011684996727800632,0.02313804067671299,0.05658660844250364,6
10,0.014918425521591462,0.0016978791295726484,0.004217675986576096,0.013558665050281086,0.031164510175585747,0.11790393013100436,6
20,0.017515384619211326,0.003722209349306171,0.0034039039342789314,0.015742350563306386,0.037995219230651855,0.2170669577874818,6
100,0.027564123888529597,0.02072049824836097,0.0024680274297479415,0.023213616645833123,0.04642128944396973,0.5660480349344978,6
5,0.011863173216885008,0.00078044964675252,0.005013343037360504,0.010944338681058095,0.022034207358956337,0.05312954876273653,7
10,0.01437863901018923,0.0017208602785867557,0.0039682593834477016,0.01301529327816458,0.029920171946287155,0.11353711790393013,7
20,0.01740576054509971,0.00403663352895624,0.0032004890251767166,0.015425929572323983,0.037356555461883545,0.22234352256186318,7
100,0.028815060437882144,0.02222368260443476,0.0023945763578102244,0.02382811891083206,0.04631489887833595,0.585334788937409,7
5,0.013064046579330425,0.0006718313877474993,0.00590429403202329,0.012394000158090241,0.025312349200248718,0.05749636098981077,8
10,0.015483988355167393,0.0016203526155417873,0.004483556583720339,0.014269468845782859,0.03382481634616852,0.12372634643377002,8
20,0.017837388615573484,0.0037400025034061033,0.0034286211471965897,0.01620966780393501,0.04107633978128433,0.23089519650655022,8
100,0.0283968030182126,0.0214355689907132,0.0024580466675987677,0.023914246931053738,0.04956881329417229,0.5773289665211062,8
5,0.012809315866084426,0.0007110720806634139,0.0054112081513828245,0.011624084132230338,0.02275291085243225,0.05604075691411936,9
10,0.015482472100921883,0.0019503079892547878,0.004372492765301171,0.01378386900073969,0.030699817463755608,0.11754002911208151,9
20,0.018389591773414964,0.003926761209241925,0.003554861357971965,0.01629431543552589,0.03820643573999405,0.2287117903930131,9
100,0.028401604526792502,0.021608603487491388,0.0025807638585557654,0.023989303432599317,0.04700787737965584,0.5887918486171762,9
