,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.08936170212765958,0.007065705980393311,0.04824468085106382,0.08824175172680827,0.16731677949428558,0.3271276595744681,0
10,0.09095744680851063,0.014587031422959628,0.03675222334796802,0.08979633264555009,0.18912354111671448,0.49113475177304966,0
20,0.09279698581560283,0.030232771535806287,0.02884305794750491,0.09135829604045385,0.1998429298400879,0.6480496453900709,0
100,0.21601893550992643,0.2141837451300675,0.04436206435774549,0.1710501855961802,0.20714840292930603,0.9237588652482269,0
5,0.08705673758865248,0.006975031543831042,0.045153664302600476,0.08485781699609067,0.16109634935855865,0.325354609929078,1
10,0.08838652482269503,0.01403350509336265,0.034712864460204884,0.08666265012848354,0.18229728937149048,0.48315602836879434,1
20,0.08940602836879433,0.028195828350155654,0.027504163891877154,0.08795492707112909,0.19261600077152252,0.6276595744680851,1
100,0.20953072922377375,0.2070939363167672,0.040586429395510645,0.16484344762086975,0.20058569312095642,0.9264184397163121,1
5,0.0898936170212766,0.007134811767764325,0.04563829787234043,0.08721095101996243,0.1669473946094513,0.34308510638297873,2
10,0.09317375886524822,0.014932330934952812,0.036172358718901274,0.09041868596112669,0.18908025324344635,0.5132978723404256,2
20,0.0945921985815603,0.030160369341970156,0.028645794433147867,0.09229136333284682,0.19933868944644928,0.6640070921985816,2
100,0.21271936850806938,0.2104565734137567,0.042054441695623404,0.16881030323317,0.20630589127540588,0.9219858156028369,2
5,0.08563829787234042,0.0069101819469661475,0.04693853427895981,0.08521385160357428,0.16170212626457214,0.3173758865248227,3
10,0.09086879432624113,0.014480717538922539,0.03741331757289204,0.08907258628654663,0.18281690776348114,0.4769503546099291,3
20,0.09288563829787233,0.029926830750847653,0.02951125191288162,0.09107485826751023,0.19512319564819336,0.6560283687943262,3
100,0.21244669997872673,0.21044408555706,0.041792509923046194,0.16709763865775074,0.202034130692482,0.9122340425531915,3
5,0.08120567375886524,0.006489883774935964,0.04111702127659575,0.07910451127667247,0.1528516560792923,0.31382978723404253,4
10,0.08386524822695035,0.013455235560027003,0.03257039429246877,0.0816786712202206,0.1727854609489441,0.46365248226950356,4
20,0.08714539007092198,0.027927370800541234,0.026161842042450412,0.08475959638779981,0.1845380663871765,0.6347517730496454,4
100,0.2083996602309881,0.2061899603851167,0.04083080664227983,0.16340504828611094,0.19196376204490662,0.9078014184397163,4
5,0.08439716312056736,0.0066822768353754875,0.04344562647754137,0.08292427227811759,0.16190898418426514,0.3280141843971631,5
10,0.0850177304964539,0.013898935163548417,0.0336682427107959,0.0838671458356152,0.18028467893600464,0.46631205673758863,5
20,0.09106826241134751,0.030024242947815617,0.02760401230835594,0.08847121009595377,0.1914374679327011,0.625,5
100,0.2095861321215984,0.20723792693422946,0.041718504827141824,0.16444930296798752,0.1988639384508133,0.9051418439716312,5
5,0.08776595744680851,0.007046553632385033,0.04327127659574468,0.08360571121195501,0.15715131163597107,0.33599290780141844,6
10,0.09033687943262411,0.014430013969901649,0.034470231059326804,0.0869746689653758,0.17782385647296906,0.49024822695035464,6
20,0.09463652482269504,0.03055423397446505,0.02796720345809771,0.0911573956403561,0.1892906278371811,0.6560283687943262,6
100,0.21358322072947836,0.2107805632607334,0.041999422910621934,0.16801893094743847,0.19645573198795319,0.9281914893617021,6
5,0.08386524822695035,0.006633094738812948,0.04439716312056737,0.08288810239837258,0.16056442260742188,0.31560283687943264,7
10,0.08891843971631207,0.0142893931523226,0.035474607396149944,0.08680859385796659,0.18166686594486237,0.47429078014184395,7
20,0.09118892828999212,0.0295634518361162,0.02833733489991724,0.0890834827476961,0.19211101531982422,0.625,7
100,0.20687814329201112,0.20497148060995427,0.04064482669302261,0.1634816418795379,0.1999579668045044,0.9273049645390071,7
5,0.08262411347517731,0.006839394209236692,0.041725768321513,0.07953522169352994,0.15088653564453125,0.31560283687943264,8
10,0.08537234042553192,0.01386383604905723,0.03331074805808849,0.08261556623178387,0.17118091881275177,0.4671985815602837,8
20,0.08686219464144997,0.028304114610275013,0.026123143506318818,0.08455342547956914,0.18295086920261383,0.6365248226950354,8
100,0.21336843317441456,0.21076149736527663,0.041614241000709866,0.165897064555153,0.19045059382915497,0.9317375886524822,8
5,0.08439716312056737,0.006674939909645517,0.04382978723404255,0.0821905282731534,0.15543736517429352,0.3191489361702128,9
10,0.08767730496453902,0.014282323783662286,0.03406088174040302,0.08522268718664529,0.17785200476646423,0.48847517730496454,9
20,0.08829787234042552,0.028541788699109956,0.026895036229658865,0.08652177245062777,0.18756501376628876,0.6294326241134752,9
100,0.20886026208084402,0.20631349074478414,0.040911317806256814,0.1636280982037317,0.1949421465396881,0.9157801418439716,9
