,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0022228270731264746,0.0008060152126883751,0.0010560696788241698,0.0019808164882052916,0.0033478501718491316,0.008165487207403375,0
10,0.004709412344142882,0.003931614087541093,0.0010794644477279207,0.002780207834596311,0.004438093863427639,0.01633097441480675,0
20,0.007900688194645735,0.007193060443699061,0.0011786684589860958,0.0037926106422992746,0.005167141556739807,0.0261295590636908,0
100,0.03415641663641089,0.033897183942959354,0.001894833026295112,0.010030589586131134,0.0067240470089018345,0.08056614044637997,0
5,0.002821629468336055,0.0019865135211022313,0.0009217927780802034,0.0018257191057842442,0.0023861369118094444,0.007621121393576484,1
10,0.0053717240842989355,0.004885281117746801,0.0012027028194692866,0.0028079221962318797,0.003217807039618492,0.0130647795318454,1
20,0.00806592246439824,0.007661270693695801,0.0013158378779570957,0.003550415901223406,0.0035827846731990576,0.018508437670114317,1
100,0.03092084505919474,0.030755461505252067,0.001909604493302842,0.00922029289655828,0.005157449748367071,0.07675557974959173,1
5,0.001905280348394121,0.0010183345764502283,0.0005352930502631101,0.0012934256249311049,0.002059517428278923,0.007076755579749592,2
10,0.005471524483500532,0.004857834260467773,0.001033042140826572,0.0025722639609382526,0.0028548964764922857,0.012520413718018509,2
20,0.008712013203031166,0.008164743454247086,0.0012304981240948314,0.0036107955932755827,0.0034731959458440542,0.021774632553075667,2
100,0.03896919445701245,0.03874558823230321,0.0020042272586913577,0.01079103263616519,0.005341934040188789,0.09036472509526401,2
5,0.00296679368535656,0.0020052549360976037,0.0009726002540373799,0.0019781882542768974,0.002767192665487528,0.008709853021230268,3
10,0.005675661663685615,0.004950633026014203,0.0012340038537643327,0.00297223259087692,0.0037485635839402676,0.015786608600979857,3
20,0.007273980178171795,0.006701192811295473,0.0012318427508614261,0.003452314470949235,0.0041847825050354,0.02286336418072945,3
100,0.03148211756765216,0.031375770884906055,0.001839532192988903,0.009427149398388446,0.005794811528176069,0.08383233532934131,3
5,0.0026401741970604243,0.001959543739174908,0.0009272364362184723,0.0018837582358383655,0.0028125569224357605,0.008165487207403375,4
10,0.0074688285766130085,0.007056053213136375,0.0015097294588312551,0.0036760417718803254,0.004197665024548769,0.017964071856287425,4
20,0.009186605144688977,0.008777114624852105,0.0015658085353278416,0.004159262884763626,0.004480208270251751,0.02231899836690256,4
100,0.035842753885097105,0.03570756754384306,0.0021599227822919433,0.010232483866207297,0.006046549417078495,0.08111050626020685,4
5,0.0010252222827073125,0.0006934183580890168,0.00027218290691344586,0.0007244020756244894,0.0011703865602612495,0.004354926510615134,5
10,0.004985483578297949,0.00451903829155224,0.0008900381056069677,0.002304436408965488,0.0022833123803138733,0.011976047904191617,5
20,0.00792533390519237,0.007570924706986252,0.001097354233069855,0.003243146118588148,0.002832054393365979,0.020141535111594992,5
100,0.03167744976604512,0.03162744631707688,0.0016622170335816614,0.008909187631310416,0.004426123574376106,0.08165487207403375,5
5,0.0028307022318998366,0.0017842719092424602,0.001108691707494103,0.0018426019197648638,0.0021683904342353344,0.005443658138268917,6
10,0.004736630634834227,0.003992669573951348,0.001141310452687698,0.002542873988904415,0.0029864513780921698,0.011431682090364725,6
20,0.006339485531102296,0.005766134844470738,0.0011297755546985767,0.0030375004948247878,0.0034359588753432035,0.018508437670114317,6
100,0.03491761738702876,0.03480330933728157,0.0018404942787213555,0.009844891517892576,0.005281298886984587,0.08600979858464888,6
5,0.0029123571039738703,0.0010995542674425353,0.001388132825258574,0.0024168884951490336,0.003665396710857749,0.008709853021230268,7
10,0.004050340876688182,0.0029007064041304963,0.001170429703363835,0.0028689283723207083,0.0046724737621843815,0.015786608600979857,7
20,0.0062081464776075545,0.00538728256764055,0.001120242379501233,0.0033566589346013774,0.005064551718533039,0.021774632553075667,7
100,0.032486270614770316,0.03223503688255581,0.0016034149646707249,0.009511080697970483,0.006712916307151318,0.08655416439847577,7
5,0.002222827073126474,0.0013452864408499464,0.0007729994556341862,0.0015730353650974958,0.00229540909640491,0.007076755579749592,8
10,0.006225859968374939,0.005670446252261101,0.0012027676249233136,0.003020744356250812,0.0034234561026096344,0.015242242787152967,8
20,0.011382213927124107,0.010913200860229353,0.0014997272023235576,0.004502850581864664,0.00410523870959878,0.02558519324986391,8
100,0.0446101641722203,0.044468995937284206,0.0024357108690245175,0.012239335263277971,0.005875186529010534,0.09036472509526401,8
5,0.0014062783523861367,0.0004247217000231681,0.000765741244783161,0.0012810125556555808,0.0019687898457050323,0.004354926510615134,9
10,0.00522007932187573,0.0044388593483482616,0.0011111975183831471,0.0027741278099046125,0.0036366661079227924,0.015786608600979857,9
20,0.006073194029100398,0.005404657342504373,0.001045348796022512,0.003072491738966635,0.003923027776181698,0.020685900925421885,9
100,0.029192339424725194,0.029033634373733328,0.0015605830683491548,0.0086147162526537,0.005479519721120596,0.07675557974959173,9
