,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0031767404747656096,0.0028111541401831313,0.0015358318372232194,0.002582941345925002,0.004320267587900162,0.00864751645721125,0
10,0.004475874630722027,0.004346481706862763,0.0015982974076546859,0.0030481648672619046,0.004908523056656122,0.013285457809694794,0
20,0.008983676495421885,0.008935620611109378,0.001895397809534039,0.004521885214309785,0.0057823434472084045,0.02609216038300419,0
100,0.02613854539139101,0.02613743793780297,0.0023038691029049125,0.008669602687144942,0.0067461756989359856,0.07076600837821663,0
5,0.0028979652902453618,0.0024916197085307137,0.0016011287319635614,0.00259414323457786,0.004556154366582632,0.00819868342309994,1
10,0.004084249997625222,0.00393582912796521,0.0016342154954940285,0.0030002419940896724,0.005107601638883352,0.012447636146020347,1
20,0.008484307288921097,0.00842626619754024,0.0019119433785608302,0.004452962523412929,0.006027394440025091,0.026152004787552363,1
100,0.02492549937809615,0.024924224129229348,0.002303690585064733,0.008450617306193219,0.006966627202928066,0.06938958707360862,1
5,0.0029443447037701973,0.002482599824534584,0.0015149694128598977,0.0025696331481663073,0.004534709732979536,0.008856971873129862,2
10,0.004198500565197155,0.004016921960884608,0.0015603222343750541,0.0030501465915624727,0.005228263791650534,0.014302812687013763,2
20,0.008584127581006592,0.008510501853509983,0.00184437171343982,0.0045154913954664035,0.006128485780209303,0.02767803710353082,2
100,0.026018580824908922,0.02601711956543821,0.0022574081380186332,0.00874033668984457,0.007114107720553875,0.07351885098743267,2
5,0.0034275882704967084,0.003053562592136343,0.0018015991754770928,0.0028711646163843496,0.004655396565794945,0.00909634949132256,3
10,0.004608244754115491,0.004464201415655742,0.0018577961896574574,0.0033032810137786825,0.005226625129580498,0.013524835427887492,3
20,0.009050204852869085,0.008992877013511934,0.00214195463853107,0.004759587284283435,0.006117404438555241,0.026810293237582286,3
100,0.02749369927694008,0.02749261717815624,0.00258225579783446,0.009119284252807875,0.0071085477247834206,0.07259126271693597,3
5,0.0031433273488928786,0.0026790249802069433,0.001681777378815081,0.0027930897923894465,0.0049212053418159485,0.009245960502692998,4
10,0.00418026227047771,0.003984460023328363,0.0016858082392808178,0.003163851439256794,0.0055159213952720165,0.013883901855176541,4
20,0.008264534553015384,0.008204836377334717,0.0019310196098248388,0.004501071136350048,0.006372672505676746,0.02666068222621185,4
100,0.025738237047761833,0.025737272476017203,0.0023417601901127728,0.008695159215117992,0.007325380574911833,0.07124476361460204,4
5,0.003286953919808498,0.00285156586522026,0.001611892413059379,0.0027548426070182117,0.004766108468174934,0.009275882704967086,5
10,0.004987853010743495,0.0048015752038546924,0.001717898255729359,0.00336545944002776,0.005471025127917528,0.014781567923399162,5
20,0.008955092794334835,0.008875271334338098,0.001973599322052949,0.004693193337082211,0.006293240934610367,0.02698982645122681,5
100,0.02613976666432519,0.026138801011649882,0.0023832403751022167,0.00887670323931801,0.007278503384441137,0.07229204069419509,5
5,0.0030390983443048074,0.0026838074042815404,0.0016014445774320098,0.002623744305430536,0.004536704625934362,0.008557749850388988,6
10,0.004358750581820599,0.004211870731172625,0.0016689681940333817,0.0031028453149403975,0.005131087731570005,0.013195691202872532,6
20,0.008774152660226886,0.008720007306078551,0.0019493534050117733,0.004553326652148937,0.006034893449395895,0.026600837821663673,6
100,0.026972792481931608,0.026972371742580735,0.0023908773456631062,0.008942522362606405,0.007054570131003857,0.07336923997606223,6
5,0.0032819668860961503,0.002887556645574108,0.001663109249285192,0.0027447127529957776,0.004583084024488926,0.009216038300418911,7
10,0.004810195871685997,0.0046554139566071535,0.0017770836405466722,0.0033255823472594236,0.005264170467853546,0.014542190305206463,7
20,0.008913766888793431,0.00885945649607314,0.002051215848136329,0.004690870523271774,0.006088619586080313,0.026840215439856374,7
100,0.02680453244076608,0.026804072395312527,0.002485751971068908,0.009062092325111121,0.007099391892552376,0.07393776181926989,7
5,0.002936864153201675,0.0025847515434373023,0.001492137110180198,0.0024966300786189183,0.004280371125787497,0.008378216636744464,8
10,0.004318961177129939,0.004145670381171278,0.0015844452901292618,0.0030420924788494234,0.004970742855221033,0.013794135248354279,8
20,0.008979424895183242,0.008921195762403682,0.0018983507877702885,0.004577126426229427,0.005897219758480787,0.027498503889886297,8
100,0.027317813635634965,0.02731606893065584,0.0023274205828360296,0.008926689719977546,0.006874626502394676,0.07321962896469181,8
5,0.002931877119489328,0.002534226339653736,0.0015306286987166703,0.0024993057758774073,0.004267903510481119,0.008108916816277678,9
10,0.004003163204240403,0.003835571032676666,0.001540341173040797,0.0028619086144669186,0.004810267128050327,0.012477558348294435,9
20,0.008401019724215638,0.008338944759692563,0.0018282697003857153,0.004345124658430047,0.005724197719246149,0.026032315978456014,9
100,0.025332801668088926,0.025331960794606437,0.0022324279394508447,0.008463000613105053,0.006684004329144955,0.07064631956912029,9
