,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0,0.0,0.0,0.0,0.0,0.0,0
10,0.0005620503597122302,0.0005620503597122302,6.744604316546762e-05,0.00028724750646100716,0.00031474820571020246,0.002697841726618705,0
20,0.0011116107114308553,0.0011116107114308553,0.00011358138369687025,0.0005320064465429692,0.0005255843279883265,0.00539568345323741,0
100,0.006722726214632688,0.006722726214632688,0.0002796515883201743,0.0019192367427191288,0.000960092875175178,0.023381294964028777,0
5,0.0,0.0,0.0,0.0,0.0,0.0,1
10,0.0005620503597122302,0.0005620503597122302,6.744604316546762e-05,0.00028724750646100716,0.00031474820571020246,0.002697841726618705,1
20,0.0012115307753796964,0.0012115307753796964,0.00011569599675430801,0.0005751933141550801,0.0005603375029750168,0.006294964028776978,1
100,0.01004655067155067,0.01004655067155067,0.00028163243411098314,0.0025012683560599177,0.0010620160028338432,0.029676258992805755,1
5,0.0,0.0,0.0,0.0,0.0,0.0,2
10,0.00011241007194244605,0.00011241007194244605,1.1241007194244605e-05,6.575255255747298e-05,8.992805669549853e-05,0.0008992805755395684,2
20,0.00033723021582733815,0.00033723021582733815,2.8534864416159378e-05,0.0001579586124659459,0.00015910349611658603,0.0017985611510791368,2
100,0.010957305584104146,0.010957305584104146,0.0002703770374742928,0.002429051120781291,0.0007260414422489703,0.023381294964028777,2
5,0.0,0.0,0.0,0.0,0.0,0.0,3
10,0.0004496402877697842,0.0004496402877697842,5.6205035971223025e-05,0.00022149495390353416,0.00022482014901470393,0.0017985611510791368,3
20,0.0008743005595523582,0.0008743005595523582,8.401679466143684e-05,0.000411514717471499,0.00038865668466314673,0.0044964028776978415,3
100,0.009792166266986412,0.009792166266986412,0.00024862860668853,0.002084864346871975,0.0007130712037906051,0.017985611510791366,3
5,0.0,0.0,0.0,0.0,0.0,0.0,4
10,0.0004496402877697842,0.0004496402877697842,5.6205035971223025e-05,0.00022149495390353416,0.00022482014901470393,0.0017985611510791368,4
20,0.0009992006394884093,0.0009992006394884093,9.60517011492021e-05,0.00045481392555022596,0.00041050155414268374,0.0044964028776978415,4
100,0.00964835274637433,0.00964835274637433,0.0003236721829764421,0.0023504734858768236,0.0009022810845635831,0.02158273381294964,4
5,0.0,0.0,0.0,0.0,0.0,0.0,5
10,0.0004496402877697842,0.0004496402877697842,5.058453237410071e-05,0.00024225258206671304,0.0002922661660704762,0.002697841726618705,5
20,0.0009992006394884093,0.0009992006394884093,9.357553522879156e-05,0.00048129153793104005,0.0004905249224975705,0.00539568345323741,5
100,0.008041424003654221,0.008041424003654221,0.00023116196422291152,0.0020936913416648916,0.0009458183194510639,0.026079136690647483,5
5,0.0,0.0,0.0,0.0,0.0,0.0,6
10,0.00011241007194244605,0.00011241007194244605,1.1241007194244605e-05,6.575255255747298e-05,8.992805669549853e-05,0.0008992805755395684,6
20,0.0008867905675459633,0.0008867905675459633,7.467020494756202e-05,0.000402717552547908,0.0003699396038427949,0.0044964028776978415,6
100,0.008722307867991322,0.008722307867991322,0.0002445512582697155,0.0020952625738572335,0.000795492494944483,0.023381294964028777,6
5,0.0,0.0,0.0,0.0,0.0,0.0,7
10,0.00033723021582733815,0.00033723021582733815,3.934352517985611e-05,0.00017650002950924008,0.00020233812392689288,0.0017985611510791368,7
20,0.0005620503597122302,0.0005620503597122302,5.978172007848267e-05,0.0002744260736353481,0.0002840909000951797,0.002697841726618705,7
100,0.010188470103038449,0.010188470103038449,0.0002443795143211261,0.0023067597588880017,0.0007697810069657862,0.026079136690647483,7
5,0.0,0.0,0.0,0.0,0.0,0.0,8
10,0.0004496402877697842,0.0004496402877697842,5.6205035971223025e-05,0.00022149495390353416,0.00022482014901470393,0.0017985611510791368,8
20,0.0006744604316546763,0.0006744604316546763,7.664323086984958e-05,0.0003194209980296422,0.00030657293973490596,0.002697841726618705,8
100,0.005529093208949324,0.005529093208949324,0.0001915289599539752,0.0014857327070496309,0.0006747173028998077,0.017985611510791366,8
5,0.0,0.0,0.0,0.0,0.0,0.0,9
10,0.0002248201438848921,0.0002248201438848921,2.248201438848921e-05,0.00013150510511494596,0.00017985611339099705,0.0017985611510791368,9
20,0.0014488409272581935,0.0014488409272581935,0.00012678760193905972,0.000664322193357597,0.0006233732565306127,0.007194244604316547,9
100,0.01138292662573238,0.01138292662573238,0.0003539492005432219,0.002771546515803294,0.0011126745957881212,0.02787769784172662,9
