,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0017149857084524296,0.0003145248416595847,0.0008302708588539539,0.0017709868503441402,0.004151354543864727,0.008574928542262147,0
10,0.0012805680323034346,0.0003716424768401849,0.0004765469547013034,0.0014445370503770084,0.00462935958057642,0.012249897917517355,0
20,0.0016699146081423804,0.0010639514287116032,0.00036118392066419126,0.0014806143512434095,0.005113167222589254,0.02000816659861168,0
100,0.005347979303398276,0.005241418480944215,0.000337879162211028,0.0025253169321664713,0.006392660550773144,0.08166598611678236,0
5,0.0016333197223356473,0.00017977770799348407,0.0006628555873145501,0.0015311701812230287,0.0033142780885100365,0.008166598611678236,1
10,0.0014336917562724014,0.00044640409440665677,0.0004257325633397499,0.0014007258087090273,0.0039510782808065414,0.012658227848101266,1
20,0.0013118790458881253,0.0006354431686628019,0.00026932115786146684,0.0012656906430884001,0.004336436744779348,0.019191506737443853,1
100,0.0064282203863408275,0.0063463357404699595,0.00023916436408425506,0.0024473210572290584,0.005464858375489712,0.07880767660269498,1
5,0.002286647611269906,0.0008002931861648365,0.0013257111746291003,0.0025058045107527035,0.00608411617577076,0.009799918334013884,2
10,0.0022072501247674785,0.0011204977389503816,0.0008537876381894347,0.0022652615168295667,0.006946146488189697,0.016333197223356473,2
20,0.002822100770242869,0.002019648164300489,0.0006687857964299855,0.0023260215545122453,0.007583442144095898,0.026541445487954268,2
100,0.005820710469595344,0.00570064683223638,0.0005730754049461811,0.0030758409562288186,0.008769990876317024,0.08370763576970192,2
5,0.0024499795835034714,0.0008008304814092318,0.0010004083299305839,0.0021595063612723383,0.0044576022773981094,0.010616578195181707,3
10,0.0020189646567760084,0.0010811656826802407,0.0006555207718948022,0.0018507237702114993,0.004997504875063896,0.014699877501020826,3
20,0.0020296590121008247,0.001440945159161689,0.000494603357139971,0.001719820707156267,0.005418992601335049,0.021641486320947326,3
100,0.005147464625449098,0.005035325981924793,0.0004532173968968593,0.002720715245358528,0.006717692594975233,0.08166598611678236,3
5,0.0018783176806859941,0.0006899343050184254,0.0009037702463590582,0.0017995793987799606,0.003974411636590958,0.007758268681094325,4
10,0.001777369447847194,0.0009347028710896694,0.0006121654233128306,0.0016596894585989058,0.004628225229680538,0.012658227848101266,4
20,0.0018561782381316988,0.0013446897692729514,0.0004589753515904266,0.0015577533869589378,0.005042150616645813,0.019191506737443853,4
100,0.005815845631526759,0.005696304158724788,0.00044093254682244453,0.0027443113674211327,0.006400847341865301,0.08411596570028583,4
5,0.0005716619028174765,0.00012033077574414291,0.00038383013474887714,0.0007268201708012327,0.001919150585308671,0.0028583095140873828,5
10,0.0010593893199038155,0.00045621355777680404,0.00029748671847487694,0.0009866016670729075,0.002800948917865753,0.009391588403429971,5
20,0.0017786441620267774,0.001403503441462179,0.0002641491676987621,0.001156080660137345,0.0031771529465913773,0.015108207431604737,5
100,0.006782037663143522,0.00671976404534784,0.0002883981877090041,0.0025251272695836512,0.004467627499252558,0.07839934667211107,5
5,0.002041649652919559,0.0009988754443859716,0.0008928814482101538,0.0017078113377649471,0.0033755272161215544,0.006941608819926501,6
10,0.002066603148677465,0.0011579351906801166,0.0006749920602513497,0.0016963560180457543,0.004186516162008047,0.012658227848101266,6
20,0.001951554203010222,0.0013303941938279714,0.0005421057195127485,0.0015854656197959297,0.004564638249576092,0.018783176806859942,6
100,0.007544826271154679,0.007409217453960888,0.0005480672660996157,0.002889773757821981,0.005740699358284473,0.08125765618619844,6
5,0.0014699877501020827,0.0005494205333232652,0.0006329113924050632,0.0012785272560496752,0.002620117273181677,0.0057166190281747655,7
10,0.0015822784810126584,0.0008946170132529918,0.00048659316727916167,0.0013099372583184783,0.003209926886484027,0.009799918334013884,7
20,0.0017702149490634587,0.001298983142461035,0.0003958117997398578,0.0012928738935997857,0.003528732107952237,0.015108207431604737,7
100,0.0057712979703531085,0.005659542587693336,0.0003829938200932022,0.0024809403115219108,0.004869865253567696,0.07717435688035933,7
5,0.0022049816251531237,0.001025563631145789,0.0008887981489043148,0.0017742716791534785,0.003355111228302121,0.007758268681094325,8
10,0.0021471348849870695,0.0012560356122359132,0.0006645785667835484,0.0017250484985524926,0.004101285710930824,0.01347488770926909,8
20,0.002402741415063371,0.0017208712947405739,0.0005437669877102728,0.001746967317725907,0.004642682150006294,0.022458146182115148,8
100,0.005912774240051994,0.005814687080230406,0.0005053332623305622,0.002742755947628101,0.005896450020372868,0.08166598611678236,8
5,0.0016333197223356473,0.00016768536051279452,0.0007717435688035934,0.001667046766977873,0.00385871808975935,0.008166598611678236,9
10,0.0012930447801823876,0.0003096170281578614,0.00044701865138778164,0.001407762528671883,0.004439940210431814,0.012658227848101266,9
20,0.0014623255729437944,0.0007900000335168724,0.00029008942535124326,0.0013283835960475952,0.004881644155830145,0.02041649652919559,9
100,0.005779930410385441,0.005659487674116185,0.00024560968168341885,0.002431876732221035,0.006182707846164703,0.08615761535320539,9
