Run_id,k,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@k,Diversity@k,Novelty@k
0,5,0.0027766435279706005,0.0007260595007271291,0.0014999319450115696,0.0029332605543193955,0.006955219432711601,0.012249897917517355,0.28431164419912963,,17.014940262233157
0,10,0.002439771335238873,0.0009134989736359838,0.0009374574656322308,0.0025439805552488733,0.007831995375454426,0.019191506737443853,0.42670629444857233,,20.627912885393876
0,20,0.002704914199939022,0.0017015547764648925,0.0006526317451892686,0.0023647926980032772,0.008462416008114815,0.029808084932625562,0.5864027173336164,,29.118483123101544
0,100,0.006096527174112514,0.005967105075650272,0.0005038314397366724,0.0031485638847546095,0.00972815603017807,0.09064924458962842,0.8276722216325231,,121.85988791327043
1,5,0.0021233156390363414,0.0007745827107956912,0.0012045732952225398,0.0022933205529448468,0.005478427279740572,0.00898325847284606,0.28335633159961787,,17.186333730608826
1,10,0.00181139694206252,0.0008754995553760458,0.0007483618192070621,0.001943127396447651,0.006122518330812454,0.013883217639853002,0.4259102006156459,,20.7403799163388
1,20,0.002051130206980134,0.0014566350917141447,0.0005507180870197872,0.001865444534108832,0.006656740326434374,0.022866476112699062,0.5847043838233733,,29.282561315653247
1,100,0.006148817423046678,0.0060853301440502465,0.0004971382301523445,0.002992065040901312,0.007887521758675575,0.08615761535320539,0.8323426387856916,,121.72027574917881
2,5,0.0012249897917517355,0.00023274953959803157,0.00046413502109704643,0.0011057016334481778,0.002320675179362297,0.006124948958758677,0.2811803417896189,,16.988994171496238
2,10,0.001403067011478608,0.0003389460075140448,0.0003389624530906687,0.0012768123249327554,0.003344254568219185,0.013883217639853002,0.42596327353784097,,20.5733811223239
2,20,0.001565383877792304,0.000749261058792866,0.00025688705095270865,0.0013455832894418169,0.003954313695430756,0.023683135973866884,0.5869865194777625,,29.131641084158844
2,100,0.00595005757664876,0.0058539859059146705,0.0002485016526349072,0.002393719438342956,0.00514324801042676,0.08248264597795019,0.8368007642500797,,121.83634429785349
3,5,0.001796651694569212,0.00017960025633272808,0.0006614944875459372,0.0015898421417273735,0.0033074726816266775,0.00898325847284606,0.28128648763400915,,16.798542089087544
3,10,0.0014938069960528106,0.00036867215835244233,0.0004099556886408663,0.0014343438691246425,0.004005036316812038,0.014291547570436913,0.4198598874854049,,20.47565938332969
3,20,0.0013399541114935153,0.0006477440020171075,0.0002537672509715183,0.0012843759737503695,0.004461202770471573,0.021641486320947326,0.5774864664048402,,29.0082569063642
3,100,0.004357522751135305,0.004270874371214446,0.00017248225402375633,0.002023814508430772,0.005507456138730049,0.07758268681094324,0.8201889396030145,,121.75997764806677
4,5,0.0027766435279706005,0.0010883557593125794,0.0012631005852729005,0.0024900973435125428,0.005226623732596636,0.010616578195181707,0.2808088313342533,,17.010678590741215
4,10,0.0026189828047729234,0.00142411520329074,0.0008785520923128109,0.0022969467435265266,0.006067102309316397,0.017149857084524295,0.4244241587941832,,20.65588290951078
4,20,0.0023743302382811526,0.0016555324078335106,0.0006399313795086948,0.0020077151169993045,0.006455880589783192,0.023683135973866884,0.5865088631780065,,29.306143189207194
4,100,0.006174435894869595,0.006087876839874432,0.0005335504374611836,0.0027250128139473494,0.007531981915235519,0.07880767660269498,0.8286275342320348,,121.79980512210014
5,5,0.0022049816251531237,0.0001778638635553332,0.0009486865387232884,0.002127135774791028,0.004743432626128197,0.011024908125765618,0.28208258146693554,,16.80311592378926
5,10,0.0018170681910984073,0.0003633434028530431,0.0005650184396611509,0.0018553696365007299,0.0055481018498539925,0.017558187015108206,0.42500796093832927,,20.509912820973494
5,20,0.0015917707661636756,0.0007123420560301611,0.00034815650227956003,0.0015887182608828323,0.006009433884173632,0.02490812576561862,0.5857127693450801,,29.160512207033126
5,100,0.005633117058029441,0.005466899976898425,0.00023963516490512277,0.0024071806839585314,0.007246275432407856,0.08615761535320539,0.8312281074195945,,121.88676992391443
6,5,0.0016333197223356473,0.00029856226466877343,0.0008370763576970191,0.0017476075013660806,0.0041853818111121655,0.008166598611678236,0.2856915401762021,,16.93196309720599
6,10,0.0012181842929086702,0.000451492421522513,0.0004788154543156585,0.0013962149562953424,0.004561304580420256,0.011024908125765618,0.4282984821144252,,20.67285512091993
6,20,0.0012456241624146135,0.0007133209459401101,0.00030956703194423904,0.001273856060159067,0.0049725924618542194,0.017558187015108206,0.5832714149241057,,29.21034293999269
6,100,0.006850097867552542,0.006765969614343028,0.000312712540722451,0.0026172726264690415,0.006135394796729088,0.07676602694977541,0.8269822736439868,,121.79345159333664
7,5,0.0014699877501020825,0.00017419535228296846,0.0007132162787532327,0.0015272385416356881,0.003566081402823329,0.007349938750510413,0.2871775819976648,,16.782772926110386
7,10,0.0012147815434871377,0.0003073186030583347,0.0004254571026722926,0.0013146608669754281,0.004118461161851883,0.011433238056349531,0.4308990553019849,,20.423199601210094
7,20,0.0013696066421668709,0.0007129909279933596,0.00027169442542748383,0.0012556867765201867,0.00457599526271224,0.019191506737443853,0.590064748965078,,29.025572675454168
7,100,0.005623892911751767,0.005520642791434157,0.00021321927020312719,0.002336775891333031,0.005842332728207111,0.0828909759085341,0.8384990977603227,,121.69185993851237
8,5,0.002449979583503471,0.0003641589209312345,0.0013202667755546481,0.0027063630508273825,0.006601334549486637,0.012249897917517355,0.28431164419912963,,16.92361761706455
8,10,0.0022673653645478883,0.0006849870334344392,0.0008167678849589834,0.0024689697551858905,0.007717760279774666,0.02041649652919559,0.4239995754166224,,20.54529905610212
8,20,0.0023614105838543186,0.0013802572731921126,0.0005636421196153986,0.002264394305850481,0.00827223714441061,0.028991425071457737,0.5806177688143509,,29.146515561452215
8,100,0.004823238273523465,0.004708196506477242,0.00040379763590473464,0.00268239946923914,0.009347180835902691,0.083299305839118,0.8235325337013056,,121.81839294440208
9,5,0.002694977541853818,0.0008505770359968132,0.0014822376480195998,0.002871725600414125,0.006866747979074717,0.011841567986933442,0.285638467254007,,16.722789604625657
9,10,0.0018420216868563133,0.0008840769588706597,0.0008478517308652058,0.0021300505923786983,0.007151445373892784,0.014291547570436913,0.42872306549198597,,20.396327131340975
9,20,0.002296157859653164,0.0016085431597754852,0.0006563396283769292,0.0021000969805581504,0.007703797426074743,0.023274806043282973,0.5866150090223968,,28.96759720552181
9,100,0.006641861340629307,0.006528331198090817,0.000598572289452979,0.0032323577621570497,0.009073822759091854,0.08819926500612495,0.8288398259208152,,122.00558144206153
10,5,0.0014699877501020827,0.0001264860637578517,0.0005975227984211243,0.001378079986487382,0.002987614134326577,0.007349938750510413,0.28218872731132577,,17.03976367033579
10,10,0.0010208248264597796,0.00016467029017987292,0.0003367587677510095,0.0010974640390539142,0.003367587924003601,0.010208248264597795,0.42341577327247637,,20.590533684255217
10,20,0.001143809912695172,0.0004732417680570183,0.00021340444491771816,0.0010849849255199842,0.003852634457871318,0.01796651694569212,0.581254643880692,,29.23056347387646
10,100,0.004588496262892975,0.004478611535638263,0.00015065030877682895,0.0019647726622985706,0.005075790453702211,0.07717435688035933,0.8277252945547182,,121.71304801758458
11,5,0.0022866476112699064,0.0006658430243005548,0.0009772696338641623,0.0020633509473287643,0.004341908264905214,0.009799918334013884,0.2860099777093727,,16.946196956272708
11,10,0.0017603557007395308,0.0007020953966455843,0.0006117009210108435,0.0017025831449186137,0.004880676977336407,0.013883217639853002,0.4245303046385734,,20.604561591237974
11,20,0.0019620901307303923,0.00132581830585972,0.0004572160847318016,0.0016165306044086311,0.005343440920114517,0.021233156390363415,0.5822099564802038,,29.182671632716573
11,100,0.006458693792854426,0.006325921570573958,0.00040472488077882034,0.0027585434003161483,0.006686701904982328,0.08860759493670886,0.8299543572869122,,121.92569633403158
12,5,0.0012249897917517355,0.00018019562894529652,0.0008030488634816934,0.0015404455192392866,0.004015244543552399,0.006124948958758677,0.27581997664791424,,17.303503182110816
12,10,0.0012283925411732681,0.00047464172766455734,0.0004895152108300333,0.0013867248825184207,0.004517069086432457,0.010208248264597795,0.4152425432544316,,20.973702809557448
12,20,0.0010912290815189199,0.0006017828895426864,0.0002931362734907683,0.0011867750862906109,0.004848836921155453,0.015924867292772562,0.575151257828256,,29.453899581211914
12,100,0.005460518064462702,0.00538782892853609,0.0002635741232421833,0.0023132253750206976,0.006051687058061361,0.07349938750510412,0.8085128967200934,,121.9941688085442
13,5,0.002939975500204165,0.0015653723530789905,0.0012454062882809311,0.0023930822986063297,0.0045937118120491505,0.009799918334013884,0.287867529986201,,16.83045077328047
13,10,0.0029921509913343313,0.0018419580334784534,0.0009542551651575743,0.0023958762061091067,0.0057239108718931675,0.01796651694569212,0.43063369069100943,,20.5225956347397
13,20,0.003010308577643827,0.002307373871714638,0.000792830368199635,0.0022708131255896598,0.00619666650891304,0.025724785626786442,0.5897463114319075,,29.129763131340077
13,100,0.006763503563835303,0.006590424210988992,0.0007668161238666761,0.003382772106637637,0.007602035067975521,0.09105757452021233,0.8358985245727629,,121.78146791786305
14,5,0.0028583095140873828,0.0008926150440148515,0.0012903225806451613,0.0026955812710704827,0.00590717326849699,0.012658227848101266,0.28452393588791,,16.796006911935763
14,10,0.002708588539539948,0.0013039267560413983,0.000866129356329438,0.002545302591352809,0.007107371464371681,0.021641486320947326,0.42575098184906063,,20.59238738195075
14,20,0.002575049871065051,0.0018113094168681597,0.0006647136718882057,0.002296298509313957,0.007490314543247223,0.02735810534912209,0.5839082899904469,,29.16061470519611
14,100,0.005598663515639968,0.005527381871019517,0.0005803014716420395,0.003038159877509358,0.00861607026308775,0.08493262556145366,0.8222587835686233,,121.83104317449799
15,5,0.002449979583503471,0.0007604887159020399,0.001290322580645161,0.002530999742694391,0.0059071737341582775,0.010616578195181707,0.28409935251034923,,17.041860300921012
15,10,0.0022231296220679643,0.0009914674390505227,0.0008192416297765421,0.0022422400846225012,0.006714110728353262,0.017149857084524295,0.4267593673707674,,20.65136531252278
15,20,0.0020762538614331285,0.0012788599829273396,0.0005855473043848093,0.002026322806172844,0.0072630527429282665,0.025724785626786442,0.5865619361002017,,29.192304699871514
15,100,0.006286857564770862,0.006198142148356312,0.0005013997168833489,0.0030063072825375244,0.008549814112484455,0.08738260514495713,0.8241163358454516,,121.81468269952607
16,5,0.0013883217639853002,0.00017318733052721255,0.0006383557914795155,0.0013972810912600254,0.0031917791347950697,0.006941608819926501,0.28224180023352086,,16.72010948265065
16,10,0.0010718660677827684,0.00022780816207259354,0.0003743510470746077,0.0011710469930689162,0.003618743037804961,0.010208248264597795,0.4203906167073559,,20.489030682054388
16,20,0.001057239964176769,0.00038795970636852124,0.00023288327905379537,0.0011014077155202342,0.004043751396238804,0.017149857084524295,0.5793440186816686,,29.112728528201195
16,100,0.0050539273874370344,0.004919396285444245,0.00017809525949805677,0.002140949066790219,0.005277767311781645,0.08125765618619844,0.8336694618405689,,121.80693400849523
17,5,0.0009799918334013884,0.00012727166421776158,0.0005117735129985028,0.0010598363508881367,0.002558867447078228,0.004899959167006942,0.2848954463432757,,16.808153325147696
17,10,0.0010548523206751056,0.00039817885429016054,0.000330558202138439,0.0010491715872259948,0.0031430060043931007,0.009391588403429971,0.42362806496125677,,20.487492155187343
17,20,0.0010950584914716354,0.0006755914539058607,0.0002310210057488279,0.0009750113069883109,0.0034064101055264473,0.01347488770926909,0.5765311538053285,,29.167712514472562
17,100,0.0038858822720323812,0.003817852094965751,0.00020437991567988543,0.001893187399902142,0.004485840909183025,0.07104940792160065,0.8095743551639953,,121.71577357199752
18,5,0.0017149857084524296,0.0002596293222884751,0.0008520484551517627,0.0018023261930345987,0.004260242450982332,0.008574928542262147,0.28335633159961787,,17.335104758791505
18,10,0.0012703597840388367,0.0003082412151338179,0.0004794473934939431,0.001448162952083106,0.004692391492426395,0.012249897917517355,0.4233096274280862,,20.90757169625295
18,20,0.0019585004170549294,0.0013527170858149682,0.0003447375709518784,0.0015121761356289003,0.005176990292966366,0.02000816659861168,0.5814138626472773,,29.395162023229528
18,100,0.009510616469033563,0.009377751399227294,0.00035217576084114614,0.0032247529685179247,0.006580499932169914,0.08901592486729278,0.8201358666808194,,121.81372543168605
19,5,0.002286647611269906,0.000679076547507221,0.001150129304478018,0.0022798632592616794,0.005206206813454628,0.009799918334013884,0.2786859144464494,,17.0422698225437
19,10,0.0019372986706592263,0.0010522095227322192,0.0007336705836093342,0.001912906045815725,0.00565423583611846,0.013066557778685178,0.41715316845345507,,20.750114397533387
19,20,0.002406737375629082,0.0018027005356437316,0.0005385271809229209,0.0019025243154699519,0.006226871628314257,0.022866476112699062,0.571276934508014,,29.24165704559392
19,100,0.006808896534251603,0.006731866639373094,0.0004840414651734995,0.0030624298628728415,0.007532175164669752,0.08493262556145366,0.807186073665216,,121.8303592179194
20,5,0.0013066557778685177,0.0002710547893019555,0.0005879951000408329,0.0012967721088213294,0.00293997535482049,0.006533278889342589,0.28776138414181085,,16.672809993980003
20,10,0.00103897282337462,0.00033763255011073413,0.00034434203789042493,0.00110650452279405,0.003398050321266055,0.010208248264597795,0.4312174928351555,,20.337868615911948
20,20,0.0013413017205081191,0.0008072051262557116,0.00025520830147758176,0.0011598099577369294,0.003845671657472849,0.017558187015108206,0.5931429784523936,,28.915700432162378
20,100,0.005363675114972185,0.0052346897539281316,0.0002327039200895401,0.0023347983733259087,0.005259170662611723,0.08738260514495713,0.8326610763188621,,121.71692895568117
