,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0,0.0,0.0,0.0,0.0,0.0,0
10,0.0015122265122265123,0.001475854736724302,0.0001859001859001859,0.00052426002688692,0.0003038753056898713,0.002574002574002574,0
20,0.0021235521235521237,0.002119355380224945,0.00022017816135463196,0.0007473729799067513,0.00045528719783760607,0.005148005148005148,0
100,0.005847005194535377,0.005847005194535377,0.00030020654302026885,0.0018560019375003995,0.0009247256093658507,0.02574002574002574,0
5,0.00025740025740025744,0.000117000117000117,8.58000858000858e-05,0.00021824981034338232,0.00042900044354610145,0.001287001287001287,1
10,0.00023595023595023598,0.00014497840584797107,6.435006435006435e-05,0.00021081165595420584,0.0005005004932172596,0.0019305019305019305,1
20,0.0005577005577005577,0.0005310787919483572,7.219404278227808e-05,0.0003219399010402769,0.0006083815242163837,0.003861003861003861,1
100,0.005225122127632559,0.005225122127632559,0.000147683140233696,0.0015538525017596266,0.001043800381012261,0.02574002574002574,1
5,0.0006435006435006435,0.0001901251901251901,0.00023595023595023593,0.0005741999197437321,0.0011797512415796518,0.0032175032175032173,2
10,0.0008472758472758472,0.0006727506727506727,0.0001859001859001859,0.0006260293528567329,0.0013942515943199396,0.005148005148005148,2
20,0.0010725010725010724,0.001005226005226005,0.0001663560951486648,0.0006781205027510072,0.0014981479616835713,0.007078507078507079,2
100,0.005184822283603719,0.005184822283603719,0.00022700500773237386,0.0017840834291958042,0.001948462799191475,0.030244530244530245,2
5,0.0,0.0,0.0,0.0,0.0,0.0,3
10,0.0011261261261261261,0.0011261261261261261,0.00013406263406263405,0.0004298669183108174,0.00029493781039491296,0.002574002574002574,3
20,0.0018768768768768769,0.0018768768768768769,0.00017623218087614372,0.0007119296132770258,0.00047623366117477417,0.005791505791505791,3
100,0.008180616700077116,0.008180616700077116,0.0002937252313397283,0.002437824287162873,0.001069511636160314,0.035392535392535396,3
5,0.00012870012870012872,9.750009750009751e-06,4.29000429000429e-05,0.00010912490517169116,0.00021450022177305073,0.0006435006435006435,4
10,0.000353925353925354,0.00022658174832087874,5.362505362505362e-05,0.0002317055565085234,0.00042900044354610145,0.002574002574002574,4
20,0.0010617760617760616,0.001030957552696683,8.207012850975699e-05,0.0004517341405470474,0.0005764278466813266,0.005148005148005148,4
100,0.0061339293453389,0.0061339293453389,0.000147535558452296,0.0014669083097165283,0.0008353900047950447,0.019305019305019305,4
5,0.0005148005148005149,0.00022425022425022427,0.00021450021450021453,0.0004936504084573174,0.0010725011816248298,0.002574002574002574,5
10,0.0017160017160017162,0.0015672080889472192,0.0002967252967252967,0.0008381661377900848,0.0013763763708993793,0.005148005148005148,5
20,0.0022522522522522522,0.0022214337431728736,0.00030504520442600937,0.0009987485820074698,0.0015181258786469698,0.007722007722007722,5
100,0.006309891678532546,0.006309891678532546,0.0003792928139850809,0.0021079144778980733,0.0019689081236720085,0.027670527670527672,5
5,0.00025740025740025744,0.00016087516087516087,0.00010725010725010726,0.0002468252042286587,0.0005362505908124149,0.001287001287001287,6
10,0.0010403260403260405,0.0009932292540988192,0.00017338767338767337,0.0005079786715698239,0.0007596882642246783,0.0032175032175032173,6
20,0.0011046761046761046,0.0011004793613489264,0.00017075899428840602,0.0005299204607611712,0.0007975412299856544,0.003861003861003861,6
100,0.007056438479625603,0.007056438479625603,0.00026915789827483224,0.002026008103521474,0.0013030075933784246,0.028314028314028315,6
5,0.00012870012870012872,0.00010725010725010724,4.29000429000429e-05,0.00010912490517169116,0.00021450022177305073,0.0006435006435006435,7
10,0.00042900042900042895,0.00042900042900042895,7.150007150007149e-05,0.00024860580197056694,0.0003575003647711128,0.0019305019305019305,7
20,0.0011904761904761904,0.0011904761904761904,0.00011472883763905434,0.0005305101741399239,0.000537102809175849,0.005148005148005148,7
100,0.005588986819636974,0.005588986819636974,0.0002046032225453609,0.0017604808127678116,0.001049412414431572,0.02702702702702703,7
5,0.0,0.0,0.0,0.0,0.0,0.0,8
10,0.00048262548262548264,0.00048262548262548264,5.362505362505362e-05,0.00022686506709734968,0.00021450022177305073,0.0019305019305019305,8
20,0.0009116259116259115,0.0009116259116259115,7.886037297802004e-05,0.00039267880656756066,0.00032805916271172464,0.003861003861003861,8
100,0.005665131645492029,0.005665131645492029,0.0001566334975567575,0.0016056122690496387,0.0007706279866397381,0.02702702702702703,8
5,0.00038610038610038615,0.0002681252681252681,0.00015015015015015014,0.00035595010940034984,0.0007507508271373808,0.0019305019305019305,9
10,0.0013084513084513083,0.0012613545222240874,0.00022701272701272703,0.0006809627845079408,0.001045688521116972,0.0045045045045045045,9
20,0.002027027027027027,0.002022830283699849,0.0002613039842142009,0.0009381114998129052,0.0012252909364178777,0.007722007722007722,9
100,0.007234791679318918,0.007234791679318918,0.0003771777657485545,0.002432512977614007,0.0018813597271218896,0.03346203346203346,9
