,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.001183431952662722,0.0005752794214332677,0.0005128205128205127,0.0011407551226850707,0.002564102876931429,0.005917159763313609,0
10,0.0010660279891049123,0.0008605710528787451,0.00040713458295875876,0.0011069394840953414,0.002939795143902302,0.008875739644970414,0
20,0.0008605710528787451,0.0008605710528787451,0.0003726178176727627,0.0009941887411446463,0.002939795143902302,0.008875739644970414,0
100,0.01293251988907548,0.01293251988907548,0.0006101889099719304,0.004129142260026529,0.003970561549067497,0.060650887573964495,0
5,0.0014792899408284023,0.0012984878369493753,0.000616370808678501,0.0014008067417729934,0.00308185419999063,0.0073964497041420114,1
10,0.0037076171691556308,0.00355968817507279,0.0008315834552098287,0.0024446269597511627,0.004414388909935951,0.01775147928994083,1
20,0.0036829623368084905,0.0036829623368084905,0.0008228515354202167,0.002446176151413585,0.004506844561547041,0.019230769230769232,1
100,0.01795671441031142,0.01795671441031142,0.0011072212429241032,0.006305614437914763,0.005796142388135195,0.08727810650887574,1
5,0.000591715976331361,0.0003550295857988166,0.0003698224852071006,0.000717793720586276,0.001849112450145185,0.0029585798816568047,2
10,0.0012961397576782192,0.0011334178641870948,0.0003389620147861906,0.0010066065472004804,0.002436132403090596,0.0073964497041420114,2
20,0.0012714849253310791,0.001256692025922795,0.0002644838754042051,0.0009274518694471248,0.0025285878218710423,0.008875739644970414,2
100,0.012044958787017335,0.012044958787017335,0.0004508241839632963,0.0040009518143851435,0.0036496452521532774,0.06656804733727811,2
5,0.0017751479289940832,0.0008514135437212361,0.0010946745562130178,0.0021313940725127267,0.005473372992128134,0.008875739644970414,3
10,0.005304311073541843,0.004634169249553865,0.00106177628842464,0.003155893155652235,0.007034258916974068,0.022189349112426034,3
20,0.0048018221095144165,0.004757443411289565,0.0007962819003340981,0.002683003102204459,0.007126714568585157,0.023668639053254437,3
100,0.013086933885750454,0.013086933885750454,0.0009089029961115937,0.005094997044774418,0.008024811744689941,0.07100591715976332,3
5,0.0020710059171597634,0.0009171597633136094,0.0016370808678500986,0.0029535298912976783,0.008185405284166336,0.010355029585798817,4
10,0.008300460223537148,0.00789447731755424,0.0018072774803544035,0.004587721911092451,0.009586033411324024,0.022189349112426034,4
20,0.007938856015779093,0.00789447731755424,0.0015640164678626218,0.0041675845049086,0.009586033411324024,0.022189349112426034,4
100,0.021292346015173793,0.021292346015173793,0.001815482598586612,0.007701559237970036,0.010724621824920177,0.07396449704142012,4
5,0.000591715976331361,0.0003057199211045365,0.000591715976331361,0.0010034325599811128,0.002958579920232296,0.0029585798816568047,5
10,0.0033671456748379826,0.0031938574246266555,0.0007874451555770237,0.0021492416556581724,0.00433220574632287,0.013313609467455622,5
20,0.0033319244857706394,0.003317131586362356,0.000710618936923882,0.0020657550941616956,0.00442466139793396,0.014792899408284023,5
100,0.02595439207320241,0.02595439207320241,0.0011367899185486222,0.007359018059382225,0.005906218662858009,0.08875739644970414,5
5,0.0014792899408284023,0.0010289283366206445,0.000576923076923077,0.0013440389531273332,0.002884615445509553,0.0073964497041420114,6
10,0.005043674274443505,0.004698976237437775,0.0008622314803633485,0.0027105750895983277,0.004365079570561647,0.019230769230769232,6
20,0.00496031746031746,0.0049455245609091765,0.0007688072763622215,0.0026091855548636767,0.004549990873783827,0.022189349112426034,6
100,0.01735469952380572,0.01735469952380572,0.000985716035941405,0.005901882794130721,0.005627796519547701,0.07692307692307693,6
5,0.000591715976331361,0.0004602235371466141,0.00017258382642998027,0.0004669355805909978,0.0008629192016087472,0.0029585798816568047,7
10,0.004898093359631822,0.004898093359631822,0.0005725399956169187,0.0016727597684964687,0.0013067061081528664,0.0073964497041420114,7
20,0.004898093359631822,0.004898093359631822,0.0005725399956169187,0.0016727597684964687,0.0013067061081528664,0.0073964497041420114,7
100,0.017157160650231346,0.017157160650231346,0.0008082080810287976,0.004820576411972962,0.0022650528699159622,0.05621301775147929,7
5,0.0014792899408284023,0.0012984878369493753,0.0006163708086785009,0.0014008067417729934,0.00308185419999063,0.0073964497041420114,8
10,0.002925706771860618,0.0028834413449798065,0.0006896504492658339,0.001800038884598877,0.0034146944526582956,0.010355029585798817,8
20,0.0028834413449798065,0.0028834413449798065,0.0006843672709057325,0.0017804943103757204,0.0034146944526582956,0.010355029585798817,8
100,0.013805209145445831,0.013805209145445831,0.0009231050192687086,0.004857244122260596,0.004485475365072489,0.06360946745562131,8
5,0.0008875739644970416,0.0002827087442472058,0.0006903353057199211,0.001254290699976391,0.003451676806434989,0.004437869822485207,9
10,0.003249741711280173,0.0029982624213393443,0.0006678468560336692,0.0019078441557728962,0.004371536895632744,0.011834319526627219,9
20,0.0030278482201559122,0.0029982624213393443,0.0005116995845017823,0.0016421646228317677,0.004371536895632744,0.011834319526627219,9
100,0.0233341851926405,0.0233341851926405,0.000864542254013429,0.006395441930517155,0.0056756106205284595,0.07988165680473373,9
