,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0,0.0,0.0,0.0,0.0,0.0,0
10,0.00036231884057971015,8.837044892188053e-05,4.528985507246377e-05,0.00025156239832165684,0.00045289855916053057,0.0036231884057971015,0
20,0.0005434782608695653,0.0004177512130852534,5.051560758082497e-05,0.0004326889287484095,0.0010103121167048812,0.010869565217391304,0
100,0.016034658494894254,0.016034658494894254,0.00031194758638447974,0.004456502097906908,0.002497324487194419,0.09057971014492754,0
5,0.0,0.0,0.0,0.0,0.0,0.0,1
10,0.007971014492753625,0.007423117709437964,0.0008957326892109501,0.0026845015768170908,0.0017109500477090478,0.014492753623188406,1
20,0.007789855072463768,0.007482514240680539,0.0008599775404695314,0.0026251530764452276,0.0019016442820429802,0.018115942028985508,1
100,0.021188563919240167,0.02115004971177697,0.0010960628245621862,0.006124360369126799,0.0032407708931714296,0.07971014492753623,1
5,0.0,0.0,0.0,0.0,0.0,0.0,2
10,0.003985507246376812,0.003711558854718982,0.000447866344605475,0.0013422507884085452,0.0008554750238545239,0.007246376811594203,2
20,0.003985507246376812,0.0037709553859615577,0.00043475612340028815,0.0013721145283812678,0.0010461691999807954,0.010869565217391304,2
100,0.015424146433737962,0.015385632226274764,0.0006450088573566159,0.0046956432054528026,0.002587867435067892,0.08695652173913043,2
5,0.0,0.0,0.0,0.0,0.0,0.0,3
10,0.0036231884057971015,0.0036231884057971015,0.00040257648953301127,0.0010906883900868884,0.0004025764937978238,0.0036231884057971015,3
20,0.0038043478260869567,0.003682584937039677,0.00041211119586405625,0.0012097643704041964,0.0005932706408202648,0.007246376811594203,3
100,0.03585756117068025,0.03585756117068025,0.0009843832190147793,0.008521288083651803,0.002566960407420993,0.11231884057971014,3
5,0.0,0.0,0.0,0.0,0.0,0.0,4
10,0.0,0.0,0.0,0.0,0.0,0.0,4
20,0.0005434782608695653,0.00028348344456683735,3.300475268438655e-05,0.00037332134602028493,0.0006600950728170574,0.010869565217391304,4
100,0.011274721412868846,0.011274721412868846,0.00021696361924587683,0.003212967351271565,0.001829872140660882,0.07246376811594203,4
5,0.0,0.0,0.0,0.0,0.0,0.0,5
10,0.004347826086956523,0.0037999293036408625,0.0004931561996779388,0.001593813186730202,0.0013083735248073936,0.010869565217391304,5
20,0.004528985507246377,0.004188706599046811,0.0004852717309811131,0.0018048034571296772,0.002056481083855033,0.021739130434782608,5
100,0.015604660600500015,0.015604660600500015,0.0006785509869245444,0.005010042348881343,0.003302414435893297,0.08695652173913043,5
5,0.0,0.0,0.0,0.0,0.0,0.0,6
10,0.007246376811594203,0.007246376811594203,0.0008051529790660225,0.0021813767801737768,0.0008051529875956476,0.007246376811594203,6
20,0.007427536231884057,0.007411067193675889,0.000819088319088319,0.002316546165559446,0.0010838598245754838,0.010869565217391304,6
100,0.01568606238528055,0.01568606238528055,0.000976688248146172,0.004991213444044777,0.0022741672582924366,0.07608695652173914,6
5,0.0,0.0,0.0,0.0,0.0,0.0,7
10,0.0036231884057971015,0.0036231884057971015,0.00040257648953301127,0.0010906883900868884,0.0004025764937978238,0.0036231884057971015,7
20,0.0038043478260869567,0.0037878787878787876,0.0004165118295553078,0.0012258577754725574,0.0006812833016738296,0.007246376811594203,7
100,0.010379835072841482,0.010341320865378284,0.0005470389892974185,0.0032435916970121556,0.00172308215405792,0.05434782608695652,7
5,0.0,0.0,0.0,0.0,0.0,0.0,8
10,0.0,0.0,0.0,0.0,0.0,0.0,8
20,0.00018115942028985507,5.9396531242575434e-05,9.534706331045004e-06,0.00011907598031730797,0.0001906941324705258,0.0036231884057971015,8
100,0.01106591191960383,0.01106591191960383,0.00024299939875718968,0.003422214486920738,0.001757834106683731,0.07246376811594203,8
5,0.0,0.0,0.0,0.0,0.0,0.0,9
10,0.003985507246376812,0.003711558854718982,0.000447866344605475,0.0013422507884085452,0.0008554750238545239,0.007246376811594203,9
20,0.003985507246376812,0.0038762492368006685,0.0004391567570915397,0.001388207933449629,0.0011341817444190383,0.010869565217391304,9
100,0.01726777653727576,0.01726777653727576,0.0006889356192293775,0.0048501025629265225,0.0023672054521739483,0.06884057971014493,9
