,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0004153686396677051,0.00023797161647628936,0.00014537902388369678,0.0003584541456353783,0.0007268951158039272,0.0020768431983385254,0
10,0.00038075458636206304,0.00025163505857062177,0.00012028383523710626,0.0003587696840678432,0.0008566977921873331,0.003115264797507788,0
20,0.0007571824160609208,0.0005619972124349017,0.00013727150604097644,0.0005576199899749768,0.0011853253236040473,0.008307372793354102,0
100,0.0034694064602746786,0.003449144409460925,0.00017335166785943404,0.0012409998453471256,0.0015524110058322549,0.029075804776739357,0
5,0.0004153686396677051,0.00023797161647628936,0.00014537902388369678,0.0003584541456353783,0.0007268951158039272,0.0020768431983385254,1
10,0.0002769124264451367,0.00023797161647628936,0.00010730356524749048,0.0002866708035519789,0.0007268951158039272,0.0020768431983385254,1
20,0.0008016861988824604,0.0006944238849131647,0.00014202870511281727,0.0005583383936079659,0.0011051513720303774,0.007268951194184839,1
100,0.0020666953407905858,0.0020394920083311396,0.00016040834082838482,0.0009389521649715362,0.001429061871021986,0.020768431983385256,1
5,0.0,0.0,0.0,0.0,0.0,0.0,2
10,0.00010384215991692627,1.3663442094332403e-05,1.2980269989615784e-05,7.209888051586425e-05,0.00012980270548723638,0.0010384215991692627,2
20,0.00035603026257231867,0.00021895167341600997,3.0099630956328774e-05,0.00023569872486458085,0.0004266746691428125,0.005192107995846314,2
100,0.0035271857478358748,0.0035183766145263193,0.00010777323111837392,0.0010846459429782543,0.0008857931825332344,0.02699896157840083,2
5,0.00020768431983385254,0.00017307026652821044,0.00010384215991692627,0.0002222079592258853,0.0005192108219489455,0.0010384215991692627,3
10,0.00038075458636206304,0.00020039715071687526,0.00011249567324333678,0.0003424541122040387,0.0007788161747157574,0.003115264797507788,3
20,0.0013802353755624785,0.0009377575069564946,0.00017902550028718253,0.0009220682222066742,0.0017570912605151534,0.016614745586708203,3
100,0.002615761719157879,0.0025857735940772964,0.00017577408146542603,0.001203127864029993,0.0020819641649723053,0.036344755970924195,3
5,0.0,0.0,0.0,0.0,0.0,0.0,4
10,0.0,0.0,0.0,0.0,0.0,0.0,4
20,0.0008826583592938734,0.0008261067465876915,6.284098963226688e-05,0.0003858617332435125,0.00036674411967396736,0.005192107995846314,4
100,0.0044413452894854375,0.0044342641138745455,0.00013378609761497973,0.0013467144024477274,0.0008173023816198111,0.02699896157840083,4
5,0.0004153686396677051,0.00023797161647628936,0.00014537902388369678,0.0003584541456353783,0.0007268951158039272,0.0020768431983385254,5
10,0.00038075458636206304,0.00025163505857062177,0.00012028383523710626,0.00035876968406784316,0.0008566977921873331,0.003115264797507788,5
20,0.0010872521386540077,0.0008936219367915172,0.00016464115957885427,0.0007651466095487796,0.001520313904620707,0.012461059190031152,5
100,0.004549409895014849,0.004529872511512388,0.00021213173807267154,0.0016095715531889235,0.0019326722249388695,0.035306334371754934,5
5,0.0,0.0,0.0,0.0,0.0,0.0,6
10,0.0,0.0,0.0,0.0,0.0,0.0,6
20,0.0005841121495327102,0.00039842734955226325,4.1801541022724825e-05,0.0003361178322652642,0.0005207957583479583,0.007268951194184839,6
100,0.0065037855132938525,0.0064956291054272764,0.0001636770537035452,0.0017505769211437656,0.0010145263513550162,0.033229491173416406,6
5,0.0004153686396677051,0.00012980269989615784,8.307372793354102e-05,0.00027249237281898607,0.00041536864591762424,0.0020768431983385254,7
10,0.0004153686396677051,0.00015712958408482266,6.749740394600208e-05,0.000321026665791066,0.0006749739986844361,0.004153686396677051,7
20,0.0007713989022400238,0.0005175023019783581,7.766621863195073e-05,0.0005706898428244888,0.0012370777549222112,0.012461059190031152,7
100,0.00421238341812521,0.004171219771739985,0.00015482186290824472,0.0015188604784211188,0.0018737828359007835,0.04361370716510903,7
5,0.00020768431983385254,6.490134994807892e-05,4.153686396677051e-05,0.00013624618640949304,0.00020768432295881212,0.0010384215991692627,8
10,0.00010384215991692627,6.490134994807892e-05,2.0768431983385256e-05,8.841445237966876e-05,0.00020768432295881212,0.0010384215991692627,8
20,0.0008956386292834892,0.0006810587078544085,7.229487369674285e-05,0.0004995870337863339,0.0008005926501937211,0.009345794392523364,8
100,0.0032672527889738125,0.0032477368554594084,9.688173056462325e-05,0.001055540602729123,0.0010842547053471208,0.02699896157840083,8
5,0.00020768431983385254,0.00017307026652821044,0.00010384215991692627,0.0002222079592258853,0.0005192108219489455,0.0010384215991692627,9
10,0.0002769124264451367,0.00018673370862254285,9.951540325372101e-05,0.0002703552316881744,0.0006490134983323514,0.0020768431983385254,9
20,0.0007182416060920733,0.000452747113160152,0.00012694593107365692,0.0005911769635469187,0.0012903402093797922,0.01142263759086189,9
100,0.0032491666962148977,0.003237395042780843,0.0001748303063133915,0.0013563349152443847,0.0019024121575057507,0.03842159916926272,9
