,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.014007092198581561,0.0012692342465283077,0.007621158392434989,0.015361818470941724,0.03642139211297035,0.06648936170212766,0
10,0.014361702127659574,0.0025536810337226097,0.00484520995159293,0.015173249412732284,0.04542384669184685,0.1347517730496454,0
20,0.015006191601936286,0.005159628194472057,0.0030403283292813614,0.01529544168632519,0.05370203033089638,0.25975177304964536,0
100,0.02829360196081571,0.02804319304890512,0.0019401034439265558,0.02367796237610094,0.06551233679056168,0.7570921985815603,0
5,0.015070921985815602,0.0012899746425111532,0.007278368794326242,0.015494881562612237,0.03550532087683678,0.07358156028368794,1
10,0.014627659574468085,0.0026136009811089382,0.004647500844309355,0.015050917026479583,0.04388297721743584,0.1374113475177305,1
20,0.01642463131824834,0.005674000623658699,0.003117701820487316,0.016215353213619086,0.053033724427223206,0.2695035460992908,1
100,0.030375852291480678,0.030118169638430396,0.0019830677684826133,0.02493470007366757,0.06543164700269699,0.7960992907801419,1
5,0.018085106382978722,0.0014392639505408109,0.009160756501182034,0.01907110576276834,0.04447399452328682,0.08776595744680851,2
10,0.015780141843971633,0.0025438184320488223,0.0055485900033772385,0.017078023381720837,0.051931362599134445,0.14627659574468085,2
20,0.015425531914893615,0.00497061161518011,0.003400514628637982,0.016340357541598963,0.05949650704860687,0.25975177304964536,2
100,0.029560850900550075,0.02923854570472102,0.002005648591644278,0.02468181122417803,0.07163813710212708,0.7960992907801419,2
5,0.01347517730496454,0.001055767585477691,0.005972222222222222,0.012981157938676125,0.027999410405755043,0.06294326241134751,3
10,0.014450354609929078,0.002405105160692397,0.004009554767533491,0.013768341226928231,0.03703492879867554,0.1347517730496454,3
20,0.015469858156028372,0.00504555356789228,0.002707174857987346,0.01471894562520644,0.04510192200541496,0.25354609929078015,3
100,0.029833216222400864,0.029554487900631334,0.0017737100011962952,0.02415019595950177,0.057426951825618744,0.7836879432624113,3
5,0.018617021276595747,0.0015050964325084403,0.00911643026004728,0.019246181988636507,0.04407506063580513,0.08953900709219859,4
10,0.01799645390070922,0.0030338239447449305,0.005827704604300349,0.018525245579954615,0.05323018878698349,0.16134751773049646,4
20,0.01897163120567376,0.006452939833331961,0.0037904031813462188,0.019064128166789537,0.06321574002504349,0.3049645390070922,4
100,0.030471725883824432,0.030222098984631924,0.0021854460631011144,0.025758629206777798,0.07428963482379913,0.7934397163120568,4
5,0.016312056737588652,0.0013591865401514761,0.007207446808510639,0.015714119984085867,0.033909574151039124,0.07712765957446809,5
10,0.016666666666666666,0.0029538826081889837,0.004786354553641788,0.016148615725919514,0.043820008635520935,0.15336879432624115,5
20,0.017420212765957444,0.005966032631020472,0.003162872734906651,0.016810576646307744,0.052493855357170105,0.2845744680851064,5
100,0.03013695080683287,0.029910697252947347,0.002003983730774785,0.024927135278055023,0.06400825083255768,0.7872340425531915,5
5,0.013475177304964538,0.0010675742948572987,0.005750591016548463,0.012817854082253916,0.027955083176493645,0.06560283687943262,6
10,0.013031914893617021,0.0022616539484085945,0.003777545592705167,0.012773754884114755,0.03550567477941513,0.12234042553191489,6
20,0.014247720364741643,0.004717270697153423,0.002537282864539327,0.013713398331978712,0.04327686131000519,0.23670212765957446,6
100,0.02870207679567275,0.02836469657088033,0.0016748527766055083,0.02304766760747351,0.05558034032583237,0.7792553191489362,6
5,0.01666666666666667,0.0014662153357220284,0.006637115839243499,0.015180812724087413,0.03158983588218689,0.0797872340425532,7
10,0.01551418439716312,0.002809273786305159,0.004303444782168186,0.014822395827987953,0.03964877128601074,0.14361702127659576,7
20,0.016533687943262414,0.0057038637327593055,0.0028973022234232795,0.01575206679307999,0.048198383301496506,0.2721631205673759,7
100,0.030264706444056676,0.030013398075892747,0.0019270156628724358,0.02465939092078811,0.05999195948243141,0.7695035460992907,7
5,0.01400709219858156,0.0011129324451760187,0.006826241134751773,0.014389598298364692,0.032801419496536255,0.0673758865248227,8
10,0.013918439716312056,0.0023805652698316738,0.004370602555442981,0.014190897612975163,0.041057005524635315,0.13120567375886524,8
20,0.015538106495553303,0.005269938164643631,0.0029105737411268817,0.015256435407764543,0.04991406947374344,0.25975177304964536,8
100,0.02973206612458472,0.029420525575190745,0.0018603842276202621,0.02425317864793304,0.062130462378263474,0.7819148936170213,8
5,0.015070921985815602,0.0012819267672365764,0.007390661938534279,0.015454970936569168,0.034825652837753296,0.07092198581560284,9
10,0.019060283687943262,0.003327665531959671,0.005348312788472363,0.01809226020832864,0.04779811203479767,0.1702127659574468,9
20,0.01785292131036812,0.006229345900873545,0.0033833370625373613,0.01756553340606418,0.05611223727464676,0.2916666666666667,9
100,0.03010909015645076,0.02978032320565016,0.002078215248876643,0.025296010551629586,0.06760074943304062,0.7907801418439716,9
