,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.012944162436548227,0.0016452703845365475,0.004856175972927242,0.011236953059365968,0.021742811426520348,0.06218274111675127,0
10,0.01539712754814278,0.0032458702369939935,0.0038559040367416005,0.013504985031208333,0.03048253431916237,0.13071065989847716,0
20,0.01609099093236149,0.0062309316171339345,0.0028366575908777233,0.013923636530990512,0.035155877470970154,0.2017766497461929,0
100,0.0311280324541749,0.028670137303715343,0.002058973957291928,0.020964240428472225,0.042567964643239975,0.5114213197969543,0
5,0.013197969543147208,0.0018831982065688811,0.006163282571912013,0.013009366986006767,0.02785533107817173,0.06218274111675127,1
10,0.017794698251551045,0.003639885421211937,0.005050677490398303,0.016325041640323234,0.03865472227334976,0.14213197969543148,1
20,0.018030554582117497,0.007191334704458839,0.0035660535180300507,0.016224535450745717,0.043673355132341385,0.217005076142132,1
100,0.032369355422552294,0.02974396017475459,0.0022609112034319085,0.021962843825309046,0.05034760385751724,0.5101522842639594,1
5,0.014974619289340102,0.002812709159624156,0.006146362098138749,0.013864235589136761,0.029039764776825905,0.07233502538071065,2
10,0.019075819837241156,0.005348759970851582,0.0050825376681975665,0.016960601581767258,0.039698150008916855,0.15355329949238578,2
20,0.01815977533316566,0.007696269609949258,0.0036140156473234105,0.016652427235671487,0.04478546604514122,0.22842639593908629,2
100,0.032720432867308094,0.030260809813249752,0.0025681767686368128,0.022721317712098496,0.05156285688281059,0.5203045685279187,2
5,0.017258883248730966,0.0028614385685735233,0.008079526226734348,0.01714871498133039,0.03743654862046242,0.08248730964467005,3
10,0.018678994440415764,0.005056214538030509,0.005733438750570732,0.0180907487895907,0.04719855263829231,0.15736040609137056,3
20,0.021720244293213835,0.010228280641106018,0.00418788278465804,0.018965913481239303,0.05375055596232414,0.25380710659898476,3
100,0.037355174785454213,0.034422515003910144,0.002907964482585641,0.02560108456909303,0.06105908378958702,0.567258883248731,3
5,0.011167512690355331,0.0013521181695460155,0.0048096446700507615,0.010787451912770278,0.024048224091529846,0.05583756345177665,4
10,0.015649423898154862,0.0030917468418221075,0.0039469355141943975,0.014016377537474015,0.034854162484407425,0.1383248730964467,4
20,0.01989505359128656,0.008137330157039319,0.003207825421207067,0.016272337210604292,0.04120192676782608,0.23477157360406092,4
100,0.037912109521387946,0.03531533515759002,0.0023264952431324556,0.023605480946855793,0.0479217991232872,0.5304568527918782,4
5,0.016751269035532996,0.002426858182149537,0.008764805414551609,0.017647682103578474,0.039593908935785294,0.07868020304568528,5
10,0.01896100233663686,0.004511561767814848,0.006084605726103187,0.018835648821221677,0.050814300775527954,0.16243654822335024,5
20,0.020732732439585233,0.009525038357378312,0.004216568893944603,0.018632253995157708,0.05585990846157074,0.2398477157360406,5
100,0.037827924626379926,0.03518664524566625,0.002760950616571273,0.025123900825227575,0.06329350173473358,0.5596446700507615,5
5,0.012690355329949238,0.0011757039121099552,0.005888324873096447,0.012644977561378196,0.02817258983850479,0.06218274111675127,6
10,0.01748600032229474,0.0028929907423145464,0.004735365804528241,0.01610452030621098,0.04010907933115959,0.15228426395939088,6
20,0.01792519316480711,0.006169013347830953,0.0033646627445886057,0.01617385490353385,0.04500584304332733,0.22715736040609136,6
100,0.03412129814438553,0.031618576757729625,0.0021023279021402546,0.02288537756678213,0.0529712550342083,0.5685279187817259,6
5,0.01218274111675127,0.0012666554572009047,0.005177664974619289,0.01168932140399831,0.02588832750916481,0.06091370558375635,7
10,0.01642494561276287,0.003490223275472143,0.0042640265356001395,0.014847473148686839,0.03639614209532738,0.14086294416243655,7
20,0.016954059054312864,0.007372816423880334,0.0030283093827224244,0.01492147711296256,0.041163600981235504,0.21065989847715735,7
100,0.03786844781359544,0.03550182212270087,0.0021816458926706226,0.023275513702939378,0.048621296882629395,0.5532994923857868,7
5,0.013705583756345178,0.0018587104224074772,0.006895093062605754,0.014271214921049278,0.03236040472984314,0.06598984771573604,8
10,0.019118121021674324,0.003876914694538244,0.005507630999382267,0.01787806868920514,0.04482213035225868,0.15862944162436549,8
20,0.020295506861262937,0.008920686410461301,0.003883221753830223,0.017670717999916385,0.05017063766717911,0.23857868020304568,8
100,0.03811338865172163,0.03537507075155045,0.002536223431710642,0.024170298454002422,0.05696698650717735,0.5406091370558376,8
5,0.01218274111675127,0.0015217821492938277,0.00529610829103215,0.011628636181180431,0.024788495153188705,0.0583756345177665,9
10,0.015397631133671742,0.0034064137824647116,0.004126849837509736,0.014047256174963614,0.03458423912525177,0.13324873096446702,9
20,0.017443493125599726,0.008230212510766355,0.003027915180686138,0.014728635866532393,0.040216345340013504,0.2131979695431472,9
100,0.037513532538499594,0.03507711317098373,0.0022839885576295058,0.023189948654211128,0.047476716339588165,0.5329949238578681,9
