,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0014639639639639642,0.0001511651380729866,0.0006475225225225225,0.0014314757465485445,0.003237612545490265,0.00731981981981982,0
10,0.0014639639639639638,0.00019796942236965443,0.00042660964535964533,0.001433775731435864,0.0040158461779356,0.013513513513513514,0
20,0.0012363012363012364,0.0004424362131438526,0.0002590519959290384,0.0012753776731835773,0.004593906458467245,0.02195945945945946,0
100,0.003523842012309336,0.0033478442734611084,0.00018744788626338506,0.0020091662807130476,0.006082473788410425,0.09403153153153153,0
5,0.0018018018018018018,0.00033759334921412096,0.0007338588588588588,0.0016831858731731117,0.0036692945286631584,0.009009009009009009,1
10,0.0014076576576576576,0.0003827614551303847,0.000438228406978407,0.0014470428387140487,0.004257159307599068,0.013513513513513514,1
20,0.0012675825175825174,0.0006650025869592503,0.0002837214545752128,0.0013184303268395233,0.004769269376993179,0.021396396396396396,1
100,0.003908681322900693,0.0037530408044009977,0.0002441385666986323,0.002227154047185982,0.0062718563713133335,0.09177927927927929,1
5,0.0019144144144144146,0.00019073687142699816,0.0010379129129129128,0.0021199996204740177,0.005189565010368824,0.009572072072072071,2
10,0.00213963963963964,0.0003164068416077693,0.0006778877091377091,0.0022202957417030503,0.006778877228498459,0.021396396396396396,2
20,0.0018910550160550163,0.0007542220308929793,0.00042311745245934276,0.0019833643644376173,0.007521499413996935,0.03265765765765766,2
100,0.0031336908915376264,0.002917994866529009,0.000227999407550864,0.002157321362518641,0.008790362626314163,0.10416666666666667,2
5,0.0013513513513513512,0.00012248287064385734,0.0006925675675675675,0.0014508210713976605,0.003462837776169181,0.006756756756756757,3
10,0.0014076576576576576,0.0001881859143858782,0.00044841716716716726,0.0014586533858541861,0.004359046462923288,0.013513513513513514,3
20,0.0011073573573573575,0.00033502823177342973,0.00025575157807162456,0.0012220599222570589,0.004839756526052952,0.020833333333333332,3
100,0.0019878256057262074,0.0017984203844475626,0.00011076085481346977,0.001532993579878194,0.006132966838777065,0.09009009009009009,3
5,0.00213963963963964,0.00022643595935468747,0.001054804804804805,0.0022295110169452234,0.005274024326354265,0.010698198198198198,4
10,0.0019144144144144146,0.0003189794689800035,0.0006425398612898613,0.002039506847861894,0.006300273351371288,0.018581081081081082,4
20,0.0016143578643578644,0.000578169026873576,0.0003879804278760462,0.0017845243436905877,0.007056287489831448,0.029842342342342343,4
100,0.004144528677590123,0.0039053276934034064,0.00027919343523622223,0.0024606216141501974,0.008480312302708626,0.10472972972972973,4
5,0.0012387387387387389,0.00014804491556513118,0.0008427177177177177,0.0015917827161488864,0.0042135887779295444,0.006193693693693694,5
10,0.001463963963963964,0.00021865584834714438,0.0005328095953095953,0.0016177811492439943,0.0052029709331691265,0.014076576576576577,5
20,0.0013364013364013363,0.0005930403061518094,0.00031849470294118985,0.0014506235788277232,0.0058602686040103436,0.02364864864864865,5
100,0.0035493668681064253,0.0033894833918746794,0.00020777172665324413,0.002086869653724733,0.007296264637261629,0.09684684684684684,5
5,0.0024774774774774778,0.0001895516078152548,0.0010792042042042044,0.0024083746775647795,0.005396021530032158,0.012387387387387387,6
10,0.0016891891891891893,0.00023670783650830897,0.0005926909051909053,0.0018680230618141232,0.005926909390836954,0.016891891891891893,6
20,0.0013634169884169883,0.0005309919022156719,0.00034437390917976574,0.0015389208137339067,0.0063813175074756145,0.02421171171171171,6
100,0.00257684108718316,0.0023579959960416132,0.0001743202843954444,0.0019055262268712627,0.007830992341041565,0.09740990990990991,6
5,0.0019144144144144146,0.00018224952594841486,0.0008370870870870871,0.0018683929031362602,0.004185435362160206,0.009572072072072071,7
10,0.0014639639639639642,0.00023203574160644198,0.00048436829686829687,0.0015690183789274076,0.004843682982027531,0.01463963963963964,7
20,0.001207010582010582,0.0003905535728747571,0.0002958060337204429,0.0013597107363104422,0.00536007434129715,0.02195945945945946,7
100,0.003084549977117243,0.002880872515394164,0.0001836558875759568,0.002008381519242372,0.006954084616154432,0.0990990990990991,7
5,0.0015765765765765767,0.0002569610126445995,0.0008483483483483483,0.0017396395911027478,0.004241742193698883,0.007882882882882882,8
10,0.0015765765765765767,0.00033380756131001565,0.0005255702130702131,0.0016679929129365572,0.005130577366799116,0.015202702702702704,8
20,0.001382876382876383,0.0006124885569871422,0.0003283425713121276,0.0015024825935735014,0.0057609970681369305,0.02533783783783784,8
100,0.004155110524022727,0.0040320404617921225,0.00027948009607977806,0.002316473252563533,0.007126039359718561,0.0945945945945946,8
5,0.0018018018018018018,0.00015954399132770122,0.0009872372372372372,0.0020138841344607234,0.004936186131089926,0.009009009009009009,9
10,0.0015765765765765767,0.000229007737345678,0.0005781227656227656,0.001761227262255855,0.005656102672219276,0.015202702702702704,9
20,0.0011256792506792507,0.00039966671999687263,0.00032164694063773874,0.0013596046851404356,0.005969181191176176,0.02027027027027027,9
100,0.0023313060513243085,0.00218949723487306,0.0001812823172253875,0.0017064631323745435,0.007158217485994101,0.08220720720720721,9
