,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.018545602275035544,0.006340227325904468,0.00894678041844404,0.018086045344812344,0.03799512982368469,0.07800121876904327,0
10,0.024407301006935375,0.015345280022702463,0.007485531147932124,0.020181826863772588,0.04499095305800438,0.13040828762949422,0
20,0.03629197461570496,0.030112044724319113,0.007183371838770991,0.024857711658244765,0.050872866064310074,0.21633150517976843,0
100,0.10564331335200458,0.10489958844563062,0.008779412224199465,0.04894736792553952,0.057662881910800934,0.5100548446069469,0
5,0.019845622587852937,0.0064167749616094935,0.010017942988692534,0.019665083282463577,0.04122486338019371,0.07982937233394272,1
10,0.022994834740721393,0.013560309030233,0.007819991358991968,0.02065285469832601,0.048590194433927536,0.1340645947592931,1
20,0.03225244458314228,0.026011329359438767,0.006980321273749412,0.024111528346334225,0.05417250841856003,0.21328458257160268,1
100,0.10885308308700939,0.10787152753249028,0.008438565323862925,0.048889875107410045,0.06134283170104027,0.526508226691042,1
5,0.020597196831200485,0.007585178027584387,0.00986762814002302,0.019949614567009784,0.041722528636455536,0.08592321755027423,2
10,0.02880018958629562,0.017637310850957936,0.00894044475397309,0.023598360926928602,0.04978671669960022,0.14747105423522242,2
20,0.036547130255352986,0.029685517905139337,0.00799909439884264,0.026728223536318627,0.05549848824739456,0.23095673369896405,2
100,0.1087667043543134,0.10773433172404896,0.00953497375516226,0.05126415919320138,0.062320224940776825,0.517976843388178,2
5,0.01827137924030063,0.007713143790295472,0.00816846096553592,0.016491336560522023,0.03188096731901169,0.0712979890310786,3
10,0.024268980393294833,0.01624380448844519,0.007182974957197993,0.018957310718143792,0.03828869387507439,0.1206581352833638,3
20,0.034882826247984354,0.029066103106078458,0.006841305156779728,0.02360251957966953,0.04455512762069702,0.21084704448507008,3
100,0.10927042255900374,0.10844775124785744,0.008452617938066795,0.0477042096456387,0.05138443782925606,0.5124923826934796,3
5,0.015275238675604309,0.004800905766502507,0.007462929108267316,0.01520116443077636,0.032744262367486954,0.06642291285801341,4
10,0.020128792935008657,0.012016050471309039,0.006302623900125424,0.017284726692504578,0.03932658210396767,0.11639244363193176,4
20,0.02876255454666546,0.02325513737789778,0.005780329401874764,0.02095013009184346,0.04537704959511757,0.20353443022547227,4
100,0.09567159095319132,0.09491842208054739,0.007398112987129561,0.044770088472361434,0.05258160084486008,0.5076173065204144,4
5,0.019845622587852933,0.006814832493435726,0.010187047193445733,0.019218611319639034,0.03755839914083481,0.0712979890310786,5
10,0.027367410502693867,0.015412047730311757,0.00893170701823962,0.022712744781420494,0.04571906849741936,0.13345521023765997,5
20,0.03388841824942764,0.02588173931648606,0.007826601800274963,0.0253522005221194,0.05123883858323097,0.21389396709323583,5
100,0.10059852329736378,0.0993184881872919,0.009108321011230255,0.047965334368330344,0.057877931743860245,0.5027422303473492,5
5,0.017976843388177944,0.006274478426823541,0.00933255467533347,0.018176454284794672,0.03828966245055199,0.07373552711761121,6
10,0.023986293684648344,0.015044182697261736,0.007716524960583461,0.02068390446168256,0.04664355143904686,0.13772090188909203,6
20,0.03074576148781921,0.02522672378560461,0.007079173117203244,0.02371159298771874,0.05210013687610626,0.21633150517976843,6
100,0.10260327617722485,0.10185683241825944,0.008810230131763934,0.04826016211195685,0.05914680287241936,0.5246800731261426,6
5,0.018332317692463945,0.007580690679310502,0.00834602884420069,0.016907364125281873,0.03379037603735924,0.07373552711761121,7
10,0.021417689562113693,0.013820824592929269,0.006819423889807802,0.01828188687662306,0.04087252914905548,0.12797074954296161,7
20,0.029888826814076275,0.025112032671105743,0.006231727495990623,0.021950931877560392,0.04725402593612671,0.2205971968312005,7
100,0.10293042657075192,0.10227521942970781,0.007909018856035566,0.04692096580360585,0.054148849099874496,0.5246800731261426,7
5,0.020363599431241115,0.006961478682839518,0.010004739657390481,0.019882933210687636,0.04066626355051994,0.08165752589884218,8
10,0.02618660708240233,0.015459954065545884,0.009052060461262166,0.02238130791089615,0.047765832394361496,0.13467397928092625,8
20,0.03458567729874491,0.027605145272714696,0.007960194230179053,0.025882901530013363,0.054170869290828705,0.226691042047532,8
100,0.10632613805929954,0.10495716790391141,0.009356187856006679,0.049624060130410194,0.06037703901529312,0.5082266910420475,8
5,0.01832216128377006,0.007147546051242039,0.00899807028234816,0.018179092761406935,0.039427176117897034,0.07739183424741011,9
10,0.02348403509281023,0.015220215859179697,0.007726342822320884,0.019983181188905123,0.046283967792987823,0.1291895185862279,9
20,0.03264575500681816,0.0268214904611389,0.0072136468416156025,0.023992390631704483,0.05240016058087349,0.2181596587446679,9
100,0.10529584159262739,0.104079179805482,0.008984945894052425,0.04919996451257127,0.05948982387781143,0.5161486898232784,9
